source,domain,accuracy,loss,f1
WAL,61,0.3761840324763194,4.418869809371399,0.3365624749887184
WAL,62,0.5724962630792227,2.735567853422814,0.5263996712648936
WAL,63,0.46258503401360546,4.357123089273639,0.37482878704866085
WAL,64,0.7750677506775068,1.5995125424518208,0.7601386071165142
WAL,65,0.5091164095371669,2.893623818128318,0.44193817025957743
WAL,66,0.5162241887905604,3.902308071217882,0.4291042245830204
WAL,67,0.8763557483731019,0.6965478917681598,0.8396730412812394
WAL,68,0.45910290237467016,4.12911562164068,0.3556077191904255
WAL,69,0.5670553935860059,2.4813882407683567,0.5113212569499875
WAL,70,0.5347758887171561,4.635541984536189,0.4113605727208544
WAL,71,0.5852660300136425,2.158131483395743,0.5497784681483631
WAL,72,0.48563218390804597,4.591872473633719,0.3893062588791659
WAL,73,0.4885057471264368,5.379682692218921,0.3904085245680073
WAL,74,0.8639455782312925,0.8276160121788776,0.8222030419545947
WAL,75,0.48717948717948717,4.581673731575398,0.4059946145342185
