source,domain,accuracy,loss,f1
WAL,61,0.9590643274853801,0.1537814456229336,0.959233520134038
WAL,62,0.9666666666666666,0.11019892361240635,0.9667741133635437
WAL,63,0.9674146606827145,0.08896097707770836,0.9672834317621197
WAL,64,0.9937929553264604,0.034929112228564915,0.9937584761346528
WAL,65,0.975,0.08885959562543246,0.9749973205653069
WAL,66,0.9621128891011862,0.0973919629852753,0.9617101775088329
WAL,67,0.9930129672006102,0.02620760552158572,0.9930318022399419
WAL,68,0.9988571428571429,0.005629356731118275,0.9988601981143335
WAL,69,0.9724685534591195,0.09917463206387765,0.9724506408581156
WAL,70,0.9829291365669075,0.08108678705266356,0.982849625220835
WAL,71,0.9578534571723427,0.10964060059375036,0.9579408482114354
WAL,72,0.9444974626978716,0.18484501226174124,0.9449228951680597
WAL,73,0.9521472392638037,0.1427540667960288,0.9521128939431437
WAL,75,0.9671988174427198,0.1028834862389472,0.9671152654601689
