Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,D/loss_sd,D/loss_td,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot,G/loss_td
0:04:40,4100,-0.4132,0.3027,0.6537,2.6971,0.0023,0.0261,0.0185,-0.3005,0.0608,0.2969,2.6883,0.0925,0.0003
0:04:44,4200,-0.4319,0.2834,0.4934,2.6789,0.0027,0.0020,0.1127,-0.2850,0.0509,0.1911,2.7113,0.0682,0.0004
0:04:47,4300,-0.3579,0.2867,0.6806,2.7054,0.0026,0.4791,0.0486,-0.2801,0.0547,0.1323,2.6990,0.0558,0.0033
0:04:50,4400,-0.4035,0.2711,0.5240,2.7305,0.0013,0.0108,0.0044,-0.2700,0.0504,0.1414,2.7298,0.0734,0.0000
0:04:54,4500,-0.4347,0.2648,0.7188,2.6847,0.0008,0.0705,0.0048,-0.2701,0.0581,0.1629,2.7006,0.0859,0.0002
0:04:58,4600,-0.4157,0.3007,0.5995,2.6681,0.0029,0.0232,0.1795,-0.2955,0.0560,0.1288,2.6940,0.0711,0.0011
0:05:01,4700,-0.3340,0.2655,0.4245,2.6872,0.0024,0.0211,0.6423,-0.2645,0.0551,0.1144,2.7056,0.0596,0.1194
0:05:04,4800,-0.4766,0.2737,0.6346,2.7071,0.0017,0.0001,0.5301,-0.2862,0.0516,0.1422,2.6881,0.0851,0.0098
0:05:07,4900,-0.4095,0.2612,0.4561,2.7317,0.0009,0.0016,0.0464,-0.2615,0.0553,0.1013,2.7186,0.0780,0.0043
0:05:11,5000,-0.3961,0.2440,0.7114,2.7181,0.0011,0.0828,0.0027,-0.2296,0.0540,0.0846,2.7092,0.0750,0.0016
0:05:48,5100,-0.3411,0.2623,0.5184,2.7274,0.0026,0.0455,0.0255,-0.2572,0.0504,0.0977,2.7022,0.0567,0.0000
0:05:52,5200,-0.3892,0.2729,0.6486,2.6970,0.0015,0.0241,0.1351,-0.2601,0.0599,0.0937,2.7100,0.0624,0.0001
0:05:56,5300,-0.4678,0.2085,0.9124,2.7277,0.0012,0.0000,0.1024,-0.2236,0.0529,0.0968,2.7065,0.1067,0.0000
0:05:59,5400,-0.3176,0.2271,0.4243,2.7310,0.0029,0.0121,0.0699,-0.2205,0.0450,0.0890,2.7097,0.0554,0.0000
0:06:02,5500,-0.3782,0.2536,0.6502,2.6889,0.0013,0.0011,0.1722,-0.2549,0.0501,0.1063,2.6767,0.0628,0.0080
0:06:05,5600,-0.3047,0.2357,0.3781,2.6841,0.0020,0.0790,0.0923,-0.2189,0.0557,0.0372,2.6836,0.0589,0.0006
0:06:09,5700,-0.3481,0.1496,0.5885,2.6738,0.0032,0.0002,0.0527,-0.1578,0.0474,0.2488,2.7007,0.0744,0.0000
0:06:13,5800,-0.3349,0.2129,0.5702,2.7201,0.0032,0.0599,0.0306,-0.2068,0.0507,0.0660,2.7253,0.0635,0.0306
0:06:16,5900,-0.2858,0.2077,0.6103,2.6850,0.0021,0.0151,0.0987,-0.2119,0.0486,0.0721,2.6942,0.0531,0.0000
0:06:19,6000,-0.3403,0.2406,0.5877,2.7434,0.0049,0.0086,0.0815,-0.2484,0.0537,0.0591,2.7520,0.0609,0.0000
0:06:58,6100,-0.2962,0.1987,0.7023,2.7286,0.0043,0.0218,0.0116,-0.2068,0.0540,0.1098,2.7145,0.0724,0.0000
0:07:02,6200,-0.3325,0.2105,0.4804,2.6865,0.0030,0.0094,0.0485,-0.2030,0.0517,0.0435,2.6931,0.0593,0.0000
0:07:05,6300,-0.2420,0.1645,0.5397,2.7171,0.0077,0.0455,0.1701,-0.1586,0.0423,0.0776,2.7184,0.0460,0.0001
0:07:09,6400,-0.2887,0.1911,0.5195,2.7038,0.0010,0.0365,0.0321,-0.1906,0.0498,0.0794,2.7047,0.0525,0.0000
0:07:12,6500,-0.4287,0.1800,0.6842,2.6827,0.0046,0.0005,0.0008,-0.1905,0.0565,0.0458,2.6922,0.1087,0.0025
0:07:15,6600,-0.3308,0.1856,0.4959,2.7044,0.0013,0.0015,0.0442,-0.1823,0.0523,0.0634,2.7087,0.0708,0.0000
0:07:18,6700,-0.2898,0.1825,0.3574,2.7002,0.0015,0.0085,0.0329,-0.1799,0.0531,0.0528,2.6848,0.0556,0.0023
0:07:22,6800,-0.2409,0.1693,0.3571,2.6936,0.0013,0.1872,0.0096,-0.1656,0.0584,0.0335,2.7110,0.0685,0.0001
0:07:26,6900,-0.2482,0.1795,0.3968,2.6985,0.0017,0.0238,0.0432,-0.1783,0.0431,0.0419,2.6698,0.0473,0.0092
0:07:29,7000,-0.2499,0.1433,0.6269,2.6928,0.0017,0.0041,0.0042,-0.1546,0.0499,0.0455,2.6802,0.0704,0.0000
0:08:06,7100,-0.2484,0.1447,0.5162,2.7316,0.0033,0.0317,0.0178,-0.1243,0.0456,0.0393,2.7370,0.0487,0.0773
0:08:10,7200,-0.2669,0.1337,0.2170,2.7367,0.0010,0.0003,0.0216,-0.1323,0.0496,0.0497,2.7375,0.0611,0.0001
0:08:13,7300,-0.2587,0.1497,0.3331,2.6966,0.0020,0.0012,0.0045,-0.1548,0.0438,0.0482,2.7040,0.0508,0.0013
0:08:16,7400,-0.1494,0.1048,0.3776,2.7027,0.0027,0.0181,0.1579,-0.1025,0.0415,0.0662,2.7014,0.0469,0.0003
0:08:19,7500,-0.2044,0.1071,0.3944,2.7019,0.0018,0.0012,0.0112,-0.1068,0.0505,0.0464,2.6985,0.0586,0.0000
0:08:23,7600,-0.2374,0.1155,0.3909,2.7323,0.0017,0.0072,0.0211,-0.1132,0.0560,0.0556,2.7162,0.0696,0.0002
0:08:27,7700,-0.1992,0.0902,0.3879,2.7459,0.0014,0.0383,0.0157,-0.0895,0.0459,0.1346,2.7357,0.0522,0.0000
0:08:30,7800,-0.2058,0.0995,0.4266,2.7275,0.0018,0.0050,0.0087,-0.1048,0.0597,0.0673,2.7195,0.0810,0.0014
0:08:33,7900,-0.1722,0.0731,0.5920,2.7045,0.0018,0.0141,0.0144,-0.0712,0.0465,0.0608,2.6860,0.0484,0.0002
0:08:37,8000,-0.1538,0.0817,0.4696,2.7158,0.0019,0.0641,0.0290,-0.0782,0.0459,0.0671,2.6925,0.0569,0.0000
0:09:14,8100,-0.2005,0.1149,0.5320,2.7137,0.0022,0.0181,0.0079,-0.1144,0.0497,0.0540,2.7329,0.0498,0.0004
0:09:17,8200,-0.1517,0.0513,0.4107,2.7180,0.0022,0.0768,0.0870,-0.0534,0.0461,0.0992,2.6929,0.0463,0.0000
0:09:21,8300,-0.1589,0.0497,0.4007,2.7174,0.0013,0.0118,0.0179,-0.0503,0.0415,0.0457,2.7108,0.0493,0.0253
0:09:25,8400,-0.2495,0.1270,0.5919,2.7408,0.0012,0.0001,0.0171,-0.1271,0.0481,0.1195,2.7238,0.0630,0.0000
0:09:28,8500,-0.2684,0.1029,0.3678,2.6873,0.0021,0.0000,0.0980,-0.1008,0.0589,0.0514,2.7065,0.0872,0.0001
0:09:31,8600,-0.1650,0.0373,0.3615,2.6924,0.0019,0.0006,0.0253,-0.0409,0.0536,0.0426,2.7092,0.0651,0.0029
0:09:35,8700,-0.1847,0.0926,0.4262,2.7126,0.0018,0.0110,0.0008,-0.0923,0.0417,0.0546,2.6957,0.0419,0.0001
0:09:38,8800,-0.2020,0.1101,0.2743,2.7147,0.0021,0.0016,0.1098,-0.1112,0.0481,0.0659,2.6994,0.0525,0.0000
