Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_trts,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_trts,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds
0:00:57,100,100000,0.062670,0.027427,0.011829,0.003381,0.088611,0.010909,0.347827,92.213806,29.183920,0.351827,0.333871,0.555812,0.721132,0.557068,55.152767,15.998312,0.354575,0.269435,1.248905,0.033786,0.000000
0:01:28,200,100000,0.083646,0.016868,0.052453,0.006402,0.174775,0.023049,0.874985,83.124435,0.841829,0.168728,0.177373,0.557176,0.514894,0.524038,17.969719,2.784127,0.187273,0.153122,0.150192,0.024684,0.000000
0:01:59,300,100000,0.088418,0.015451,0.050756,0.015181,0.098404,0.024161,0.890375,83.491074,18.012779,0.143160,0.131743,0.516565,0.581330,0.153377,24.260326,2.712129,0.142151,0.120064,0.224639,0.010996,0.000000
0:02:30,400,100000,0.124351,0.005552,0.021953,0.038668,0.129089,0.022375,0.541309,45.682083,24.585169,0.135037,0.113896,0.527740,0.511386,0.238720,12.909327,3.173403,0.119798,0.106020,0.289896,0.002688,0.000000
0:03:01,500,100000,0.066770,0.012068,0.088444,0.002958,0.026244,0.031670,0.465334,49.855202,13.854259,0.136597,0.134815,0.476457,0.225968,0.237027,14.616618,0.940887,0.105435,0.095550,0.052333,0.008776,0.000000
0:03:50,600,100000,0.131123,0.051746,0.064627,0.053352,0.065511,0.032428,0.316002,18.089268,3.877945,0.088379,0.078211,0.510747,0.129651,0.214003,16.980942,3.402592,0.082569,0.074615,0.043234,0.007635,0.000000
0:04:22,700,100000,0.050597,0.061955,0.070903,0.028250,0.051968,0.036597,0.321827,17.815205,3.317742,0.069610,0.063416,0.648870,0.085491,0.281735,16.246517,3.258020,0.067997,0.063951,0.167025,0.013710,0.000000
0:04:54,800,100000,0.108217,0.065320,0.068303,0.036202,0.099429,0.032188,0.431841,11.000550,3.527918,0.073635,0.067316,0.453000,0.065344,0.345890,9.856301,2.000234,0.069071,0.064777,0.061289,0.015645,0.000000
0:05:26,900,100000,0.099403,0.086996,0.026475,0.074965,0.088337,0.028448,0.234334,11.447748,1.250982,0.075883,0.065762,0.436024,0.052653,0.191765,12.024204,2.015243,0.077936,0.072843,0.051080,0.008729,0.000000
0:06:25,1000,100000,0.116329,0.086237,0.017927,0.076969,0.098365,0.017170,0.267500,9.435493,1.460641,0.065748,0.062643,0.532944,0.049076,0.219976,10.508877,3.107810,0.063865,0.060704,0.084973,0.007931,0.000000
0:07:12,1100,100000,0.069068,0.158968,0.026881,0.153803,0.032449,0.027175,0.114927,18.220930,1.103595,0.060023,0.056604,0.480202,0.050418,0.067964,13.665722,0.546590,0.049886,0.046530,0.042175,0.017999,0.000000
0:07:44,1200,100000,0.136799,0.092846,0.016075,0.079828,0.122413,0.017611,0.208058,12.873746,1.044249,0.069904,0.061865,0.468914,0.043345,0.197784,12.833050,0.084008,0.064854,0.060829,0.088862,0.025602,0.000000
0:08:17,1300,100000,0.156007,0.080017,0.015264,0.076748,0.116187,0.015503,0.203926,20.276016,5.049916,0.069255,0.064923,0.455178,0.051618,0.146870,11.130288,0.084617,0.065256,0.059441,0.098894,0.026638,0.000000
0:08:49,1400,100000,0.194765,0.075869,0.016905,0.094275,0.098832,0.010840,0.206233,10.055938,0.541290,0.059634,0.054948,0.451837,0.040852,0.189708,16.105663,0.273726,0.058710,0.055778,0.112417,0.020903,0.000000
0:09:21,1500,100000,0.113490,0.084260,0.016694,0.076142,0.072871,0.020066,0.323101,19.163027,3.321923,0.071036,0.063980,0.355547,0.045798,0.165710,14.324189,0.222468,0.068836,0.062576,0.132245,0.017828,0.000000
0:10:10,1600,100000,0.212130,0.126818,0.008572,0.095022,0.144689,0.008359,0.155708,9.657808,0.339899,0.047702,0.042823,0.374706,0.036131,0.155851,10.628141,0.050308,0.049214,0.042602,0.037458,0.012677,0.000000
0:10:42,1700,100000,0.114004,0.082204,0.011781,0.058189,0.079509,0.016901,0.316563,13.399000,0.395341,0.060743,0.051968,0.405206,0.050898,0.265502,20.375298,2.591712,0.065501,0.056737,0.259613,0.027037,0.000000
0:11:14,1800,100000,0.102968,0.108108,0.016850,0.081113,0.110016,0.017343,0.211020,10.406444,0.005395,0.061197,0.055653,0.397647,0.043759,0.194347,16.151493,0.059976,0.055384,0.050195,0.046966,0.032179,0.000000
0:11:47,1900,100000,0.114630,0.113962,0.011165,0.107650,0.106518,0.011246,0.164717,10.184870,0.494271,0.069353,0.060207,0.409448,0.045817,0.155515,8.352374,0.637849,0.072154,0.060498,0.118574,0.025270,0.000000
0:12:41,2000,100000,0.126663,0.088649,0.024280,0.090778,0.090330,0.016252,0.194824,14.934327,0.880909,0.051705,0.044634,0.373628,0.055869,0.157239,11.850942,0.497056,0.056553,0.048173,0.061177,0.044628,0.000000
0:16:40,2100,100000,0.054562,0.036195,0.053208,0.037785,0.032798,0.049385,0.340059,9.690340,0.001207,0.118744,0.102540,0.360041,0.036123,0.316746,6.704748,0.001133,0.111123,0.094605,0.101183,0.024918,0.000000
0:17:13,2200,100000,0.028805,0.032519,0.033201,0.020698,0.035297,0.043033,0.434606,5.820479,0.006008,0.106249,0.093342,0.392731,0.048948,0.343472,4.539363,0.325152,0.105153,0.093834,0.129748,0.032836,0.000000
0:17:46,2300,100000,0.085088,0.016673,0.059971,0.002344,0.119897,0.022565,0.519211,14.042778,0.178171,0.112748,0.110402,0.425222,0.049053,0.413730,3.589168,0.751280,0.096789,0.095222,0.172626,0.022865,0.000000
0:18:19,2400,100000,0.114540,0.025032,0.036581,0.022719,0.083495,0.020682,0.476039,3.884926,0.005369,0.112316,0.099326,0.351892,0.033716,0.435304,3.016237,0.289862,0.121152,0.103931,0.150786,0.035038,0.000000
0:18:52,2500,100000,0.082034,0.099894,0.044407,0.056655,0.054203,0.026433,0.325659,7.422041,0.006034,0.070869,0.063134,0.409300,0.038946,0.245920,2.897529,0.003728,0.066793,0.059979,0.109291,0.030931,0.000000
0:19:42,2600,100000,0.086906,0.041403,0.036390,0.040231,0.065476,0.034552,0.371757,5.715614,0.047482,0.096073,0.084726,0.376198,0.029036,0.300518,4.328712,0.025372,0.096031,0.086138,0.150675,0.018994,0.000000
0:20:15,2700,100000,0.126111,0.048740,0.074303,0.036120,0.070631,0.018315,0.349075,7.929312,0.000060,0.084872,0.083083,0.418746,0.040369,0.289649,3.264166,1.907568,0.080387,0.079815,0.241902,0.051738,0.000000
0:20:48,2800,100000,0.058608,0.069551,0.047993,0.048209,0.058101,0.032311,0.308556,3.733331,0.001806,0.111594,0.092651,0.357776,0.033848,0.263295,3.369086,0.002682,0.109203,0.092976,0.068694,0.025906,0.000000
0:21:21,2900,100000,0.023253,0.033361,0.055084,0.012882,0.045474,0.040655,0.386802,7.349774,0.000533,0.106558,0.098608,0.434752,0.029465,0.317231,3.363527,0.002368,0.101321,0.095229,0.198947,0.016232,0.000000
0:22:17,3000,100000,0.078189,0.068674,0.051944,0.038908,0.080978,0.028267,0.304766,4.479391,0.003302,0.100873,0.088512,0.353390,0.024186,0.282571,3.805372,0.001352,0.093538,0.085780,0.104893,0.023574,0.000000
0:23:06,3100,100000,0.104172,0.037481,0.038100,0.039723,0.099065,0.026531,0.292786,3.357504,0.000521,0.068363,0.065676,0.348709,0.027182,0.276342,0.503422,0.000155,0.069759,0.066310,0.099876,0.015723,0.000000
0:23:38,3200,100000,0.045118,0.020004,0.058427,0.016606,0.054665,0.042729,0.555496,5.547105,0.000057,0.077341,0.069721,0.316101,0.034894,0.539393,2.243473,0.000135,0.079441,0.073451,0.123593,0.018545,0.000000
0:24:11,3300,100000,0.093417,0.064749,0.045581,0.056504,0.084828,0.028033,0.274264,3.421215,0.022957,0.085880,0.075913,0.364596,0.029469,0.262957,2.537561,0.005739,0.082202,0.074467,0.124288,0.020541,0.000000
0:24:44,3400,100000,0.048571,0.033423,0.041945,0.021885,0.035248,0.037948,0.402815,12.586337,0.193161,0.099574,0.089800,0.447451,0.028276,0.275654,5.044846,0.188081,0.095832,0.089377,0.148101,0.021246,0.000000
0:25:17,3500,100000,0.089072,0.046406,0.056165,0.049073,0.048567,0.035792,0.283607,3.515478,0.003841,0.081282,0.067874,0.331369,0.035949,0.247982,1.780438,0.001653,0.079435,0.068197,0.090793,0.030508,0.000000
0:26:03,3600,100000,0.049776,0.060466,0.042487,0.046830,0.033475,0.044030,0.303380,8.121021,0.000631,0.102091,0.082838,0.322756,0.027107,0.267148,2.820457,0.002232,0.102571,0.083605,0.141919,0.019418,0.000000
0:26:36,3700,100000,0.067601,0.099981,0.059693,0.064563,0.064198,0.041920,0.239661,5.674697,0.002900,0.076128,0.070758,0.355649,0.028858,0.230448,2.033943,0.000365,0.075640,0.070451,0.072873,0.009288,0.000000
0:27:09,3800,100000,0.062050,0.056642,0.035173,0.058078,0.016699,0.039320,0.271701,2.942275,0.035524,0.082350,0.075459,0.340998,0.035939,0.245789,0.385962,0.004193,0.086104,0.078264,0.124102,0.023417,0.000000
0:27:41,3900,100000,0.105468,0.033361,0.058326,0.031614,0.065721,0.033177,0.336074,5.600752,0.000140,0.085133,0.076520,0.427043,0.033560,0.304383,2.897805,1.924829,0.082989,0.075876,0.195744,0.042030,0.000000
