Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_trts,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_trts,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds,G/lambda_dom,G/lambda_trts
0:01:06,100,100000,0.014554,0.030996,0.005930,0.001974,0.014610,0.006223,0.630880,875.212036,451.195862,0.298629,0.264654,1.256980,0.686045,0.439276,466.074921,190.783493,0.290124,0.206269,2.484740,0.000345,0.000000,0.000000,0.000000
0:01:44,200,100000,0.013620,0.044431,0.006471,0.000939,0.015544,0.004856,1.260705,240.445297,499.614868,0.148343,0.109413,0.933556,0.591985,0.442091,55.968422,66.793175,0.125661,0.086043,0.693111,0.000208,0.000000,0.000000,0.000000
0:02:21,300,100000,0.066523,0.009590,0.035978,0.005005,0.100942,0.006489,0.612328,348.395508,417.909698,0.080416,0.071487,0.740359,0.649110,0.482236,61.189575,55.795155,0.082608,0.064856,0.565674,0.000207,0.000000,0.000000,0.000000
0:02:57,400,100000,0.105603,0.003895,0.102409,0.009810,0.045662,0.016066,0.519936,591.680359,266.962769,0.063938,0.060337,0.590547,0.538011,0.283337,79.166092,22.932446,0.055685,0.044978,0.322544,0.000099,0.000000,0.000000,0.000000
0:03:34,500,100000,0.059046,0.003570,0.041470,0.002712,0.013550,0.010424,0.653782,333.293335,516.454102,0.048463,0.049507,0.622007,0.542605,0.421903,32.624973,28.737854,0.050301,0.050047,0.506332,0.000058,0.000000,0.000000,0.000000
0:04:30,600,100000,0.001979,0.003579,0.014473,0.000212,0.023489,0.012766,0.602252,485.648560,164.059433,0.040931,0.041401,0.587293,0.471165,0.453957,50.691566,4.702703,0.040456,0.031986,0.202791,0.000100,0.000000,0.000000,0.000000
0:05:07,700,100000,0.013028,0.001176,0.045288,0.000098,0.023184,0.026474,0.496990,595.792114,335.457336,0.051111,0.053817,0.585236,0.441404,0.469471,26.615845,11.020589,0.050972,0.049214,0.384219,0.000097,0.000000,0.000000,0.000000
0:05:45,800,100000,0.032048,0.000464,0.041636,0.002673,0.069960,0.019611,0.514695,644.548950,423.109650,0.031025,0.033716,0.594008,0.380721,0.400662,23.979504,20.574938,0.028317,0.028173,0.160347,0.000048,0.000000,0.000000,0.000000
0:06:23,900,100000,0.009792,0.002166,0.030507,0.000394,0.057443,0.014702,0.539848,281.567780,366.105713,0.034077,0.034385,0.522322,0.332162,0.328765,9.984235,7.536643,0.029849,0.029685,0.079712,0.000043,0.000000,0.000000,0.000000
0:07:01,1000,100000,0.035485,0.002790,0.082467,0.007292,0.033638,0.019871,0.491344,441.860870,232.138962,0.042322,0.040605,0.540796,0.293942,0.400855,47.143501,24.246763,0.032760,0.029496,0.195951,0.000030,0.000000,0.000000,0.000000
0:07:54,1100,100000,0.092071,0.004016,0.083500,0.023551,0.075759,0.034000,0.446632,295.266022,221.508484,0.033884,0.037622,0.496128,0.302678,0.389675,36.281334,15.614658,0.030356,0.026947,0.185384,0.000043,0.000000,0.000000,0.000000
0:08:59,1200,100000,0.059063,0.000297,0.070732,0.022404,0.082678,0.019871,0.465865,251.645691,193.314545,0.021538,0.021252,0.453084,0.276480,0.171243,18.205254,12.877891,0.019272,0.019333,0.061214,0.000033,0.000000,0.000000,0.000000
0:09:37,1300,100000,0.036398,0.000105,0.027917,0.010969,0.126137,0.015630,0.507824,293.576813,194.230591,0.023839,0.023471,0.542612,0.275057,0.274446,18.589479,5.473457,0.031784,0.032186,1.031257,0.000037,0.000000,0.000000,0.000000
0:10:14,1400,100000,0.085590,0.000671,0.014649,0.045366,0.195316,0.009228,0.490321,71.671005,135.838364,0.015558,0.013834,0.747372,0.180589,0.114040,17.986675,11.126919,0.014074,0.013927,0.022313,0.000046,0.000000,0.000000,0.000000
0:10:53,1500,100000,0.162561,0.000136,0.012014,0.068624,0.156404,0.005828,0.466648,107.205917,162.156738,0.016379,0.016302,0.493172,0.164899,0.136160,18.183472,9.315318,0.017424,0.017471,0.056029,0.000020,0.000000,0.000000,0.000000
0:11:48,1600,100000,0.058292,0.000289,0.031271,0.033853,0.218107,0.008724,0.494137,186.537704,137.338150,0.015362,0.015128,0.551913,0.124404,0.120742,15.321304,11.051954,0.014457,0.014463,0.078312,0.000020,0.000000,0.000000,0.000000
0:12:26,1700,100000,0.072452,0.000427,0.007602,0.041986,0.207453,0.006230,0.497406,230.797318,133.252380,0.017178,0.017230,0.487726,0.122820,0.091104,20.285532,11.404606,0.016701,0.016795,0.046061,0.000017,0.000000,0.000000,0.000000
