source,domain,accuracy,loss
WAL,15,1.0,0.04273883737623692
WAL,16,0.8672727272727274,0.3419562041759491
WAL,17,0.9418181818181818,0.16495222151279448
WAL,18,0.9454545454545455,0.23311329185962676
WAL,19,1.0,0.12083982974290848
WAL,20,0.9400000000000001,0.241653972864151
WAL,21,0.9355555555555555,0.22631612718105315
WAL,22,0.9072727272727275,0.2674266591668129
WAL,23,0.8454545454545455,0.30892067551612856
WAL,24,0.9618181818181817,0.25912909805774687
WAL,25,0.889090909090909,0.31933996081352234
WAL,26,0.9777777777777779,0.2434893637895584
WAL,27,0.9272727272727274,0.26100321114063263
WAL,28,0.7861111111111111,0.2871644198894501
WAL,29,0.9527777777777778,0.21744497120380402
WAL,30,0.8400000000000001,0.3582220137119293
WAL,31,0.9277777777777778,0.30187596678733825
WAL,32,0.9618181818181817,0.14610779359936715
WAL,33,0.9055555555555556,0.2551171988248825
WAL,34,0.8555555555555555,0.34895639717578886
WAL,35,0.8511111111111112,0.30387274324893954
WAL,36,0.8833333333333332,0.27046188712120056
WAL,37,0.8305555555555555,0.31279546618461607
WAL,38,0.7911111111111111,0.752161069214344
WAL,39,1.0,0.06029723100364208
WAL,40,0.8861111111111111,0.2813734978437424
WAL,41,0.888888888888889,0.40373257696628573
WAL,42,0.9133333333333333,0.2893664211034775
WAL,43,0.8305555555555555,0.38111193776130675
WAL,44,0.8777777777777779,0.2641692250967026
WAL,45,0.9054545454545455,0.24843575060367584
WAL,46,0.9133333333333333,0.2518408685922623
WAL,47,0.8833333333333332,0.29954267740249635
WAL,48,0.8733333333333334,0.25147598087787626
WAL,49,0.9454545454545455,0.19659436047077178
WAL,50,0.9027777777777779,0.2620556026697159
WAL,51,0.8466666666666667,0.3339227259159088
WAL,52,0.8083333333333332,0.3288122773170471
WAL,53,0.8555555555555555,0.2703378856182098
WAL,54,0.9277777777777778,0.24307206869125367
WAL,55,0.9377777777777776,0.18227949142456054
WAL,56,0.975,0.19895055294036865
WAL,57,0.925,0.23422508537769318
WAL,58,0.8714285714285716,0.280190172791481
WAL,59,0.9777777777777779,0.16703511774539948
WAL,60,0.8488888888888889,0.31720931828022003
WAL,61,0.9133333333333333,0.47450473010540006
WAL,62,0.9577777777777777,0.19702766835689545
WAL,63,0.8333333333333333,0.4569006711244583
WAL,64,0.9527777777777778,0.16445333063602446
WAL,65,0.9800000000000001,0.14397096633911133
WAL,66,0.9083333333333332,0.23012308180332183
WAL,67,0.9055555555555556,0.20960003435611724
WAL,68,0.8555555555555555,0.2723489165306091
WAL,69,0.9083333333333332,0.19439262598752977
WAL,70,0.8861111111111111,0.2973175197839737
WAL,71,0.9055555555555556,0.26129721105098724
WAL,72,0.8555555555555555,0.23597597628831862
WAL,73,0.8805555555555555,0.3276695817708969
WAL,75,0.9777777777777779,0.18089384436607361
