source,domain,accuracy,loss
WAL,15,0.8,1.3132576942443848
WAL,16,0.8333333333333334,0.33210232853889465
WAL,17,0.7924528301886793,0.5738925933837891
WAL,18,0.7222222222222222,2.229006052017212
WAL,19,0.9444444444444444,0.17237289249897003
WAL,20,0.9607843137254902,0.1452120542526245
WAL,21,0.9148936170212766,0.26401180028915405
WAL,22,0.7037037037037037,1.025124192237854
WAL,23,0.8269230769230769,0.4881024956703186
WAL,24,0.7254901960784313,1.8810733556747437
WAL,25,0.7407407407407407,0.5147954225540161
WAL,26,0.8095238095238095,0.9345638751983643
WAL,27,0.7592592592592593,1.451643466949463
WAL,28,0.8571428571428571,0.6518716812133789
WAL,29,0.9047619047619048,0.2923806607723236
WAL,30,0.76,1.6499660015106201
WAL,31,0.16279069767441862,3.974900722503662
WAL,32,0.7884615384615384,1.4969216585159302
WAL,33,0.9772727272727273,0.06745964288711548
WAL,34,0.4489795918367347,2.6531083583831787
WAL,35,0.8541666666666666,0.4890030324459076
WAL,36,0.8604651162790697,0.342622846364975
WAL,37,0.8571428571428571,0.44334903359413147
WAL,38,0.6382978723404256,1.859845757484436
WAL,39,0.6111111111111112,4.358300685882568
WAL,40,0.7954545454545454,0.8126569390296936
WAL,41,0.6888888888888889,1.966254711151123
WAL,42,0.7391304347826086,0.794369637966156
WAL,43,0.6904761904761905,3.9566538333892822
WAL,44,0.9047619047619048,0.20717208087444305
WAL,45,0.8653846153846154,0.21133659780025482
WAL,46,0.9791666666666666,0.1091839075088501
WAL,47,0.8863636363636364,0.32359278202056885
WAL,48,0.9583333333333334,0.09290023893117905
WAL,49,0.8867924528301887,0.29891034960746765
WAL,50,0.8809523809523809,0.17689548432826996
WAL,51,0.717391304347826,1.2885686159133911
WAL,52,0.9285714285714286,0.213554248213768
WAL,53,0.6041666666666666,2.5364720821380615
WAL,54,0.8333333333333334,1.2704697847366333
WAL,55,0.9183673469387755,0.2092052400112152
WAL,56,0.9285714285714286,0.2558983862400055
WAL,57,0.8095238095238095,0.49462810158729553
WAL,58,0.8157894736842105,0.6590447425842285
WAL,59,0.9302325581395349,0.18505066633224487
WAL,60,0.8085106382978723,1.3314191102981567
WAL,61,0.9361702127659575,0.22672982513904572
WAL,62,1.0,0.006598330568522215
WAL,63,0.8333333333333334,0.6034122705459595
WAL,64,0.8333333333333334,0.8769458532333374
WAL,65,0.88,0.7700033783912659
WAL,66,0.6904761904761905,4.763171672821045
WAL,67,0.8095238095238095,0.663465142250061
WAL,68,1.0,0.008110576309263706
WAL,69,0.9523809523809523,0.15736834704875946
WAL,70,0.8095238095238095,1.147735834121704
WAL,71,0.9772727272727273,0.08964239060878754
WAL,72,0.8333333333333334,0.6065461039543152
WAL,73,0.8292682926829268,0.5350965857505798
WAL,74,0.8,1.4081501960754395
WAL,75,1.0,0.05828522890806198
