source,domain,accuracy,loss,f1
WAL,15,1.0,0.04518803879618645,1.0
WAL,16,0.8527272727272728,0.3456462025642395,0.8527272727272728
WAL,17,0.9418181818181818,0.18858176171779634,0.9384848484848485
WAL,18,0.9436363636363637,0.1914126083254814,0.9431168831168831
WAL,19,0.9818181818181818,0.14407586306333542,0.9818181818181818
WAL,20,0.9199999999999999,0.24928388893604278,0.9135238095238096
WAL,21,0.8955555555555555,0.28210897743701935,0.8754016354016354
WAL,22,0.8672727272727274,0.3081230312585831,0.8491381345926801
WAL,23,0.8254545454545454,0.3083080053329468,0.7917532467532469
WAL,24,0.9218181818181819,0.2814560025930405,0.9214765840220386
WAL,25,0.8527272727272728,0.33497666120529174,0.8481818181818183
WAL,26,0.9527777777777778,0.24355889856815338,0.9408585858585858
WAL,27,0.8872727272727273,0.2819813251495361,0.8834199134199133
WAL,28,0.8333333333333333,0.2612418383359909,0.825
WAL,29,0.9777777777777779,0.23351573944091797,0.9777777777777779
WAL,30,0.8400000000000001,0.32007060050964353,0.8302424242424242
WAL,31,0.95,0.27208893597126005,0.9469696969696969
WAL,32,0.9818181818181818,0.1320552945137024,0.98008658008658
WAL,33,0.9305555555555556,0.2517897605895996,0.9171548821548822
WAL,34,0.8133333333333332,0.3544615924358368,0.7884069264069263
WAL,35,0.8733333333333334,0.26472286880016327,0.8313227513227514
WAL,36,0.9305555555555556,0.21863559186458587,0.9216666666666666
WAL,37,0.8555555555555555,0.3320820540189743,0.8341666666666667
WAL,38,0.8133333333333332,0.45942928791046145,0.7730370370370371
WAL,39,0.9636363636363636,0.08234801925718785,0.964916699462154
WAL,40,0.8861111111111111,0.2769737929105759,0.8728917378917378
WAL,41,0.8444444444444444,0.45157950818538667,0.8270085470085469
WAL,42,0.9133333333333333,0.32410703003406527,0.8943915343915343
WAL,43,0.8777777777777779,0.3844646781682968,0.8717171717171717
WAL,44,0.8777777777777779,0.2713252007961273,0.8455808080808082
WAL,45,0.9236363636363636,0.23800170421600342,0.9066666666666666
WAL,46,0.9133333333333333,0.21290962994098664,0.8884656084656086
WAL,47,0.8861111111111111,0.3012676477432251,0.8493434343434345
WAL,48,0.8955555555555555,0.2436024397611618,0.8741164021164021
WAL,49,0.9818181818181818,0.1669257864356041,0.9818181818181818
WAL,50,0.9277777777777778,0.22224256098270417,0.9043201243201242
WAL,51,0.8244444444444443,0.32230904698371887,0.7856026936026936
WAL,52,0.8833333333333332,0.2783075898885727,0.8550000000000001
WAL,53,0.9333333333333333,0.23511813580989838,0.9170370370370371
WAL,54,0.8555555555555555,0.2663441985845566,0.8472222222222221
WAL,55,0.9377777777777776,0.17537056803703308,0.9362962962962962
WAL,56,0.975,0.19702177345752717,0.9719696969696969
WAL,57,0.925,0.24473239183425904,0.9041666666666666
WAL,58,0.8392857142857142,0.27443595230579376,0.8047619047619048
WAL,59,0.975,0.12092712372541428,0.975
WAL,60,0.8688888888888888,0.33999096155166625,0.866074074074074
WAL,61,0.8911111111111112,0.4978543609380722,0.8455026455026455
WAL,62,0.9555555555555555,0.17438139766454697,0.9451851851851852
WAL,63,0.8555555555555555,0.3175349339842796,0.8428030303030303
WAL,64,0.9527777777777778,0.17562321871519088,0.9355555555555556
WAL,65,0.96,0.15498639792203903,0.9550116550116551
WAL,66,0.836111111111111,0.28383450508117675,0.7865028490028491
WAL,67,0.9777777777777779,0.19255584180355073,0.9777777777777779
WAL,68,0.9305555555555556,0.2143497347831726,0.9194444444444445
WAL,69,0.9083333333333332,0.22443339228630066,0.8972222222222221
WAL,70,0.8861111111111111,0.3082324594259262,0.8861111111111111
WAL,71,0.9055555555555556,0.21120145916938782,0.8729843304843306
WAL,72,0.9083333333333332,0.22608419954776765,0.8872222222222221
WAL,73,0.8777777777777779,0.30279359221458435,0.8540954415954417
WAL,75,0.9527777777777778,0.18519412577152253,0.9527777777777778
