Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:05:14,5200,-0.4092,0.3001,0.4751,2.7332,0.0026,-0.2684,0.0527,0.1586,2.7246,0.0514
0:05:17,5300,-0.4866,0.2968,0.5126,2.6817,0.0009,-0.2826,0.0507,0.1259,2.6808,0.0891
0:05:20,5400,-0.3443,0.2579,0.5652,2.6712,0.0062,-0.1894,0.0490,0.1209,2.6830,0.0511
0:05:22,5500,-0.3871,0.2410,0.6262,2.6802,0.0011,-0.2403,0.0462,0.1566,2.7058,0.0546
0:05:25,5600,-0.3148,0.2183,0.6202,2.7329,0.0020,-0.2077,0.0398,0.1342,2.7255,0.0477
0:05:28,5700,-0.3447,0.2250,0.5471,2.7585,0.0010,-0.2277,0.0472,0.0888,2.7354,0.0534
0:05:31,5800,-0.3490,0.2063,0.4805,2.7041,0.0015,-0.2122,0.0558,0.0801,2.7013,0.0595
0:05:34,5900,-0.2709,0.1793,0.5900,2.7262,0.0041,-0.1723,0.0471,0.1225,2.7503,0.0497
0:05:37,6000,-0.1994,0.1257,0.5294,2.6822,0.0304,-0.0565,0.0547,0.1386,2.6765,0.0566
0:06:14,6100,-0.2478,0.1554,0.3952,2.6870,0.0014,-0.1624,0.0456,0.0872,2.6881,0.0522
0:06:17,6200,-0.2590,0.1546,0.4552,2.7036,0.0019,-0.1491,0.0515,0.0846,2.7484,0.0541
0:06:19,6300,-0.2117,0.1255,0.3205,2.6868,0.0015,-0.1417,0.0396,0.0628,2.6889,0.0395
0:06:22,6400,-0.2294,0.0227,0.5561,2.7320,0.0021,-0.0271,0.0577,0.1003,2.7034,0.0688
0:06:25,6500,-0.3192,0.1235,0.8173,2.7338,0.0009,-0.1291,0.0595,0.1130,2.7275,0.0927
0:06:28,6600,-0.2513,0.1356,0.6274,2.7075,0.0007,-0.1365,0.0480,0.0948,2.7353,0.0599
0:06:31,6700,-0.2360,0.1284,0.3794,2.6997,0.0010,-0.1336,0.0485,0.0740,2.7226,0.0532
0:06:34,6800,-0.2284,0.0847,0.6171,2.7099,0.0014,-0.0818,0.0459,0.1404,2.6915,0.0587
0:06:36,6900,-0.2258,0.1370,0.2777,2.7239,0.0011,-0.1361,0.0474,0.0941,2.7302,0.0443
