Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,G/loss_fake,G/loss_rec,G/loss_cls
0:06:07,7000,0.0927,-0.3493,0.0911,0.0050,0.3779,0.0521,0.0125
0:06:22,7100,0.2126,-0.4960,0.3882,0.0046,0.5485,0.0534,0.0584
0:06:26,7200,0.1830,-0.3575,0.1865,0.0013,0.3673,0.0400,0.0141
0:06:31,7300,0.1165,-0.3435,0.2047,0.0036,0.3828,0.0407,0.0263
0:06:35,7400,0.1679,-0.3412,0.1938,0.0032,0.3139,0.0364,0.0222
0:06:39,7500,0.1364,-0.2744,0.1525,0.0037,0.3013,0.0416,0.0219
0:06:44,7600,0.1806,-0.3578,0.0429,0.0037,0.3438,0.0388,0.0386
0:06:48,7700,0.1363,-0.3031,0.2245,0.0066,0.2504,0.0401,0.0020
0:06:52,7800,0.2908,-0.4135,0.0345,0.0029,0.4406,0.0417,0.0100
0:06:57,7900,0.1833,-0.3959,0.0600,0.0024,0.4192,0.0395,0.0146
0:07:01,8000,0.1206,-0.3051,0.0480,0.0070,0.3100,0.0354,0.0184
0:07:17,8100,0.2299,-0.3828,0.1345,0.0040,0.3718,0.0362,0.0116
0:07:21,8200,0.1911,-0.3671,0.0949,0.0059,0.3639,0.0348,0.0041
0:07:25,8300,0.1466,-0.3800,0.0625,0.0046,0.3663,0.0464,0.0079
0:07:29,8400,0.0992,-0.2578,0.2515,0.0019,0.2369,0.0379,0.0310
0:07:34,8500,0.0737,-0.3235,0.0158,0.0058,0.3358,0.0415,0.0065
0:07:38,8600,0.1481,-0.3248,0.0473,0.0037,0.3526,0.0448,0.0038
0:07:42,8700,0.1267,-0.2798,0.2630,0.0074,0.2881,0.0386,0.0078
0:07:47,8800,-0.1522,0.0283,0.2003,0.2018,-0.0242,0.0479,0.0102
0:07:51,8900,0.2509,-0.3805,0.1266,0.0026,0.3788,0.0344,0.0124
0:07:55,9000,0.1010,-0.2614,0.1915,0.0044,0.2714,0.0422,0.0187
0:08:10,9100,0.1631,-0.3297,0.3871,0.0041,0.3012,0.0405,0.0183
0:08:14,9200,0.1573,-0.3171,0.2049,0.0043,0.3109,0.0375,0.0144
0:08:19,9300,0.0929,-0.2608,0.0199,0.0051,0.2956,0.0377,0.0050
0:08:23,9400,0.0749,-0.2765,0.1893,0.0032,0.3002,0.0397,0.0635
0:08:27,9500,0.0542,-0.2343,0.1835,0.0039,0.2460,0.0381,0.0048
0:08:32,9600,0.1539,-0.3480,0.1300,0.0031,0.3650,0.0436,0.0330
0:08:36,9700,0.0631,-0.2564,0.2587,0.0028,0.2721,0.0380,0.0215
0:08:40,9800,0.1151,-0.3051,0.0964,0.0024,0.2828,0.0408,0.1014
0:08:45,9900,0.0946,-0.4321,0.0691,0.0052,0.4432,0.0548,0.0193
0:08:49,10000,0.2072,-0.4657,0.1216,0.0038,0.4573,0.0430,0.0066
0:12:04,10100,0.1320,-0.3776,0.0238,0.0053,0.4079,0.0400,0.0083
0:12:08,10200,0.0882,-0.3359,0.1307,0.0054,0.3282,0.0434,0.0226
0:12:13,10300,-0.0115,-0.2506,0.0483,0.0044,0.3036,0.0438,0.1332
0:12:17,10400,0.1105,-0.3442,0.1972,0.0017,0.3148,0.0428,0.0275
0:12:21,10500,-0.0213,-0.2023,0.0371,0.0040,0.2346,0.0437,0.0133
0:12:26,10600,0.0401,-0.2661,0.2111,0.0027,0.2704,0.0379,0.0055
0:12:30,10700,0.0835,-0.2058,0.1961,0.0017,0.2179,0.0345,0.0166
0:12:34,10800,0.0979,-0.2405,0.0653,0.0027,0.2418,0.0331,0.0325
0:12:39,10900,0.0651,-0.2696,0.0133,0.0050,0.2621,0.0440,0.0050
0:12:43,11000,-0.0232,-0.1721,0.1071,0.0106,0.1650,0.0399,0.0117
0:12:58,11100,0.0718,-0.2703,0.0049,0.0051,0.2553,0.0378,0.0062
0:13:02,11200,0.1182,-0.3037,0.1707,0.0018,0.3203,0.0382,0.0080
0:13:07,11300,0.1215,-0.2656,0.0267,0.0040,0.2732,0.0385,0.0023
0:13:11,11400,0.0999,-0.2340,0.1965,0.0062,0.2819,0.0349,0.0127
0:13:15,11500,0.0289,-0.2383,0.2952,0.0035,0.2363,0.0436,0.0154
0:13:20,11600,0.0181,-0.5456,0.0200,0.0030,0.5360,0.0623,0.0154
0:13:24,11700,0.1065,-0.5093,0.0958,0.0040,0.5197,0.0423,0.0759
0:13:28,11800,0.1522,-0.4693,0.0352,0.0028,0.4924,0.0443,0.0115
0:13:33,11900,0.0515,-0.4442,0.0065,0.0014,0.4415,0.0489,0.0103
0:13:37,12000,-0.0229,-0.3920,0.1865,0.0072,0.3885,0.0442,0.0128
0:13:52,12100,0.0686,-0.3129,0.2501,0.0036,0.3243,0.0357,0.0130
0:13:56,12200,0.0466,-0.3285,0.0962,0.0039,0.3433,0.0408,0.0126
0:14:00,12300,0.0349,-0.3399,0.3404,0.0043,0.3385,0.0470,0.0028
0:14:04,12400,0.0027,-0.3275,0.0480,0.0016,0.3502,0.0440,0.0058
0:14:09,12500,0.0646,-0.3748,0.1804,0.0018,0.3727,0.0358,0.0061
0:14:13,12600,-0.1027,-0.1927,0.0112,0.0033,0.2268,0.0481,0.0027
0:14:17,12700,0.1039,-0.3859,0.1936,0.0036,0.3671,0.0355,0.0646
0:14:21,12800,0.0776,-0.3651,0.1192,0.0061,0.3369,0.0397,0.0009
0:14:26,12900,0.0090,-0.3455,0.0460,0.0022,0.3590,0.0431,0.0218
0:14:30,13000,-0.0277,-0.3005,0.0059,0.0017,0.2634,0.0381,0.0086
0:14:45,13100,0.0044,-0.2412,0.0360,0.0015,0.2548,0.0373,0.0027
0:14:49,13200,0.0500,-0.3203,0.0243,0.0048,0.2919,0.0527,0.0131
0:14:53,13300,-0.0455,-0.1881,0.0304,0.0016,0.2089,0.0410,0.0191
0:14:57,13400,0.0032,-0.2804,0.0821,0.0025,0.2612,0.0365,0.0039
0:15:02,13500,0.0272,-0.3553,0.1253,0.0036,0.3343,0.0376,0.0149
0:15:06,13600,0.0496,-0.3177,0.0438,0.0030,0.2945,0.0364,0.0363
0:15:10,13700,0.0412,-0.2781,0.2656,0.0024,0.2550,0.0387,0.0071
0:15:15,13800,-0.0464,-0.2197,0.1343,0.0036,0.2227,0.0373,0.0082
0:15:19,13900,0.1071,-0.3324,0.0054,0.0010,0.3332,0.0276,0.0113
0:15:23,14000,0.0017,-0.2782,0.0395,0.0012,0.2921,0.0419,0.0348
0:15:37,14100,-0.0069,-0.2346,0.0100,0.0016,0.2467,0.0371,0.0107
0:15:41,14200,0.0372,-0.3088,0.1288,0.0026,0.2921,0.0391,0.0418
0:15:45,14300,-0.0886,-0.1605,0.0601,0.0015,0.1813,0.0393,0.0018
0:15:50,14400,0.0308,-0.3010,0.3612,0.0034,0.2813,0.0363,0.0298
0:15:54,14500,-0.0792,-0.2129,0.0082,0.0040,0.2256,0.0389,0.0036
0:15:58,14600,-0.0116,-0.2507,0.0351,0.0030,0.2326,0.0352,0.0035
0:16:03,14700,0.0734,-0.3062,0.0206,0.0038,0.3209,0.0356,0.0110
0:16:07,14800,-0.0643,-0.1693,0.0052,0.0018,0.1833,0.0422,0.0083
0:16:11,14900,-0.0157,-0.1898,0.0167,0.0031,0.2201,0.0403,0.1094
0:16:15,15000,0.0050,-0.3088,0.0126,0.0032,0.3580,0.0420,0.0208
0:16:30,15100,-0.0221,-0.2687,0.0028,0.0016,0.2802,0.0384,0.0008
0:16:35,15200,0.1380,-0.6630,0.0211,0.0054,0.6763,0.0633,0.0003
