source,domain,accuracy,loss,f1
WAL,15,0.8679245283018868,0.8336471434283469,0.8346128822381262
WAL,16,0.8090909090909091,0.7959068265710292,0.7637482900136799
WAL,17,0.7706422018348624,1.3255343432704518,0.7194776161856572
WAL,18,0.9272727272727272,0.2127413460569057,0.9226681539893454
WAL,19,0.8,0.6903386486062247,0.7455922865013774
WAL,20,0.7476635514018691,1.365231505362317,0.6924514737598849
WAL,21,0.9805825242718447,0.12861224706492586,0.9804535322342082
WAL,22,0.8636363636363636,0.5566793140439715,0.8521319746832943
WAL,23,0.8055555555555556,1.035994670474403,0.7768684649939951
WAL,24,0.8037383177570093,0.786397064670122,0.7675516234455035
WAL,25,0.9,0.36832598831305013,0.8965231259968102
WAL,26,0.7448979591836735,1.8156356811523438,0.6929848862621972
WAL,27,0.5636363636363636,1.4245815378297786,0.45098605098605105
WAL,28,0.8775510204081632,1.1269034147262573,0.8346109175377469
WAL,29,0.9489795918367347,0.23314037919044495,0.9453038603481082
WAL,30,0.8113207547169812,1.3795076978692253,0.757498826216665
WAL,31,0.8484848484848485,1.0615062713623047,0.7798573975044563
WAL,32,0.7962962962962963,2.435444143600762,0.748728243622195
WAL,33,0.85,0.5772426128387451,0.8283775048480932
WAL,34,0.7619047619047619,1.5864594690480902,0.6848179271708683
WAL,35,0.8076923076923077,1.8116426903205658,0.7261072261072261
WAL,36,0.8484848484848485,0.8782906532287598,0.7816750178954903
WAL,37,0.8979591836734694,0.4496638774871826,0.8721618517536883
WAL,38,0.7087378640776699,2.421602762108835,0.7083894643935523
WAL,39,0.7636363636363637,1.770045296796265,0.7191816439494458
WAL,40,0.79,0.7665975093841553,0.7338938580799046
WAL,41,0.7722772277227723,2.1294681031722575,0.7199610561980697
WAL,42,0.6470588235294118,1.5655011120834388,0.5159844867813161
WAL,43,0.826530612244898,1.0259265899658203,0.783661499790532
WAL,44,0.8877551020408163,0.44570377469062805,0.8488966318234612
WAL,45,0.8796296296296297,0.4525645743165764,0.8502524788367083
WAL,46,0.8269230769230769,0.8084769354401422,0.7717032967032968
WAL,47,0.89,0.41253626346588135,0.8495588235294117
WAL,48,0.9134615384615384,0.32562586907962604,0.8929620087514822
WAL,49,0.6788990825688074,1.6150824863580056,0.602462165764918
WAL,50,0.9285714285714286,0.27264973521232605,0.8963816515056601
WAL,51,0.9117647058823529,0.7876515242567815,0.8823754789272031
WAL,52,0.8877551020408163,0.6963510513305664,0.865712548321244
WAL,53,0.8557692307692307,0.8469422243511612,0.818685870881397
WAL,54,0.8979591836734694,0.4487003684043884,0.8841912917999875
WAL,55,0.9142857142857143,0.4552213088941893,0.8871679843108415
WAL,56,0.8673469387755102,0.6635720133781433,0.8220265610096117
WAL,57,0.8571428571428571,0.37290138006210327,0.7917833800186741
WAL,58,0.9148936170212766,0.320029616355896,0.8943355729749907
WAL,59,0.9090909090909091,0.267132043838501,0.8950169219392897
WAL,60,0.7475728155339806,2.2479718113318086,0.6742648093429013
WAL,61,0.6310679611650486,2.160613022811179,0.5395947470708614
WAL,62,0.8155339805825242,1.031913802368633,0.7391157958114976
WAL,63,0.6224489795918368,1.6418545246124268,0.5194077631052421
WAL,64,0.9489795918367347,0.2109919935464859,0.9415204678362574
WAL,65,0.8207547169811321,0.9529889809699382,0.7802183240906247
WAL,66,0.8775510204081632,2.168020248413086,0.838468720821662
WAL,67,0.8673469387755102,0.5639626383781433,0.8320346320346319
WAL,68,0.8787878787878788,0.3329005241394043,0.8638954883417558
WAL,69,0.8571428571428571,0.7531036138534546,0.8060394889663183
WAL,70,0.673469387755102,1.3539083003997803,0.6004583651642476
WAL,71,0.9,0.5916591882705688,0.8587137452711224
WAL,72,0.8877551020408163,0.5306949019432068,0.8624904507257448
WAL,73,0.6185567010309279,2.34704327583313,0.5061232962014807
WAL,74,0.9120879120879121,0.7691413164138794,0.8769717484126458
WAL,75,0.8979591836734694,0.29115724563598633,0.8622525015967639
