step,source,target,accuracy,loss
10000,WAL,RUN,0.03170156296077853,10.6295747756958
10000,WAL,CLD,0.05308168681804777,8.851017951965332
10000,WAL,CLU,0.07210262459451489,9.385284423828125
20000,WAL,RUN,0.030669419050427603,11.452301025390625
20000,WAL,CLD,0.08242406369802419,8.935442924499512
20000,WAL,CLU,0.07564140371571808,10.410388946533203
30000,WAL,RUN,0.03184901209082867,11.146286964416504
30000,WAL,CLD,0.07903273370687112,8.91239070892334
30000,WAL,CLU,0.07269242111471542,10.311514854431152
40000,WAL,RUN,0.02079032733706871,12.76697826385498
40000,WAL,CLD,0.058684753759952815,10.434244155883789
40000,WAL,CLU,0.06738425243291064,12.267518997192383
50000,WAL,RUN,0.01843114125626659,12.085809707641602
50000,WAL,CLD,0.1027720436449425,8.774369239807129
50000,WAL,CLU,0.09097611324093188,10.3784818649292
60000,WAL,RUN,0.028015334709525212,11.187520980834961
60000,WAL,CLD,0.10218224712474197,8.831282615661621
60000,WAL,CLU,0.08360365673842525,10.461301803588867
70000,WAL,RUN,0.02285461515777057,12.501428604125977
70000,WAL,CLD,0.10793276319669715,8.657554626464844
70000,WAL,CLU,0.0725449719846653,10.926928520202637
80000,WAL,RUN,0.025803597758773222,11.853301048278809
80000,WAL,CLD,0.1014450014744913,8.624358177185059
80000,WAL,CLU,0.07564140371571808,10.591229438781738
90000,WAL,RUN,0.04305514597463875,11.223245620727539
90000,WAL,CLD,0.08846947803007962,8.437455177307129
90000,WAL,CLU,0.06414037157180773,10.930018424987793
100000,WAL,RUN,0.030816868180477734,11.37004566192627
100000,WAL,CLD,0.09495723975228545,8.84822940826416
100000,WAL,CLU,0.0797699793571218,10.8287935256958
110000,WAL,RUN,0.03730462990268357,11.84030818939209
110000,WAL,CLD,0.10291949277499263,8.578774452209473
110000,WAL,CLU,0.09156590976113241,10.780696868896484
120000,WAL,RUN,0.03229135948097906,10.895861625671387
120000,WAL,CLD,0.10203479799469183,8.774828910827637
120000,WAL,CLU,0.09363019758183427,11.121419906616211
130000,WAL,RUN,0.04305514597463875,10.522000312805176
130000,WAL,CLD,0.1086700088469478,7.880702018737793
130000,WAL,CLU,0.0793276319669714,9.922086715698242
140000,WAL,RUN,0.04792096726629313,10.485206604003906
140000,WAL,CLD,0.12164553229135948,8.392281532287598
140000,WAL,CLU,0.08330875847832497,10.24983024597168
