Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds
0:45:40,3200,100000,0.182867,0.034795,0.073717,0.086716,0.052226,0.034712,1.089481,0.010975,0.014088,0.415598,0.003590,0.770249,0.015756,0.021742,0.036113,0.000008,0.968000
0:46:17,3300,100000,0.216574,0.133494,0.053214,0.153034,0.172383,0.040836,0.553957,0.010628,0.011896,0.408160,0.002905,0.540001,0.010855,0.014091,0.004798,0.000004,0.967000
0:46:54,3400,100000,0.250629,0.130220,0.063169,0.160144,0.171974,0.047460,0.458680,0.011777,0.013348,0.380717,0.002701,0.458363,0.011986,0.014789,0.006215,0.000003,0.966000
0:47:32,3500,100000,0.246594,0.275607,0.018628,0.291556,0.116147,0.023830,0.360309,0.011575,0.012428,0.418762,0.003146,0.340022,0.011576,0.013244,0.000873,0.000003,0.965000
0:48:33,3600,100000,0.258697,0.125419,0.027029,0.192356,0.119451,0.029947,0.476478,0.008344,0.010315,0.401928,0.002580,0.426779,0.008572,0.012685,0.005717,0.000003,0.964000
0:49:09,3700,100000,0.074499,0.029177,0.077404,0.031771,0.034568,0.055685,0.993622,0.017686,0.020301,0.306560,0.002460,0.664157,0.015992,0.016945,0.002521,0.000003,0.963000
0:49:45,3800,100000,0.156568,0.277867,0.023357,0.233708,0.170643,0.038131,0.313335,0.011727,0.012599,0.446688,0.002687,0.309947,0.011640,0.012575,0.001178,0.000002,0.962000
0:50:23,3900,100000,0.143271,0.152609,0.059243,0.130476,0.124637,0.057435,0.456471,0.015623,0.016146,0.408921,0.002424,0.448175,0.015572,0.016474,0.001063,0.000002,0.961000
0:50:59,4000,100000,0.124279,0.365645,0.008890,0.170095,0.173383,0.011715,0.513188,0.010223,0.011443,0.357545,0.002690,0.440359,0.010368,0.012024,0.002347,0.000001,0.960000
0:59:55,4100,100000,0.218620,0.152057,0.072446,0.122725,0.201556,0.044142,0.511019,0.013802,0.014808,0.408453,0.002472,0.479738,0.013804,0.015742,0.001232,0.000001,0.959000
1:00:31,4200,100000,0.209554,0.187603,0.052629,0.159482,0.188354,0.040580,0.422487,0.008870,0.010150,0.396597,0.002604,0.420740,0.009076,0.011599,0.000765,0.000002,0.958000
1:01:08,4300,100000,0.224982,0.081130,0.070167,0.055116,0.328931,0.021729,0.600285,0.013206,0.016501,0.384290,0.002301,0.592297,0.013398,0.015103,0.001296,0.000002,0.957000
1:01:46,4400,100000,0.148421,0.159395,0.070454,0.140303,0.157748,0.065738,0.471047,0.013266,0.014490,0.334811,0.002041,0.449315,0.013100,0.014478,0.002252,0.000002,0.956000
1:02:25,4500,100000,0.170710,0.211512,0.042290,0.219484,0.110747,0.070064,0.307428,0.011277,0.012845,0.351128,0.001965,0.299157,0.011205,0.013094,0.000767,0.000001,0.955000
1:03:03,4600,100000,0.203883,0.204462,0.047337,0.214482,0.157346,0.051427,0.354332,0.012286,0.012844,0.402690,0.002177,0.343925,0.012226,0.013340,0.000867,0.000001,0.954000
1:03:40,4700,100000,0.151540,0.166399,0.076174,0.154084,0.152736,0.072584,0.394696,0.014573,0.015203,0.354483,0.001861,0.386333,0.014514,0.015286,0.000732,0.000001,0.953000
1:04:40,4800,100000,0.277436,0.136772,0.034718,0.163575,0.114663,0.028666,0.649172,0.011347,0.013009,0.349898,0.001973,0.645627,0.011271,0.013355,0.000791,0.000001,0.952000
1:05:17,4900,100000,0.230617,0.116459,0.023997,0.178127,0.128737,0.027051,0.508642,0.011691,0.012773,0.320741,0.002039,0.499524,0.011637,0.012825,0.001443,0.000001,0.951000
