step,domain,loss,accuracy,f1
10000,6,7.250044822692871,0.45,0.30439814814814814
10000,7,5.482223868370056,0.3,0.18154761904761904
10000,8,3.0334636569023132,0.475,0.35347985347985345
10000,9,4.796864330768585,0.575,0.47727272727272724
10000,10,3.5543115735054016,0.5,0.375
10000,11,5.307191371917725,0.375,0.29551630434782605
10000,12,3.679963529109955,0.45,0.37060513860716704
10000,13,4.727866888046265,0.525,0.4477928692699491
10000,14,4.804625868797302,0.425,0.32068965517241377
10000,15,1.3399289846420288,0.475,0.46044685990338163
10000,16,4.885909140110016,0.5,0.375
10000,17,5.3258209228515625,0.45,0.3
10000,18,6.373867511749268,0.425,0.30606060606060603
10000,19,4.5147369503974915,0.325,0.28354978354978355
10000,20,5.1689293384552,0.325,0.226010101010101
10000,21,6.809103727340698,0.35,0.22604422604422605
10000,22,7.14949893951416,0.375,0.3067552602436323
10000,23,3.130510687828064,0.35,0.25773076028830505
10000,24,3.6464036107063293,0.5,0.3782051282051282
10000,25,8.52038025856018,0.25,0.14285714285714285
10000,26,5.1161088943481445,0.25,0.25
10000,27,3.6477219462394714,0.35,0.2438423645320197
10000,28,1.9953758716583252,0.425,0.4249084249084249
10000,29,6.079824924468994,0.525,0.44617770479839436
10000,30,0.8249897360801697,0.675,0.5899403239556692
10000,31,2.106642246246338,0.425,0.3639784946236559
10000,32,9.338798761367798,0.175,0.07777777777777778
10000,33,2.324477434158325,0.45,0.3028571428571428
10000,34,15.014520645141602,0.25,0.10638297872340426
10000,35,2.8737615644931793,0.575,0.4966120835686053
10000,36,2.465683937072754,0.45,0.32261904761904764
10000,37,4.759848773479462,0.425,0.3326898326898327
10000,38,4.11442631483078,0.475,0.33690476190476193
10000,39,6.634160757064819,0.5,0.375
10000,40,5.112021803855896,0.35,0.2515527950310559
10000,41,4.413611173629761,0.375,0.3031505531505531
10000,42,4.039562821388245,0.45,0.3828704502328791
10000,43,4.027152180671692,0.475,0.3653846153846154
10000,44,6.590081572532654,0.225,0.15517241379310345
10000,45,1.358723759651184,0.575,0.5624223602484472
10000,46,7.221898913383484,0.475,0.3653846153846154
10000,47,5.374048948287964,0.25,0.1388888888888889
10000,48,4.613348960876465,0.375,0.3018018018018018
10000,49,6.304648160934448,0.35,0.2333333333333333
10000,50,5.541854679584503,0.5,0.38946922642574816
10000,51,11.703779220581055,0.25,0.1
10000,52,2.0476633310317993,0.375,0.35635964912280704
10000,53,4.095811069011688,0.5,0.3663003663003663
10000,54,6.506459593772888,0.5,0.33482142857142855
10000,55,3.8772093057632446,0.425,0.3833333333333333
10000,56,1.1889222860336304,0.675,0.5953674948240165
10000,57,8.772486090660095,0.45,0.31868131868131866
10000,58,1.1831360114738345,0.5,0.33670033670033667
10000,59,4.953604221343994,0.425,0.359375
10000,60,5.596603870391846,0.275,0.18908045977011495
10000,61,2.342638373374939,0.35,0.271950271950272
10000,62,8.592064023017883,0.375,0.2720588235294118
10000,63,5.514188706874847,0.375,0.3400178253119429
10000,64,13.857955932617188,0.25,0.1
10000,65,11.146424055099487,0.2702702702702703,0.11500862564692352
10000,66,5.0205307602882385,0.5,0.375
20000,6,10.434196949005127,0.325,0.22544642857142855
20000,7,6.429956912994385,0.425,0.3998833916375146
20000,8,4.714186310768127,0.55,0.4906906906906907
20000,9,11.007947087287903,0.375,0.32222222222222224
20000,10,6.5283313393592834,0.425,0.34469696969696967
20000,11,3.632726550102234,0.425,0.4491183200969175
20000,12,10.122728109359741,0.45,0.3854723707664884
20000,13,5.8596954345703125,0.35,0.27443609022556387
20000,14,19.911010265350342,0.325,0.24285714285714283
20000,15,2.1448546648025513,0.475,0.4814705882352941
