Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_gp,D/loss_cls,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:00:08,100,0.0111,0.0053,1.4354,0.7294,2.7094,1.0231,0.3140,1.3918,2.7135,0.2597
0:00:12,200,0.0620,0.0083,1.3163,0.6373,2.7095,0.9697,0.1516,1.3639,2.7083,0.1682
0:00:17,300,0.0074,0.0000,0.9495,0.4728,2.7005,1.0101,0.1311,1.4109,2.7057,0.1524
0:00:22,400,0.0029,0.0003,0.8116,0.6150,2.7118,1.0462,0.1159,1.4550,2.7191,0.1321
0:00:26,500,0.0005,0.0001,0.9343,0.5868,2.7317,0.9437,0.1125,1.2061,2.7192,0.1399
0:00:31,600,0.0026,0.0004,0.7072,0.3849,2.7331,0.9333,0.1179,0.9668,2.7208,0.1625
0:00:36,700,0.0009,0.0001,0.9019,0.4549,2.7182,0.9995,0.0905,1.1554,2.7101,0.1217
0:00:41,800,0.0026,0.0000,0.8190,0.5787,2.6396,0.9837,0.0958,1.0303,2.7063,0.1065
0:00:46,900,0.0010,0.0001,0.6073,0.4624,2.6625,0.9674,0.1052,0.7297,2.7258,0.1402
0:00:51,1000,0.0038,0.0005,0.7904,0.4072,2.6756,0.9578,0.0907,0.7323,2.7001,0.1160
0:01:19,1100,0.0104,0.0039,0.6190,0.5161,2.6938,1.0311,0.1031,0.5445,2.7265,0.1098
0:01:24,1200,0.0004,0.0000,0.6997,0.4525,2.7367,0.9943,0.0963,0.6027,2.7533,0.1444
0:01:29,1300,0.0015,0.0004,0.5844,0.6817,2.7243,1.0643,0.0957,0.6014,2.7127,0.1300
0:01:34,1400,0.0047,0.0002,0.6088,0.6295,2.7167,1.0126,0.1071,0.6761,2.7069,0.1282
0:01:39,1500,0.0013,0.0001,0.6255,0.5026,2.7408,0.9964,0.0914,0.7603,2.6971,0.1243
0:01:44,1600,0.0007,0.0003,0.9647,0.6016,2.7485,1.0449,0.0778,1.0666,2.7133,0.1086
0:01:49,1700,0.0015,0.0001,0.5013,0.6067,2.7812,1.0095,0.0797,0.8067,2.7347,0.0856
0:01:53,1800,0.0045,0.0000,0.6230,0.5571,2.7727,0.9992,0.0857,0.9563,2.7102,0.1305
