Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_trts,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_trts,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds,G/lambda_dom,G/lambda_trts
0:01:01,100,100000,0.108278,0.018685,0.009886,0.011168,0.031979,0.011541,0.325708,84.713211,22.415648,0.339448,0.318041,0.687766,0.742447,0.411953,44.812683,8.608187,0.330424,0.240373,2.704041,0.014365,0.000000,0.004950,0.049500
0:01:33,200,100000,0.039311,0.011829,0.047251,0.003244,0.115748,0.019460,0.745970,66.419685,0.174601,0.171662,0.161325,0.566280,0.532098,0.528986,13.783143,2.539619,0.161279,0.121933,0.542903,0.011318,0.000000,0.009950,0.099500
0:02:05,300,100000,0.134494,0.005591,0.034715,0.017408,0.109826,0.026009,0.388170,52.193516,0.024322,0.124146,0.101468,0.516587,0.483576,0.310140,12.574821,0.834800,0.112396,0.086400,0.387728,0.003375,0.000000,0.014950,0.149500
0:02:38,400,100000,0.131886,0.007794,0.026028,0.038261,0.171450,0.025061,0.578418,33.461887,0.119363,0.104856,0.097625,0.554924,0.378984,0.226102,9.241017,0.120525,0.100253,0.080462,0.223433,0.004525,0.000000,0.019950,0.199500
0:03:11,500,100000,0.112006,0.003438,0.020331,0.023783,0.134279,0.018810,0.502266,36.187199,0.022039,0.111215,0.104949,0.616200,0.273481,0.221365,13.686052,0.052546,0.094195,0.079751,0.294267,0.002364,0.000000,0.024950,0.249500
0:03:59,600,100000,0.069544,0.000966,0.034471,0.016354,0.152039,0.023064,0.552364,29.721985,0.188884,0.084854,0.073882,0.545083,0.296515,0.255149,14.419977,0.015057,0.073167,0.065365,0.342718,0.002756,0.000000,0.029950,0.299500
0:04:33,700,100000,0.063002,0.002027,0.023042,0.013946,0.093403,0.021158,0.409561,18.265362,0.001605,0.066250,0.066023,0.562356,0.233528,0.341214,18.404486,0.001373,0.057838,0.049697,2.224007,0.006540,0.000000,0.034950,0.349500
0:05:07,800,100000,0.088294,0.001784,0.016007,0.041435,0.117443,0.017164,0.396929,6.647543,0.000557,0.075198,0.068451,0.530914,0.213875,0.418385,6.114058,0.072137,0.067071,0.061187,0.319785,0.003705,0.000000,0.039950,0.399500
0:05:41,900,100000,0.072169,0.001147,0.027203,0.016292,0.107891,0.019681,0.500952,17.861160,0.000823,0.085103,0.082159,0.454988,0.163079,0.256836,6.447779,0.001630,0.076543,0.071449,0.297845,0.000986,0.000000,0.044950,0.449500
0:06:43,1000,100000,0.061713,0.000106,0.031244,0.019117,0.165917,0.022618,0.528612,7.252178,0.001306,0.072144,0.068194,0.595698,0.135139,0.215069,5.353066,0.007930,0.066444,0.060704,0.230542,0.001676,0.000000,0.049950,0.499500
