step,source,target,accuracy,loss
10000,WAL,RUN,0.06384547331170747,9.648503303527832
10000,WAL,CLD,0.07667354762606901,8.876806259155273
10000,WAL,CLU,0.0856679445591271,9.586291313171387
20000,WAL,RUN,0.0865526393394279,9.103741645812988
20000,WAL,CLD,0.11707460925980537,8.17333698272705
20000,WAL,CLU,0.0964317310527868,8.22641372680664
30000,WAL,RUN,0.09053376585078148,9.35135269165039
30000,WAL,CLD,0.14405780005897964,8.174156188964844
30000,WAL,CLU,0.11486287230905337,8.474638938903809
40000,WAL,RUN,0.08817457976997936,9.13595962524414
40000,WAL,CLD,0.1446475965791802,7.983815670013428
40000,WAL,CLU,0.12459451489236213,8.09428596496582
50000,WAL,RUN,0.09023886759068121,9.38414478302002
50000,WAL,CLD,0.16263639044529637,7.9402947425842285
50000,WAL,CLU,0.12783839575346506,8.468717575073242
60000,WAL,RUN,0.08935417281038043,9.340243339538574
60000,WAL,CLD,0.17693895606015925,7.58497428894043
60000,WAL,CLU,0.14759657918018285,8.029561996459961
70000,WAL,RUN,0.09466234149218519,9.216415405273438
70000,WAL,CLD,0.16971394868770273,7.451362609863281
70000,WAL,CLU,0.1461220878796815,7.855962753295898
80000,WAL,RUN,0.08920672368033028,9.248152732849121
80000,WAL,CLD,0.17841344736066056,7.414602756500244
80000,WAL,CLU,0.16337363609554703,7.7587761878967285
90000,WAL,RUN,0.08198171630787378,9.274660110473633
90000,WAL,CLD,0.1847537599528163,7.206909656524658
90000,WAL,CLU,0.16396343261574756,7.820120334625244
100000,WAL,RUN,0.0861102919492775,8.97523307800293
100000,WAL,CLD,0.17590681214980833,7.254435062408447
100000,WAL,CLU,0.1439103509289295,7.82720422744751
110000,WAL,RUN,0.09628428192273665,8.870086669921875
110000,WAL,CLD,0.17870834562076085,7.195586204528809
110000,WAL,CLU,0.12665880271306398,8.00784683227539
120000,WAL,RUN,0.03170156296077853,9.836995124816895
120000,WAL,CLD,0.02403420819817163,9.973455429077148
120000,WAL,CLU,0.021085225597168977,10.729086875915527
130000,WAL,RUN,0.1001179593040401,8.819807052612305
130000,WAL,CLD,0.1776762017104099,7.408979415893555
130000,WAL,CLU,0.13506340312592155,7.877819538116455
140000,WAL,RUN,0.09082866411088175,9.059985160827637
140000,WAL,CLD,0.1835741669124152,7.262208461761475
140000,WAL,CLU,0.1641108817457977,7.63950252532959
150000,WAL,RUN,0.09687407844293719,8.793325424194336
150000,WAL,CLD,0.19197876732527278,7.245864391326904
150000,WAL,CLU,0.1312297257446181,7.93303108215332
160000,WAL,RUN,0.09245060454143321,8.95236873626709
160000,WAL,CLD,0.1803302860513123,7.3327202796936035
160000,WAL,CLU,0.14184606310822767,7.956148147583008
170000,WAL,RUN,0.09230315541138308,8.900702476501465
170000,WAL,CLD,0.18239457387201416,7.197545528411865
170000,WAL,CLU,0.16012975523444412,7.685059070587158
180000,WAL,RUN,0.09466234149218519,8.746150016784668
180000,WAL,CLD,0.17266293128870538,7.00786018371582
180000,WAL,CLU,0.11840165143025656,7.916445255279541
190000,WAL,RUN,0.08802713063992923,8.68784236907959
190000,WAL,CLD,0.17797109997051017,7.376896858215332
190000,WAL,CLU,0.15069301091123563,7.892453670501709
200000,WAL,RUN,0.10704806841639634,8.769412994384766
200000,WAL,CLD,0.1938956060159245,7.10608434677124
200000,WAL,CLU,0.15069301091123563,7.842751979827881
210000,WAL,RUN,0.10454143320554408,8.415812492370605
210000,WAL,CLD,0.18298437039221468,7.179183006286621
210000,WAL,CLU,0.15231495134178707,7.708729267120361
220000,WAL,RUN,0.09893836626363904,8.932595252990723
220000,WAL,CLD,0.19301091123562372,7.144365310668945
220000,WAL,CLU,0.1669124152167502,7.6360650062561035
230000,WAL,RUN,0.09407254497198467,8.828537940979004
230000,WAL,CLD,0.16941905042760247,7.5491743087768555
230000,WAL,CLU,0.12429961663226187,7.899808883666992
