Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_gp,D/loss_cls,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:00:14,100,-9.0499,1.4305,1.3486,0.1606,2.6932,-1.6552,0.3259,1.3494,2.7081,0.2537
0:00:24,200,-7.0211,-0.5136,1.3734,0.0557,2.7292,1.0787,0.1644,1.3742,2.7362,0.1759
0:00:35,300,-8.2819,0.0150,1.4250,0.1531,2.6949,-0.8322,0.1357,1.3992,2.7030,0.1544
0:00:45,400,-4.6328,-1.5927,1.4524,0.0703,2.7273,1.5215,0.1301,1.4269,2.7190,0.1469
0:00:56,500,-3.1827,-1.5115,1.3328,0.0166,2.7088,1.6123,0.1044,1.3321,2.7000,0.1224
0:01:06,600,-4.5788,-0.4070,1.3322,0.0385,2.7562,-0.1742,0.1051,1.3303,2.7531,0.1633
0:01:17,700,-2.7412,-1.1431,1.3260,0.0115,2.7086,1.2229,0.1006,1.3272,2.7104,0.1286
0:01:28,800,-4.4962,1.4580,1.3843,0.0051,2.7191,-1.7538,0.0964,1.3689,2.7146,0.1071
0:01:38,900,-2.2106,-1.2140,1.3146,0.0310,2.7246,1.1083,0.1003,1.3159,2.7181,0.1387
0:01:49,1000,-1.0853,-1.5757,1.3392,0.0005,2.7304,1.5802,0.0828,1.3411,2.7315,0.0953
0:02:24,1100,-2.6247,-0.6933,1.4009,0.0277,2.7209,0.5171,0.0883,1.3973,2.7132,0.1024
0:02:34,1200,-3.7818,0.5311,1.2955,0.0096,2.7066,-0.8427,0.0974,1.3028,2.6962,0.1402
0:02:45,1300,-3.2691,1.7604,1.3311,0.0479,2.7186,-0.7641,0.1008,1.3564,2.7152,0.1299
0:02:56,1400,-18.8000,17.8016,1.3756,0.0027,2.6812,-16.1012,0.1067,1.3627,2.6824,0.1514
0:03:07,1500,-8.8307,7.0882,1.3561,0.0285,2.7147,-6.6387,0.1023,1.3613,2.7124,0.1554
0:03:17,1600,-7.2536,6.3624,1.3454,0.0063,2.7103,-6.4352,0.1106,1.3424,2.7125,0.1361
0:03:28,1700,-5.7625,5.9522,1.3272,0.0068,2.7087,-5.9276,0.0808,1.3257,2.7088,0.0804
0:03:38,1800,-7.0420,5.3504,1.4035,0.0028,2.7653,-5.4365,0.0681,1.3929,2.7522,0.1611
0:03:49,1900,-8.8904,7.5985,1.3145,0.0089,2.7138,-7.8752,0.0832,1.2911,2.7115,0.1537
