step,source,domain,accuracy,loss
10000,WAL,10,0.8398692810457516,0.5185808137990534
10000,WAL,11,0.7986230636833046,0.7441983935041208
10000,WAL,12,0.8856152512998267,0.43235504304848293
10000,WAL,13,0.9780564263322884,0.048256961067818335
10000,WAL,14,0.8967297762478486,0.25254447035531485
20000,WAL,10,0.9477124183006536,0.13067697930673602
20000,WAL,11,0.9518072289156626,0.09838582213997142
20000,WAL,12,0.8977469670710572,0.3216242825898689
20000,WAL,13,0.9529780564263323,0.22348097264760086
20000,WAL,14,0.8278829604130808,0.5373902283346979
30000,WAL,10,0.8823529411764706,0.385053058154881
30000,WAL,11,0.9397590361445783,0.283270823291241
30000,WAL,12,0.7972270363951474,0.7713638700133743
30000,WAL,13,0.8871473354231975,0.3572674062100873
30000,WAL,14,0.9036144578313253,0.2584642843437905
40000,WAL,10,0.9526143790849673,0.1566595525437151
40000,WAL,11,0.9483648881239243,0.1742328550051752
40000,WAL,12,0.9150779896013865,0.28411993310910477
40000,WAL,13,0.9153605015673981,0.30387187888816525
40000,WAL,14,0.7039586919104991,0.8349954965568032
50000,WAL,10,0.9526143790849673,0.12246005738707026
50000,WAL,11,0.8605851979345955,0.3453811002458679
50000,WAL,12,0.8353552859618717,0.4868026940018808
50000,WAL,13,0.9184952978056427,0.44906004853505693
50000,WAL,14,0.7607573149741824,0.7951215489330934
60000,WAL,10,0.9738562091503268,0.08347162592981476
60000,WAL,11,0.8554216867469879,0.36346880177006824
60000,WAL,12,0.854419410745234,0.41752781756964624
60000,WAL,13,0.9561128526645768,0.12159416093413711
60000,WAL,14,0.7814113597246127,0.6620700503015542
70000,WAL,10,0.9444444444444444,0.12763614244759083
70000,WAL,11,0.9483648881239243,0.17132623717188836
70000,WAL,12,0.8734835355285961,0.3648384245512716
70000,WAL,13,0.9686520376175548,0.0765129417128719
70000,WAL,14,0.846815834767642,0.360964675701689
80000,WAL,10,0.9477124183006536,0.16023603798821567
80000,WAL,11,0.8812392426850258,0.3052644486120698
80000,WAL,12,0.9116117850953206,0.3241538965233701
80000,WAL,13,0.9247648902821317,0.2503463192375676
80000,WAL,14,0.7504302925989673,0.8402800694668258
90000,WAL,10,0.9526143790849673,0.11747749190581089
90000,WAL,11,0.9432013769363167,0.16188792433549679
90000,WAL,12,0.8682842287694974,0.44831201173205953
90000,WAL,13,0.9341692789968652,0.2657980736344438
90000,WAL,14,0.7882960413080895,0.6741917816096474
100000,WAL,10,0.9150326797385621,0.2924185745418072
100000,WAL,11,0.9604130808950087,0.11796699943952263
100000,WAL,12,0.9168110918544194,0.35378260864654293
100000,WAL,13,0.9968652037617555,0.022778382897075743
100000,WAL,14,0.9018932874354562,0.3649963374942672
110000,WAL,10,0.9591503267973857,0.11940069928532467
110000,WAL,11,0.7641996557659209,0.5562389182610786
110000,WAL,12,0.8977469670710572,0.3230042807243535
110000,WAL,13,0.987460815047022,0.03753576222474635
110000,WAL,14,0.8037865748709122,0.6901029039159766
120000,WAL,10,0.946078431372549,0.14657864269684068
120000,WAL,11,0.8537005163511188,0.4054855191474417
120000,WAL,12,0.8890814558058926,0.3906568148483281
120000,WAL,13,0.9780564263322884,0.06348775746248805
120000,WAL,14,0.7452667814113597,0.9061476428406877
130000,WAL,10,0.9591503267973857,0.11372434438671916
130000,WAL,11,0.9363166953528399,0.15875591974418057
130000,WAL,12,0.9116117850953206,0.3133796306358704
130000,WAL,13,0.9373040752351097,0.18246406558887288
130000,WAL,14,0.7039586919104991,1.3205444710984011
140000,WAL,10,0.9689542483660131,0.0921683620431395
140000,WAL,11,0.8743545611015491,0.3154336635940808
140000,WAL,12,0.8700173310225303,0.5336401459232007
140000,WAL,13,0.9373040752351097,0.1643748339265386
140000,WAL,14,0.8123924268502581,0.6053195348539703
150000,WAL,10,0.9493464052287581,0.12615736438456224
150000,WAL,11,0.8141135972461274,0.41246535041532295
150000,WAL,12,0.8752166377816292,0.4985232428985512
150000,WAL,13,0.9310344827586207,0.30812321705743084
150000,WAL,14,0.7074010327022375,1.1235009268622889
160000,WAL,10,0.9575163398692811,0.1297057805211807
160000,WAL,11,0.8777969018932874,0.3222880041808821
160000,WAL,12,0.8838821490467937,0.4532496298473916
160000,WAL,13,0.9216300940438872,0.3846065849997039
160000,WAL,14,0.7590361445783133,0.7587847744978262
170000,WAL,10,0.9591503267973857,0.12232583274599165
170000,WAL,11,0.9707401032702238,0.10297557544436131
170000,WAL,12,0.9185441941074524,0.3273793275595381
170000,WAL,13,0.9905956112852664,0.03207486334599707
170000,WAL,14,0.8175559380378657,0.6454618474032031
180000,WAL,10,0.9509803921568627,0.13335392265944393
180000,WAL,11,0.8898450946643718,0.28732519928871625
180000,WAL,12,0.8890814558058926,0.3638083046239835
180000,WAL,13,0.9310344827586207,0.21725922934664013
180000,WAL,14,0.7280550774526678,0.9518493141178623
190000,WAL,10,0.9705882352941176,0.06648055802797899
190000,WAL,11,0.963855421686747,0.14669751040055418
190000,WAL,12,0.9081455805892548,0.4785639720104996
190000,WAL,13,0.9561128526645768,0.10875746943052818
190000,WAL,14,0.7504302925989673,0.7682392839322347
200000,WAL,10,0.9705882352941176,0.09686005238327197
200000,WAL,11,0.8657487091222031,0.32616116345179763
200000,WAL,12,0.8492201039861352,0.488536141788245
200000,WAL,13,0.9247648902821317,0.2023557038977259
200000,WAL,14,0.7865748709122203,0.7841243538859999
210000,WAL,10,0.9362745098039216,0.21673809025669472
210000,WAL,11,0.8554216867469879,0.3905200282029909
210000,WAL,12,0.8665511265164645,0.42414866701741405
210000,WAL,13,0.8934169278996865,0.5562242440413683
210000,WAL,14,0.693631669535284,1.495268325078723
220000,WAL,10,0.9444444444444444,0.2046166599229764
220000,WAL,11,0.9328743545611016,0.27751608762519026
220000,WAL,12,0.8908145580589255,0.4503336197943213
220000,WAL,13,0.9686520376175548,0.0703794751548795
220000,WAL,14,0.9208261617900172,0.2830031211102323
230000,WAL,10,0.9673202614379085,0.08716059573926031
230000,WAL,11,0.9466437177280551,0.18681928506630358
230000,WAL,12,0.8769497400346621,0.5246360850335805
230000,WAL,13,0.9310344827586207,0.21276920469938432
230000,WAL,14,0.8037865748709122,0.8087612811723375
240000,WAL,10,0.9575163398692811,0.11009990668389946
240000,WAL,11,0.9018932874354562,0.24097446905861944
240000,WAL,12,0.9116117850953206,0.32772003252275683
240000,WAL,13,0.9435736677115988,0.1529122140490678
240000,WAL,14,0.7521514629948365,0.7697191478053356
250000,WAL,10,0.9411764705882353,0.18039335547146038
250000,WAL,11,0.9449225473321858,0.13825438464027684
250000,WAL,12,0.8405545927209706,0.5186917724654393
250000,WAL,13,0.9373040752351097,0.1803464045747857
250000,WAL,14,0.8089500860585198,0.6439241566800774
260000,WAL,10,0.9444444444444444,0.14646463192184456
260000,WAL,11,0.9724612736660929,0.11955538452202745
260000,WAL,12,0.8890814558058926,0.40642078496712203
260000,WAL,13,0.9310344827586207,0.1472191191277709
260000,WAL,14,0.7900172117039587,0.8156139382968831
270000,WAL,10,0.946078431372549,0.15750324739783536
270000,WAL,11,0.9604130808950087,0.1537206590648566
270000,WAL,12,0.8856152512998267,0.3907998554054757
