step,source,domain,accuracy,loss
10000,WAL,15,0.56,3.3299920558929443
10000,WAL,16,0.5185185185185185,5.410696029663086
10000,WAL,17,0.5283018867924528,1.966579556465149
10000,WAL,18,0.6851851851851852,1.5766851902008057
10000,WAL,19,0.5185185185185185,8.158373832702637
10000,WAL,20,0.5490196078431373,1.716597318649292
10000,WAL,21,0.5957446808510638,4.635316371917725
10000,WAL,22,0.5185185185185185,4.976364612579346
10000,WAL,23,0.5384615384615384,4.473621845245361
10000,WAL,24,0.7254901960784313,0.7242132425308228
10000,WAL,25,0.5185185185185185,4.8618292808532715
10000,WAL,26,0.6666666666666666,4.116755962371826
10000,WAL,27,0.5185185185185185,5.877687931060791
10000,WAL,28,0.6666666666666666,2.2249228954315186
10000,WAL,29,0.6666666666666666,3.6118900775909424
10000,WAL,30,0.56,4.364904403686523
10000,WAL,31,0.6511627906976745,3.851886510848999
10000,WAL,32,0.5384615384615384,3.0027525424957275
10000,WAL,33,0.7045454545454546,1.715765118598938
10000,WAL,34,0.5714285714285714,2.789966583251953
10000,WAL,35,0.5833333333333334,5.091667652130127
10000,WAL,36,0.6511627906976745,2.842527389526367
10000,WAL,37,0.6666666666666666,1.159356713294983
10000,WAL,38,0.5957446808510638,3.419811248779297
10000,WAL,39,0.5185185185185185,3.483370542526245
10000,WAL,40,0.6363636363636364,4.907120227813721
10000,WAL,41,0.6222222222222222,3.634143114089966
10000,WAL,42,0.6086956521739131,7.263795375823975
10000,WAL,43,0.7142857142857143,3.2250165939331055
10000,WAL,44,0.6666666666666666,2.5848166942596436
10000,WAL,45,0.5384615384615384,1.9508287906646729
10000,WAL,46,0.7291666666666666,2.1875112056732178
10000,WAL,47,0.6363636363636364,5.414209842681885
10000,WAL,48,0.5833333333333334,3.0791189670562744
10000,WAL,49,0.7547169811320755,1.4468027353286743
10000,WAL,50,0.6666666666666666,2.9377119541168213
10000,WAL,51,0.6086956521739131,4.2799296379089355
10000,WAL,52,0.6904761904761905,1.0192792415618896
10000,WAL,53,0.5833333333333334,3.6396071910858154
10000,WAL,54,0.6666666666666666,2.063014507293701
10000,WAL,55,0.16326530612244897,5.986384868621826
10000,WAL,56,0.6666666666666666,3.3259098529815674
10000,WAL,57,0.6666666666666666,4.207337856292725
10000,WAL,58,0.7368421052631579,1.0793733596801758
10000,WAL,59,0.6511627906976745,2.4993553161621094
10000,WAL,60,0.5957446808510638,0.8837485909461975
10000,WAL,61,0.5957446808510638,5.479364395141602
10000,WAL,62,0.5957446808510638,2.4525699615478516
10000,WAL,63,0.6666666666666666,2.3223414421081543
10000,WAL,64,0.6904761904761905,1.5082803964614868
10000,WAL,65,0.56,3.6917002201080322
10000,WAL,66,0.6666666666666666,4.178494930267334
10000,WAL,67,0.8333333333333334,0.6979581117630005
10000,WAL,68,0.6744186046511628,1.31912100315094
10000,WAL,69,0.6666666666666666,1.8097069263458252
10000,WAL,70,0.6666666666666666,3.2372472286224365
10000,WAL,71,0.6363636363636364,2.814180612564087
10000,WAL,72,0.8333333333333334,1.8281790018081665
10000,WAL,73,0.6829268292682927,3.2130439281463623
10000,WAL,74,0.8,3.748210906982422
10000,WAL,75,0.6666666666666666,1.4816033840179443
20000,WAL,15,0.56,7.486433506011963
20000,WAL,16,0.7407407407407407,1.663872480392456
20000,WAL,17,0.5283018867924528,1.5526936054229736
20000,WAL,18,0.5185185185185185,3.743072509765625
20000,WAL,19,0.5185185185185185,2.544739246368408
20000,WAL,20,0.6862745098039216,1.4231624603271484
20000,WAL,21,0.5957446808510638,6.3770880699157715
20000,WAL,22,0.5185185185185185,10.460294723510742
20000,WAL,23,0.5384615384615384,5.687133312225342
20000,WAL,24,0.5490196078431373,2.1732919216156006
20000,WAL,25,0.5185185185185185,4.276540279388428
20000,WAL,26,0.6666666666666666,2.560230255126953
20000,WAL,27,0.5185185185185185,7.122386455535889
20000,WAL,28,0.6666666666666666,3.778923511505127
20000,WAL,29,0.6666666666666666,2.4325954914093018
20000,WAL,30,0.56,3.575225830078125
20000,WAL,31,0.6511627906976745,2.868544816970825
20000,WAL,32,0.5384615384615384,1.1109933853149414
20000,WAL,33,0.6363636363636364,1.792988657951355
20000,WAL,34,0.5714285714285714,5.484566688537598
20000,WAL,35,0.5833333333333334,2.591902494430542
20000,WAL,36,0.6511627906976745,4.494261741638184
20000,WAL,37,0.6666666666666666,4.149537086486816
20000,WAL,38,0.6170212765957447,5.679773330688477
20000,WAL,39,0.6296296296296297,6.542478084564209
20000,WAL,40,0.6363636363636364,5.0521440505981445
20000,WAL,41,0.6222222222222222,4.467357158660889
20000,WAL,42,0.6086956521739131,3.9523394107818604
20000,WAL,43,0.6666666666666666,3.597595691680908
20000,WAL,44,0.6666666666666666,2.679417133331299
20000,WAL,45,0.5384615384615384,2.26513671875
20000,WAL,46,0.5833333333333334,2.062690019607544
20000,WAL,47,0.6363636363636364,6.164199352264404
20000,WAL,48,0.5833333333333334,11.397041320800781
20000,WAL,49,0.5471698113207547,2.2766358852386475
20000,WAL,50,0.6666666666666666,5.447988986968994
20000,WAL,51,0.6086956521739131,4.432711601257324
20000,WAL,52,0.6666666666666666,3.9669947624206543
20000,WAL,53,0.5833333333333334,6.734375476837158
20000,WAL,54,0.7142857142857143,1.1208937168121338
20000,WAL,55,0.5714285714285714,2.4867806434631348
20000,WAL,56,0.6666666666666666,4.3185811042785645
20000,WAL,57,0.6666666666666666,4.308251857757568
20000,WAL,58,0.7368421052631579,3.5044844150543213
20000,WAL,59,0.6511627906976745,5.0812907218933105
20000,WAL,60,0.6595744680851063,0.9649001359939575
20000,WAL,61,0.5957446808510638,2.243344783782959
20000,WAL,62,0.7446808510638298,1.3905738592147827
20000,WAL,63,0.6904761904761905,1.9325225353240967
20000,WAL,64,0.6666666666666666,4.273393154144287
20000,WAL,65,0.58,2.9768810272216797
20000,WAL,66,0.6666666666666666,5.761907577514648
20000,WAL,67,0.6666666666666666,2.80218505859375
20000,WAL,68,0.6511627906976745,3.496328592300415
20000,WAL,69,0.6666666666666666,4.630560398101807
20000,WAL,70,0.6666666666666666,3.272928476333618
20000,WAL,71,0.6363636363636364,3.506335973739624
20000,WAL,72,0.6666666666666666,3.5578083992004395
20000,WAL,73,0.6829268292682927,1.473509430885315
20000,WAL,74,0.8,5.547133445739746
20000,WAL,75,0.8333333333333334,0.8603350520133972
30000,WAL,15,0.56,1.5744377374649048
30000,WAL,16,0.5185185185185185,3.7279529571533203
30000,WAL,17,0.5283018867924528,4.262099266052246
30000,WAL,18,0.7592592592592593,0.8383426666259766
30000,WAL,19,0.5185185185185185,3.7495126724243164
30000,WAL,20,0.5490196078431373,3.2661917209625244
30000,WAL,21,0.5957446808510638,2.111661434173584
30000,WAL,22,0.5185185185185185,5.382814407348633
30000,WAL,23,0.5384615384615384,4.481346607208252
30000,WAL,24,0.5490196078431373,4.769024848937988
30000,WAL,25,0.7222222222222222,1.1095119714736938
30000,WAL,26,0.6666666666666666,2.355772018432617
30000,WAL,27,0.5185185185185185,4.723954200744629
30000,WAL,28,0.6666666666666666,1.7768932580947876
30000,WAL,29,0.6666666666666666,4.660305023193359
30000,WAL,30,0.56,3.9744341373443604
30000,WAL,31,0.6511627906976745,3.0485053062438965
30000,WAL,32,0.5384615384615384,1.8462938070297241
30000,WAL,33,0.6363636363636364,4.968727111816406
30000,WAL,34,0.5918367346938775,2.9458415508270264
30000,WAL,35,0.5833333333333334,5.923063278198242
30000,WAL,36,0.6511627906976745,3.2671945095062256
30000,WAL,37,0.6666666666666666,1.3469873666763306
30000,WAL,38,0.5957446808510638,3.7101387977600098
30000,WAL,39,0.5185185185185185,4.308330059051514
30000,WAL,40,0.6363636363636364,2.8120641708374023
30000,WAL,41,0.6222222222222222,4.982660293579102
30000,WAL,42,0.6086956521739131,5.366299629211426
30000,WAL,43,0.8333333333333334,0.7332004904747009
30000,WAL,44,0.6666666666666666,3.4328091144561768
30000,WAL,45,0.5384615384615384,1.6951498985290527
30000,WAL,46,0.5833333333333334,1.8267213106155396
30000,WAL,47,0.6363636363636364,3.3561627864837646
30000,WAL,48,0.5833333333333334,6.733063220977783
30000,WAL,49,0.5283018867924528,2.9291739463806152
30000,WAL,50,0.6666666666666666,3.034189462661743
30000,WAL,51,0.6739130434782609,1.8710637092590332
30000,WAL,52,0.6666666666666666,2.386470079421997
30000,WAL,53,0.5833333333333334,3.0203421115875244
30000,WAL,54,0.7619047619047619,1.434691309928894
30000,WAL,55,0.5714285714285714,3.8439624309539795
30000,WAL,56,0.8333333333333334,0.725152313709259
30000,WAL,57,0.6666666666666666,1.7918014526367188
30000,WAL,58,0.7368421052631579,4.763388156890869
30000,WAL,59,0.6511627906976745,4.409185886383057
30000,WAL,60,0.5957446808510638,2.9027628898620605
30000,WAL,61,0.5957446808510638,5.680038928985596
30000,WAL,62,0.5957446808510638,3.2035162448883057
30000,WAL,63,0.6666666666666666,3.310708999633789
30000,WAL,64,0.6666666666666666,3.7641587257385254
30000,WAL,65,0.56,4.2092204093933105
