source,domain,accuracy,loss
WAL,15,0.8,4.154800891876221
WAL,16,0.7777777777777778,0.8925400972366333
WAL,17,0.2641509433962264,6.536431789398193
WAL,18,0.46296296296296297,3.1375017166137695
WAL,19,0.42592592592592593,4.368931293487549
WAL,20,0.8627450980392157,0.33774787187576294
WAL,21,0.8297872340425532,0.9914509654045105
WAL,22,0.6666666666666666,1.9130629301071167
WAL,23,0.8076923076923077,1.1987637281417847
WAL,24,0.8627450980392157,0.4798624515533447
WAL,25,0.7592592592592593,2.2161006927490234
WAL,26,0.5714285714285714,1.7678180932998657
WAL,27,0.7777777777777778,2.084280490875244
WAL,28,0.47619047619047616,4.235980033874512
WAL,29,0.4523809523809524,2.6347501277923584
WAL,30,0.64,4.793665885925293
WAL,31,0.813953488372093,6.720322608947754
WAL,32,0.9038461538461539,0.1862434446811676
WAL,33,0.7727272727272727,0.650580883026123
WAL,34,0.5918367346938775,12.364326477050781
WAL,35,0.8125,1.0489773750305176
WAL,36,0.7906976744186046,0.8530896306037903
WAL,37,0.8809523809523809,0.28125685453414917
WAL,38,0.6170212765957447,8.417786598205566
WAL,39,0.6296296296296297,1.873543381690979
WAL,40,0.5909090909090909,1.9170050621032715
WAL,41,0.6666666666666666,7.161535739898682
WAL,42,0.43478260869565216,3.0498015880584717
WAL,43,0.7857142857142857,6.6742777824401855
WAL,44,0.8809523809523809,0.4206674098968506
WAL,45,0.9423076923076923,0.09821461886167526
WAL,46,0.8958333333333334,0.3026055097579956
WAL,47,0.8636363636363636,0.7347096800804138
WAL,48,0.7916666666666666,1.1061934232711792
WAL,49,0.8679245283018868,0.5657709240913391
WAL,50,0.7619047619047619,1.4077650308609009
WAL,51,0.6304347826086957,3.2441413402557373
WAL,52,0.9047619047619048,0.3994961678981781
WAL,53,0.5833333333333334,13.570502281188965
WAL,54,0.40476190476190477,2.571082353591919
WAL,55,0.8775510204081632,0.5034557580947876
WAL,56,0.8095238095238095,0.8185980916023254
WAL,57,0.8809523809523809,0.7262408137321472
WAL,58,0.7368421052631579,3.7349326610565186
WAL,59,0.9534883720930233,0.1926487386226654
WAL,60,0.8936170212765957,1.1900638341903687
WAL,61,0.7446808510638298,0.8841925859451294
WAL,62,0.9787234042553191,0.05040100961923599
WAL,63,0.7857142857142857,2.8419008255004883
WAL,64,0.8333333333333334,0.4877479672431946
WAL,65,0.92,1.2469748258590698
WAL,66,0.7142857142857143,7.023322105407715
WAL,67,0.38095238095238093,2.3606042861938477
WAL,68,0.8604651162790697,0.469171404838562
WAL,69,1.0,0.030291233211755753
WAL,70,0.7380952380952381,3.5165934562683105
WAL,71,0.8181818181818182,0.7184682488441467
WAL,72,1.0,0.030214108526706696
WAL,73,0.8292682926829268,1.4118640422821045
WAL,74,0.8,6.447510242462158
WAL,75,0.9761904761904762,0.1108383983373642
