Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom
0:00:08,100,-2.8929,-0.4428,1.4064,0.0209,2.7711,0.6129,0.2777,1.3387,2.7322
0:00:13,200,-1.4881,-1.0023,1.3238,0.0090,2.7148,1.0916,0.1808,1.3649,2.6411
0:00:17,300,-2.0792,-0.2048,1.1841,0.0091,2.7661,0.5373,0.1764,1.4275,2.7093
0:00:22,400,-2.7754,0.1513,1.1734,0.0267,2.7876,-0.0798,0.1755,1.7943,2.7833
0:00:27,500,-1.3724,-0.3168,1.2642,0.0121,2.6350,0.0733,0.1467,1.3356,2.6035
0:00:31,600,-1.4328,-0.3327,1.0675,0.0076,2.7051,0.4844,0.1484,0.9672,2.7602
0:00:36,700,-2.2410,1.2295,0.9293,0.0035,2.5808,-1.0574,0.1405,0.8173,2.5641
0:00:41,800,-1.4495,-0.1189,0.8392,0.0046,2.7358,0.1705,0.1618,1.0398,2.8092
0:00:45,900,-1.2757,-0.0463,1.0587,0.0346,2.6428,0.0498,0.1140,1.0687,2.7162
0:00:50,1000,-1.0932,0.1535,1.3122,0.0028,2.8018,-0.1333,0.1240,0.6756,2.5935
0:01:06,1100,-1.1604,0.0218,0.6927,0.0116,2.4909,0.0317,0.1445,0.7346,2.6313
0:01:10,1200,-1.0079,0.0164,0.9503,0.0092,2.5360,-0.0358,0.1355,0.9262,2.8188
0:01:15,1300,-1.0863,-0.0185,0.9599,0.0060,2.7303,0.0309,0.1246,0.8704,2.9418
0:01:19,1400,-1.1730,-0.1848,0.9130,0.0131,2.5774,0.0622,0.1516,0.7105,2.8230
0:01:24,1500,-0.7562,-0.3607,0.7099,0.0007,2.6533,0.3131,0.1402,0.7166,2.8066
0:01:28,1600,-1.1424,-0.0350,0.9638,0.0020,2.6881,0.1778,0.1483,0.8443,2.6576
0:01:33,1700,-0.6315,-0.3507,0.7295,0.0019,2.6621,0.2116,0.1336,0.8088,2.7581
0:01:38,1800,-0.7337,-0.4244,1.0999,0.0123,2.8176,0.4582,0.1081,0.8844,2.9733
0:01:42,1900,-0.6993,-0.3836,0.9860,0.0011,2.6837,0.4718,0.1458,0.7564,2.8626
0:01:47,2000,-1.1969,-0.1924,0.9461,0.0113,2.7867,0.2146,0.1636,0.7582,2.8475
0:02:02,2100,-0.8067,-0.6616,1.0560,0.0201,2.6313,0.5039,0.1269,0.7536,2.9742
0:02:07,2200,-0.7063,-0.4929,0.7490,0.0064,2.7516,0.4337,0.1498,0.6787,2.7665
0:02:11,2300,-0.6125,-0.3868,0.7019,0.0296,2.7463,0.6041,0.1320,0.5798,2.8395
0:02:16,2400,-0.8815,-0.3501,0.6967,0.0020,2.6291,0.3548,0.1229,0.6035,2.8916
0:02:20,2500,-0.6000,-0.4298,1.0177,0.0025,2.5469,0.4210,0.0982,0.7409,2.7140
0:02:25,2600,-0.8144,-0.4582,0.6047,0.0077,2.5707,0.4864,0.1345,0.4252,2.6242
0:02:30,2700,-0.8682,-0.3488,0.6508,0.0012,2.6018,0.3412,0.1482,0.6651,2.8524
0:02:34,2800,-0.3988,-0.4698,0.7269,0.0047,2.5632,0.4543,0.0988,0.6626,2.7676
0:02:39,2900,-0.6564,-0.4937,0.5254,0.0065,2.4666,0.4351,0.1219,0.4629,2.8781
0:02:44,3000,-0.8445,-0.3164,1.1500,0.0021,2.8531,0.3269,0.1561,0.6735,2.6780
0:02:59,3100,-0.4816,-0.4719,0.5479,0.0021,2.6218,0.6474,0.1153,0.4621,2.8084
0:03:03,3200,-0.5291,-0.6013,0.7129,0.0127,2.6635,0.6750,0.1462,0.5632,2.8714
0:03:08,3300,-0.9694,-0.5035,0.8557,0.0117,2.7373,0.4121,0.1441,0.6624,2.9732
0:03:13,3400,-0.5977,-0.5451,0.6426,0.0040,2.5350,0.5786,0.1345,0.4456,2.6890
0:03:17,3500,-0.8265,-0.4463,0.7297,0.0010,2.6858,0.5272,0.1089,0.5365,2.6316
0:03:22,3600,-0.8303,-0.5276,1.3328,0.0069,2.4346,0.5794,0.1319,0.6426,2.4854
0:03:27,3700,-0.3506,-0.1200,0.4765,0.0113,2.7048,0.2189,0.1614,0.8581,2.9027
