source,domain,accuracy,loss,f1
WAL,15,0.9549019607843137,0.15057427883148194,0.9545011270501466
WAL,16,0.8479532163742689,0.3660571277141571,0.831536501185624
WAL,17,0.9567251461988304,0.1434900864958763,0.9540448343079924
WAL,18,0.9783625730994151,0.1354445233941078,0.9783625730994151
WAL,19,0.9888888888888889,0.08707267045974731,0.9886002886002885
WAL,20,0.9111111111111111,0.25316060781478883,0.9002292768959436
WAL,21,0.9176470588235294,0.2944379150867462,0.9016339869281046
WAL,22,0.9005847953216375,0.33811881244182584,0.889052808789651
WAL,23,0.9333333333333332,0.29010170996189116,0.9300617283950616
WAL,24,0.9660130718954247,0.26288383901119233,0.9654717105697497
WAL,25,0.9777777777777779,0.16602542102336884,0.9744444444444443
WAL,26,0.9875,0.16339347660541534,0.986111111111111
WAL,27,0.967251461988304,0.20412803292274476,0.9670843776106934
WAL,28,0.9,0.22064802944660186,0.888452380952381
WAL,29,1.0,0.14307955801486968,1.0
WAL,30,0.9091503267973856,0.2652217924594879,0.9083188090050835
WAL,31,0.8389705882352942,0.42080899477005007,0.7964286938551645
WAL,32,0.9777777777777779,0.155476351082325,0.9777777777777779
WAL,33,0.9161764705882354,0.4100369572639465,0.9075817564788153
WAL,34,0.8993464052287582,0.23220283091068267,0.8947534165181225
WAL,35,0.9418300653594771,0.1968877524137497,0.9275236020334059
WAL,36,0.8779411764705882,0.37117532193660735,0.8615855386443622
WAL,37,0.7875,0.5451855659484863,0.7306493506493507
WAL,38,0.8941176470588236,0.23954151719808578,0.8877404295051354
WAL,39,0.9888888888888889,0.07554803714156151,0.989177489177489
WAL,40,0.8176470588235294,0.4736438512802124,0.7826607461166285
WAL,41,0.8205882352941177,0.45983588695526123,0.7858378549555021
WAL,42,0.9176470588235295,0.30055772662162783,0.9031185807656396
WAL,43,0.85,0.34574568271636963,0.8141792929292929
WAL,44,0.925,0.2866172730922699,0.9134307359307361
WAL,45,0.9777777777777779,0.2219184011220932,0.9773961840628507
WAL,46,0.9647058823529413,0.21085289716720582,0.9627264239028946
WAL,47,0.7823529411764706,0.514656412601471,0.7320181860623037
WAL,48,0.9084967320261438,0.2273353397846222,0.8963958916900093
WAL,49,0.9567251461988304,0.16970428451895714,0.9546821599453178
WAL,50,0.975,0.1875585600733757,0.975
WAL,51,0.8330882352941178,0.40147470831871035,0.7996450444979857
WAL,52,1.0,0.20200976431369783,1.0
WAL,53,0.977124183006536,0.1626122400164604,0.9771055088702149
WAL,54,0.9125,0.30750998854637146,0.9055895493395493
WAL,55,0.9660130718954247,0.12113605439662933,0.9656769374416433
WAL,56,0.95,0.19108485877513887,0.9469444444444445
WAL,57,0.9125,0.24377136528491974,0.8980357142857143
WAL,58,0.9075,0.23934661448001862,0.8960000000000001
WAL,59,0.8882352941176471,0.43181965351104734,0.8726725235548767
WAL,60,0.8588235294117647,0.4468677699565887,0.8428104575163399
WAL,61,0.8823529411764707,0.5331489413976669,0.8547457770987181
WAL,62,0.9058823529411765,0.2933554232120514,0.8894117647058823
WAL,63,0.9625,0.3122698962688446,0.9607539682539683
WAL,64,0.9,0.3792501240968704,0.8845959595959595
WAL,65,0.977124183006536,0.13349934220314025,0.9764404223227754
WAL,66,0.9375,0.2532296359539032,0.9164015151515151
WAL,67,0.975,0.2828023225069046,0.9708333333333334
WAL,68,0.9257352941176471,0.3884661763906479,0.9150210084033613
WAL,69,0.95,0.1799362301826477,0.9488095238095238
WAL,70,0.9125,0.2826435148715973,0.9109848484848484
WAL,71,0.8419117647058822,0.39582641422748566,0.8011097725803609
WAL,72,0.8007352941176471,0.4398078918457031,0.7488251209574738
WAL,73,0.925,0.2811600789427757,0.919647435897436
WAL,75,0.95,0.22566039264202117,0.935576923076923
