source,domain,accuracy,loss
WAL,15,0.58,6.801722526550293
WAL,16,0.7592592592592593,1.3740736246109009
WAL,17,0.41509433962264153,4.191479682922363
WAL,18,0.7407407407407407,1.9822033643722534
WAL,19,0.7407407407407407,1.6665823459625244
WAL,20,0.6666666666666666,2.466076374053955
WAL,21,0.8723404255319149,0.6546037793159485
WAL,22,0.5,3.214357614517212
WAL,23,0.7307692307692307,1.449906587600708
WAL,24,0.7058823529411765,1.4189889430999756
WAL,25,0.7592592592592593,3.386064052581787
WAL,26,0.8333333333333334,0.6779367327690125
WAL,27,0.7407407407407407,2.6003592014312744
WAL,28,0.7380952380952381,4.188108444213867
WAL,29,0.21428571428571427,5.4520134925842285
WAL,30,0.68,3.4494059085845947
WAL,31,0.813953488372093,3.6457200050354004
WAL,32,0.7692307692307693,1.8760310411453247
WAL,33,0.7727272727272727,1.0233298540115356
WAL,34,0.6122448979591837,9.004379272460938
WAL,35,0.5833333333333334,6.770069122314453
WAL,36,0.9302325581395349,0.5395432710647583
WAL,37,0.7619047619047619,1.7061011791229248
WAL,38,0.7021276595744681,4.909531116485596
WAL,39,0.7592592592592593,1.9194815158843994
WAL,40,0.6590909090909091,1.1283364295959473
WAL,41,0.7333333333333333,1.5356805324554443
WAL,42,0.6739130434782609,2.9165310859680176
WAL,43,0.7142857142857143,3.2080516815185547
WAL,44,0.9047619047619048,0.8314873576164246
WAL,45,0.8461538461538461,0.6595498323440552
WAL,46,0.9583333333333334,0.35267138481140137
WAL,47,0.9090909090909091,0.6937016844749451
WAL,48,0.7291666666666666,1.954940915107727
WAL,49,0.9245283018867925,0.29564905166625977
WAL,50,0.8571428571428571,1.5015194416046143
WAL,51,0.6739130434782609,4.309844017028809
WAL,52,0.7380952380952381,1.200143575668335
WAL,53,0.8333333333333334,2.5323877334594727
WAL,54,0.7380952380952381,5.641933441162109
WAL,55,0.9387755102040817,0.3316566050052643
WAL,56,0.6904761904761905,1.4254400730133057
WAL,57,0.8571428571428571,0.9272735118865967
WAL,58,0.7368421052631579,4.030272006988525
WAL,59,0.9069767441860465,0.38772112131118774
WAL,60,0.425531914893617,6.630791664123535
WAL,61,0.6595744680851063,3.056316375732422
WAL,62,0.9361702127659575,0.14785557985305786
WAL,63,0.7857142857142857,1.6615709066390991
WAL,64,0.9047619047619048,0.31531521677970886
WAL,65,0.82,1.6458362340927124
WAL,66,0.14285714285714285,19.14382553100586
WAL,67,0.6904761904761905,3.8657219409942627
WAL,68,0.8837209302325582,0.5507447123527527
WAL,69,0.7142857142857143,1.9156376123428345
WAL,70,0.7380952380952381,2.1034398078918457
WAL,71,0.9090909090909091,0.38297683000564575
WAL,72,1.0,0.03152608498930931
WAL,73,0.21951219512195122,5.944499492645264
WAL,74,0.7714285714285715,2.8651647567749023
WAL,75,0.8809523809523809,1.1166629791259766
