source,domain,accuracy,loss,f1
WAL,15,0.5340909090909091,3.0487334728240967,0.475677944214876
WAL,16,0.5108695652173914,3.8439152240753174,0.4258550005394325
WAL,17,0.46153846153846156,3.5077409744262695,0.396672153757174
WAL,18,0.5483870967741935,1.637265185515086,0.4824540015135749
WAL,19,0.25,2.9835864504178367,0.16934782608695653
WAL,20,0.5617977528089888,1.6221558849016826,0.5298851170033924
WAL,21,0.5232558139534884,1.5908770362536113,0.4999765455127427
WAL,22,0.5869565217391305,1.2730260888735454,0.5315217391304348
WAL,23,0.5824175824175825,2.043161610762278,0.465934065934066
WAL,24,0.43820224719101125,1.6345854997634888,0.4202971591804745
WAL,25,0.16129032258064516,2.986827850341797,0.1935483870967742
WAL,26,0.6375,1.7328951979676883,0.5900913137616159
WAL,27,0.5760869565217391,2.285687804222107,0.5143216001011123
WAL,28,0.55,2.027690311272939,0.49792626728110595
WAL,29,0.475,2.489568750063578,0.4394021739130435
WAL,30,0.5568181818181818,3.1711403528849282,0.5122382944300752
WAL,31,0.5802469135802469,2.0174071987469993,0.4602693602693603
WAL,32,0.5111111111111111,1.5902952949206035,0.4887727853245094
WAL,33,0.5542168674698795,2.0376299023628235,0.5350665821179454
WAL,34,0.5,3.221047659715017,0.47186346571948623
WAL,35,0.7011494252873564,0.7522352871795496,0.6508706669249349
WAL,36,0.7926829268292683,0.5297093490759531,0.7989744466869633
WAL,37,0.4444444444444444,2.0135343074798584,0.4253699869641898
WAL,38,0.8235294117647058,1.5865125060081482,0.7832988910556802
WAL,39,0.5543478260869565,2.2175380190213523,0.4977307991594171
WAL,40,0.4634146341463415,3.1049118836720786,0.43856357591915995
WAL,41,0.39759036144578314,6.507112979888916,0.3627987887378391
WAL,42,0.5058823529411764,2.1308358112970986,0.5106745845785093
WAL,43,0.4,2.68015189965566,0.3925545209507474
WAL,44,0.5125,2.858962302406629,0.4627325194228635
WAL,45,0.6111111111111112,1.125015194217364,0.5638775018085362
WAL,46,0.4482758620689655,2.1027079423268638,0.40934173660263445
WAL,47,0.6463414634146342,0.853637253244718,0.6459197230652965
WAL,48,0.6206896551724138,1.6731008887290955,0.5446285689996144
WAL,49,0.6813186813186813,1.1537498583396275,0.608595023397655
WAL,50,0.6875,0.8761207560698191,0.6414838597709129
WAL,51,0.6428571428571429,1.6012710233529408,0.5722470238095239
WAL,52,0.675,0.7225660433371862,0.6373728123728124
WAL,53,0.5813953488372093,2.839390536149343,0.5138830162085977
WAL,54,0.6125,1.194673736890157,0.5524014778325123
WAL,55,0.6781609195402298,1.0027214611570041,0.5959487112504354
WAL,56,0.675,1.0507749368747075,0.6173112014877258
WAL,57,0.675,0.8759579956531525,0.6500663439269172
WAL,58,0.5263157894736842,2.2476062178611755,0.5005466701956041
WAL,59,0.6666666666666666,0.8962731311718622,0.6669873336540003
WAL,60,0.4823529411764706,4.514724016189575,0.414999323867478
WAL,61,0.6588235294117647,1.7503729661305745,0.598845026382646
WAL,62,0.8,0.4982810989022255,0.8011672000882905
WAL,63,0.65,1.137317539503177,0.5950763457556936
WAL,64,0.6296296296296297,1.2871086460848649,0.5717948717948718
WAL,65,0.6022727272727273,1.9351665675640106,0.5167815930199832
WAL,66,0.575,2.665363868077596,0.5147192028985507
WAL,67,0.5,2.0274542570114136,0.4673684210526316
WAL,68,0.5308641975308642,1.9090978304545085,0.4770456908764803
WAL,69,0.5875,1.0887537896633148,0.5247857142857144
WAL,70,0.65,2.0651362538337708,0.5954391622340426
WAL,71,0.5853658536585366,1.3563763350248337,0.5248774830173514
WAL,72,0.41975308641975306,1.658681685725848,0.37758659469185785
WAL,73,0.43037974683544306,6.710995674133301,0.3870115575123831
WAL,74,0.47297297297297297,2.9628220399220786,0.4534976152623212
WAL,75,0.5875,1.2957417021195095,0.5336885245901639
