source,domain,accuracy,loss,f1
WAL,15,0.2159090909090909,9.277451197306315,0.1588695395513577
WAL,16,0.5543478260869565,2.650530139605204,0.4501693958215698
WAL,17,0.5054945054945055,3.0529458125432334,0.4219239776616826
WAL,18,0.41935483870967744,3.6831120252609253,0.37552483358934974
WAL,19,0.5,3.0508805910746255,0.42076811285649485
WAL,20,0.48314606741573035,2.663040598233541,0.4594991707351258
WAL,21,0.6046511627906976,3.3313224713007608,0.5204369274136716
WAL,22,0.5978260869565217,2.8122677206993103,0.5352173913043479
WAL,23,0.5714285714285714,3.639187296231588,0.5069597069597069
WAL,24,0.5056179775280899,2.844403545061747,0.4256656512106346
WAL,25,0.5268817204301075,3.166918476422628,0.4379086748038361
WAL,26,0.65,3.101082464059194,0.5916383605072464
WAL,27,0.5,2.6139642794926963,0.46158649398704904
WAL,28,0.5625,3.0527724822362265,0.4735169491525424
WAL,29,0.375,3.685800790786743,0.3509570519618239
WAL,30,0.5795454545454546,3.1937405864397683,0.5369940838945215
WAL,31,0.6666666666666666,4.903517762819926,0.6487689195787125
WAL,32,0.5666666666666667,2.5480278730392456,0.4963924963924964
WAL,33,0.5783132530120482,1.4863659540812175,0.4660454251145784
WAL,34,0.7272727272727273,2.7041234175364175,0.7013257575757575
WAL,35,0.5172413793103449,2.820033778746923,0.4618480233567427
WAL,36,0.47560975609756095,2.8743285636107125,0.4363797775908793
WAL,37,0.5308641975308642,2.543843626976013,0.47034616315662064
WAL,38,0.788235294117647,2.5997547718385854,0.7388749342835447
WAL,39,0.14130434782608695,6.579018751780192,0.19994279176201374
WAL,40,0.5487804878048781,1.4450709819793701,0.49354755452316423
WAL,41,0.5783132530120482,4.414807558059692,0.5516152522176618
WAL,42,0.21176470588235294,5.350384831428528,0.16376470588235295
WAL,43,0.6625,5.011950969696045,0.638276397515528
WAL,44,0.6375,2.306098351875941,0.5622689075630252
WAL,45,0.6888888888888889,2.139576276143392,0.6067271352985638
WAL,46,0.5632183908045977,2.677881975968679,0.4833946205971461
WAL,47,0.573170731707317,2.5168981750806174,0.47660490312335124
WAL,48,0.6091954022988506,2.331190824508667,0.5282202953104345
WAL,49,0.5494505494505495,2.7435986200968423,0.45230769230769224
WAL,50,0.7,2.0024468234429755,0.6088432835820896
WAL,51,0.5714285714285714,2.439221143722534,0.4902427637721755
WAL,52,0.6125,1.4248655041058857,0.5439160839160839
WAL,53,0.8837209302325582,0.2996686616291602,0.8687435573860669
WAL,54,0.5875,2.797051429748535,0.518515037593985
WAL,55,0.5977011494252874,1.6956250468889873,0.509920634920635
WAL,56,0.625,2.231506625811259,0.5472479185938945
WAL,57,0.575,2.761433700720469,0.5197193877551021
WAL,58,0.5394736842105263,1.6033199628194172,0.4855666721338363
WAL,59,0.25925925925925924,2.917955199877421,0.22739546156845902
WAL,60,0.36470588235294116,8.17539389928182,0.27982665029803727
WAL,61,0.6705882352941176,2.908861150344213,0.6185770069764598
WAL,62,0.6470588235294118,2.1636017660299935,0.5722161190452412
WAL,63,0.5875,2.31340354681015,0.5636673460144928
WAL,64,0.6049382716049383,1.9875054359436035,0.5308641975308642
WAL,65,0.36363636363636365,3.514086147149404,0.3480549682875264
WAL,66,0.2125,11.622316360473633,0.13129235565193817
WAL,67,0.5625,2.7098179856936135,0.4706289978678038
WAL,68,0.2839506172839506,4.799432277679443,0.18513031550068587
WAL,69,0.2125,6.062440151969592,0.1549019607843137
WAL,70,0.5,6.364927848180135,0.4906993006993007
WAL,71,0.6829268292682927,2.576423621891687,0.6164021164021164
WAL,72,0.4691358024691358,2.156442701816559,0.4431561996779389
WAL,73,0.31645569620253167,9.716404914855957,0.1816636528028933
WAL,74,0.5,5.264374812444051,0.466021353345297
WAL,75,0.6125,1.9799917414784431,0.5598436857260387
