step,source,domain,accuracy,loss,f1
10000,WAL,15,0.56,1.243058204650879,0.46805970149253734
10000,WAL,16,0.7037037037037037,0.7408579587936401,0.6620539953873286
10000,WAL,17,0.24528301886792453,1.7026742696762085,0.16352201257861634
10000,WAL,18,0.7037037037037037,1.0519553422927856,0.6657116235732587
10000,WAL,19,0.8333333333333334,0.40289825201034546,0.8106442577030812
10000,WAL,20,0.7254901960784313,0.8882851600646973,0.6543776869036385
10000,WAL,21,0.7446808510638298,0.8028560280799866,0.6759410801963993
10000,WAL,22,0.7037037037037037,0.9695257544517517,0.6620539953873286
10000,WAL,23,0.7884615384615384,0.46763306856155396,0.7461538461538463
10000,WAL,24,0.803921568627451,0.43152278661727905,0.7587839176074471
10000,WAL,25,0.7037037037037037,0.44168713688850403,0.6965207631874298
10000,WAL,26,0.8571428571428571,0.40195396542549133,0.8478448275862069
10000,WAL,27,0.7037037037037037,0.7310791611671448,0.6381983960600314
10000,WAL,28,0.38095238095238093,1.4909378290176392,0.3826576576576577
10000,WAL,29,0.19047619047619047,1.8507097959518433,0.09027777777777779
10000,WAL,30,0.34,2.1994035243988037,0.35817856562042605
10000,WAL,31,0.7441860465116279,0.8975306749343872,0.6993639435499901
10000,WAL,32,0.75,0.5027244091033936,0.7165797757229982
10000,WAL,33,0.6818181818181818,0.8507106304168701,0.6195562179168737
10000,WAL,34,0.7346938775510204,1.4397953748703003,0.642843838969747
10000,WAL,35,0.14583333333333334,1.5415738821029663,0.03712121212121212
10000,WAL,36,0.18604651162790697,1.8075053691864014,0.09141940657578188
10000,WAL,37,0.7142857142857143,0.8048263788223267,0.7184149184149184
10000,WAL,38,0.3829787234042553,1.7507539987564087,0.3504380475594493
10000,WAL,39,0.5555555555555556,2.10229229927063,0.4888888888888889
10000,WAL,40,0.7272727272727273,0.6750328540802002,0.6676425269645608
10000,WAL,41,0.6222222222222222,2.582714080810547,0.4773211567732116
10000,WAL,42,0.6739130434782609,1.2470885515213013,0.6989371980676329
10000,WAL,43,0.42857142857142855,2.8483400344848633,0.4439416792357969
10000,WAL,44,0.7857142857142857,0.3492611348628998,0.7644133644133644
10000,WAL,45,0.6730769230769231,0.7313617467880249,0.616370808678501
10000,WAL,46,0.7916666666666666,0.3984006345272064,0.7832491582491582
10000,WAL,47,0.7954545454545454,0.6368947625160217,0.733201581027668
10000,WAL,48,0.5833333333333334,1.2831302881240845,0.4734299516908213
10000,WAL,49,0.2641509433962264,2.0130882263183594,0.15669362084456423
10000,WAL,50,0.8333333333333334,1.1907631158828735,0.7777777777777777
10000,WAL,51,0.7608695652173914,1.395317554473877,0.6972713643178411
10000,WAL,52,0.8095238095238095,0.8101163506507874,0.7606060606060606
10000,WAL,53,0.75,0.635726273059845,0.7072069905403239
10000,WAL,54,0.8095238095238095,0.39664730429649353,0.7398692810457517
10000,WAL,55,0.7346938775510204,0.8057258129119873,0.6615059817030261
10000,WAL,56,0.8333333333333334,0.9083876609802246,0.7777777777777777
10000,WAL,57,0.7857142857142857,0.6631903648376465,0.7313974591651542
10000,WAL,58,0.7631578947368421,0.8015424609184265,0.6823308270676691
10000,WAL,59,0.813953488372093,0.7195707559585571,0.7380038586809949
10000,WAL,60,0.5957446808510638,2.901094913482666,0.44482269503546096
10000,WAL,61,0.48936170212765956,1.349622368812561,0.5125659210765594
10000,WAL,62,0.19148936170212766,1.3013273477554321,0.11953082378614292
10000,WAL,63,0.8095238095238095,1.1187055110931396,0.753968253968254
10000,WAL,64,0.8333333333333334,0.541964054107666,0.7777777777777777
10000,WAL,65,0.7,0.8065975904464722,0.6275862068965518
10000,WAL,66,0.6666666666666666,2.653149366378784,0.5490196078431373
10000,WAL,67,0.7619047619047619,0.41842302680015564,0.7069347319347319
10000,WAL,68,0.813953488372093,0.7645799517631531,0.7547568710359408
10000,WAL,69,0.8333333333333334,0.41707462072372437,0.7777777777777777
10000,WAL,70,0.7857142857142857,1.1102333068847656,0.7132616487455197
10000,WAL,71,0.9090909090909091,0.37673845887184143,0.9121671258034895
10000,WAL,72,0.8333333333333334,0.5063393115997314,0.7594771241830065
10000,WAL,73,0.6829268292682927,2.702174186706543,0.5542594556380347
10000,WAL,74,0.7428571428571429,1.4436758756637573,0.7428571428571429
10000,WAL,75,0.8809523809523809,0.3229972720146179,0.8635477582846003
20000,WAL,15,0.6,1.8010691404342651,0.5437229437229437
20000,WAL,16,0.8518518518518519,0.2641727924346924,0.8482603815937149
20000,WAL,17,0.41509433962264153,1.1688804626464844,0.3647300386417359
20000,WAL,18,0.7037037037037037,0.796021580696106,0.6731824417009601
20000,WAL,19,0.5185185185185185,0.7671321034431458,0.5238727719807871
20000,WAL,20,0.7058823529411765,0.744166374206543,0.6502213788741303
20000,WAL,21,0.7021276595744681,0.6047229170799255,0.6736575481256332
20000,WAL,22,0.9444444444444444,0.2704686224460602,0.9443621399176955
20000,WAL,23,0.7307692307692307,1.3377609252929688,0.657944832944833
20000,WAL,24,0.7843137254901961,1.0275812149047852,0.7181577299224359
20000,WAL,25,0.5740740740740741,0.859115719795227,0.5973513969231796
20000,WAL,26,0.8095238095238095,0.40852296352386475,0.8295238095238096
20000,WAL,27,0.8333333333333334,0.39229682087898254,0.8330864197530864
20000,WAL,28,0.8809523809523809,0.39588046073913574,0.8635477582846004
20000,WAL,29,0.40476190476190477,0.9267725944519043,0.42582005082005087
20000,WAL,30,0.68,1.0124183893203735,0.639298245614035
20000,WAL,31,0.6511627906976745,0.8982816934585571,0.5284799460734749
20000,WAL,32,0.8076923076923077,0.4832485020160675,0.8113100126040791
20000,WAL,33,0.6818181818181818,0.5252899527549744,0.7226838520956167
20000,WAL,34,0.7142857142857143,1.827194094657898,0.6287695154690228
20000,WAL,35,0.9166666666666666,0.3296157717704773,0.9034155071587012
20000,WAL,36,0.16279069767441862,2.888836145401001,0.04558139534883721
20000,WAL,37,0.8571428571428571,0.3860631585121155,0.8507936507936508
20000,WAL,38,0.723404255319149,1.671578049659729,0.6183883700779821
20000,WAL,39,0.5185185185185185,2.077057123184204,0.4208266237251745
20000,WAL,40,0.5454545454545454,1.297953724861145,0.5463161021984552
20000,WAL,41,0.6222222222222222,1.90964674949646,0.5311546840958605
20000,WAL,42,0.1956521739130435,3.4015893936157227,0.1329192546583851
20000,WAL,43,0.7619047619047619,0.48824605345726013,0.7275066629905339
20000,WAL,44,0.8571428571428571,0.4477386474609375,0.825
20000,WAL,45,0.9423076923076923,0.14866314828395844,0.9407371213178836
20000,WAL,46,0.8333333333333334,0.48863527178764343,0.8370260141093474
