step,source,target,accuracy,loss
10000,WAL,RUN,0.06207608375110587,9.7735595703125
10000,WAL,CLD,0.07534650545561782,8.983574867248535
10000,WAL,CLU,0.06576231200235919,8.850255012512207
20000,WAL,RUN,0.0771158950162194,9.420303344726562
20000,WAL,CLD,0.09245060454143321,8.95874309539795
20000,WAL,CLU,0.10380418755529343,8.327731132507324
30000,WAL,RUN,0.09245060454143321,9.640425682067871
30000,WAL,CLD,0.12651135358301385,8.358598709106445
30000,WAL,CLU,0.15231495134178707,8.028392791748047
40000,WAL,RUN,0.09569448540253613,9.795140266418457
40000,WAL,CLD,0.11456797404895311,8.491631507873535
40000,WAL,CLU,0.10660572102624595,8.93437671661377
50000,WAL,RUN,0.1073429666764966,9.335278511047363
50000,WAL,CLD,0.1627838395753465,7.6849236488342285
50000,WAL,CLU,0.1754644647596579,7.726189613342285
60000,WAL,RUN,0.10291949277499263,9.38134765625
60000,WAL,CLD,0.1617516956649956,7.866561412811279
60000,WAL,CLU,0.17561191388970804,7.736990451812744
70000,WAL,RUN,0.1005603066941905,9.16065502166748
70000,WAL,CLD,0.16823945738720142,7.887747287750244
70000,WAL,CLU,0.16897670303745208,7.898004531860352
80000,WAL,RUN,0.08625774107932763,9.34448528289795
80000,WAL,CLD,0.18018283692126216,7.782069683074951
80000,WAL,CLU,0.1546741374225892,8.023157119750977
90000,WAL,RUN,0.10159245060454143,9.210439682006836
90000,WAL,CLD,0.1686818047773518,7.721408843994141
90000,WAL,CLU,0.17413742258920673,7.654074668884277
100000,WAL,RUN,0.09112356237098201,9.2279634475708
100000,WAL,CLD,0.17325272780890594,7.385571479797363
100000,WAL,CLU,0.16425833087584782,7.641718864440918
110000,WAL,RUN,0.0771158950162194,9.768450736999512
110000,WAL,CLD,0.17428487171925686,7.48326301574707
110000,WAL,CLU,0.16750221173695076,7.8866472244262695
120000,WAL,RUN,0.0920082571512828,9.539591789245605
120000,WAL,CLD,0.18195222648186377,7.466128349304199
120000,WAL,CLU,0.16381598348569743,8.080132484436035
130000,WAL,RUN,0.07903273370687112,9.778273582458496
130000,WAL,CLD,0.19006192863462107,7.500129699707031
130000,WAL,CLU,0.16189914479504572,7.847951889038086
140000,WAL,RUN,0.09186080802123267,9.493504524230957
140000,WAL,CLD,0.17472721910940725,7.4802165031433105
140000,WAL,CLU,0.1731052786788558,7.6080121994018555
150000,WAL,RUN,0.07490415806546741,9.964149475097656
150000,WAL,CLD,0.18519610734296668,7.285221099853516
150000,WAL,CLU,0.14140371571807725,8.143109321594238
160000,WAL,RUN,0.0626658802713064,9.971686363220215
160000,WAL,CLD,0.1731052786788558,7.813322067260742
160000,WAL,CLU,0.13063992922441758,8.384108543395996
170000,WAL,RUN,0.07062813329401356,10.090582847595215
170000,WAL,CLD,0.17030374520790328,7.598758220672607
170000,WAL,CLU,0.14892362135063403,8.236626625061035
180000,WAL,RUN,0.06841639634326158,10.08641242980957
180000,WAL,CLD,0.18785019168386907,7.320921897888184
180000,WAL,CLU,0.14597463874963137,8.323308944702148
190000,WAL,RUN,0.07490415806546741,9.923866271972656
190000,WAL,CLD,0.1750221173695075,7.499179363250732
190000,WAL,CLU,0.16293128870539664,7.951570510864258
200000,WAL,RUN,0.05352403420819817,10.394770622253418
200000,WAL,CLD,0.17251548215865525,7.683574199676514
200000,WAL,CLU,0.1461220878796815,8.2333345413208
210000,WAL,RUN,0.07814803892657034,9.730833053588867
210000,WAL,CLD,0.19728693600707756,7.066905498504639
210000,WAL,CLU,0.1645532291359481,7.710777759552002
220000,WAL,RUN,0.07814803892657034,9.837251663208008
220000,WAL,CLD,0.18740784429371868,7.4023919105529785
220000,WAL,CLU,0.14980831613093482,7.952511787414551
230000,WAL,RUN,0.07107048068416397,10.094505310058594
230000,WAL,CLD,0.1884399882040696,7.3342108726501465
230000,WAL,CLU,0.15349454438218815,7.930096626281738
240000,WAL,RUN,0.06826894721321144,10.145489692687988
240000,WAL,CLD,0.18917723385432025,7.3712897300720215
240000,WAL,CLU,0.14980831613093482,8.021310806274414
250000,WAL,RUN,0.0690061928634621,10.205634117126465
250000,WAL,CLD,0.19079917428487173,6.920475006103516
250000,WAL,CLU,0.15452668829253907,7.7565083503723145
260000,WAL,RUN,0.06930109112356238,9.933735847473145
260000,WAL,CLD,0.1708935417281038,7.277033805847168
260000,WAL,CLU,0.16661751695664995,7.473658561706543
270000,WAL,RUN,0.0707755824240637,10.061540603637695
270000,WAL,CLD,0.19315836036567385,7.264159679412842
270000,WAL,CLU,0.13889708050722502,7.972228527069092
280000,WAL,RUN,0.060749041580654674,10.197065353393555
280000,WAL,CLD,0.19787673252727808,7.16829252243042
280000,WAL,CLU,0.14818637570038337,7.957647323608398
290000,WAL,RUN,0.0703332350339133,10.207594871520996
290000,WAL,CLD,0.1921262164553229,7.228863716125488
290000,WAL,CLU,0.16779710999705102,7.622395038604736
300000,WAL,RUN,0.07696844588616927,10.177461624145508
300000,WAL,CLD,0.19492774992627543,7.112224102020264
300000,WAL,CLU,0.14907107048068416,7.938053131103516
310000,WAL,RUN,0.06207608375110587,10.330570220947266
310000,WAL,CLD,0.19787673252727808,7.154417991638184
310000,WAL,CLU,0.15437923916248894,7.884332656860352
320000,WAL,RUN,0.07092303155411384,10.233160972595215
320000,WAL,CLD,0.19566499557652609,7.308889389038086
320000,WAL,CLU,0.14966086700088468,7.949007987976074
330000,WAL,RUN,0.06708935417281038,10.328658103942871
330000,WAL,CLD,0.19419050427602477,7.233654499053955
330000,WAL,CLU,0.15659097611324094,7.921435356140137
340000,WAL,RUN,0.07741079327631967,10.205934524536133
340000,WAL,CLD,0.1961073429666765,7.179325580596924
340000,WAL,CLU,0.15408434090238868,7.756221771240234
350000,WAL,RUN,0.06782659982306104,10.288559913635254
350000,WAL,CLD,0.1902093777646712,7.2489213943481445
350000,WAL,CLU,0.15437923916248894,7.92099666595459
