step,domain,loss,accuracy,f1
0,61,1.601867366049971,0.615,0.6067480304631938
0,62,2.0630376344280585,0.54,0.5055477404606998
0,63,0.9886838898195752,0.59,0.5901172969187675
0,64,0.8491495926199215,0.68,0.667527957261061
0,65,1.2859158818713954,0.545,0.5170226117568637
0,66,0.9101144415846127,0.54,0.5159462798818157
0,67,0.8881893742285943,0.56,0.5343955622384992
0,68,0.8948548573087984,0.555,0.5289928110514676
0,69,0.9440322646072927,0.465,0.44146119267182526
0,70,1.769952585120856,0.415,0.3884081114397017
0,71,0.7992573495555136,0.59,0.5478876841812622
0,72,0.8818458447661085,0.495,0.4838673923123998
0,73,0.8842316807303112,0.52,0.4937952924346144
0,74,2.053907593091329,0.4739583333333333,0.4544990051704849
0,75,0.9872020166575177,0.53,0.5067207104440431
0,61,0.9882055065993752,0.775,0.7727043673653565
0,62,1.9283645919391088,0.575,0.5316823899371069
0,63,0.6671332088962296,0.73,0.7157230288532475
0,64,0.9312718037061651,0.58,0.5675645342312009
0,65,0.9819188346820216,0.66,0.6498855693691971
0,66,0.6973447448440838,0.66,0.6451459034792368
0,67,0.9746301504036897,0.55,0.5168878682293316
0,68,0.609681922942399,0.695,0.6813500295033015
0,69,0.7751055104391915,0.59,0.5200838480559259
0,70,1.364272538040004,0.425,0.37817513573290207
0,71,0.8168235495894416,0.575,0.5231416549789621
0,72,0.7336260112255104,0.645,0.5910349658211909
0,73,0.7724923624508538,0.605,0.5647722246793454
0,74,1.9321866830190022,0.4583333333333333,0.4171374197623792
0,75,0.8812620756857866,0.57,0.5023148148148149
0,61,1.1880795138755016,0.68,0.6784698705266351
0,62,2.0014980972834695,0.53,0.5132745982891416
0,63,0.8447534037482569,0.625,0.612378211720586
0,64,1.4063129989585181,0.63,0.6282077187310567
0,65,1.222026289041537,0.515,0.5105094585126614
0,66,1.1990291198892788,0.48,0.4670542314028428
0,67,1.070176173705217,0.48,0.48014750454637295
0,68,0.6240456125124832,0.635,0.5786891281873034
0,69,0.9091011541230216,0.465,0.4520509112163967
0,70,1.3413108464861077,0.45,0.42703872572425433
0,71,0.8579829989071835,0.505,0.4961315964335061
0,72,0.9676658947547432,0.5,0.4744327295807303
0,73,0.8486794323789988,0.57,0.5514849958675059
0,74,1.7254626353581746,0.453125,0.4268951534576535
0,75,0.9984476100255831,0.455,0.40932175622542594
0,61,1.215370966919831,0.74,0.7358695652173912
0,62,2.0064952650240286,0.515,0.4763407495584985
0,63,0.9063784309795925,0.63,0.6296827604276889
0,64,0.6860610297282099,0.76,0.7446687925600814
0,65,0.8828839106219155,0.67,0.6500255234189509
0,66,0.8346740789710704,0.61,0.6110604443640804
0,67,1.0472997959169967,0.515,0.4952155548913711
0,68,0.9791828316499179,0.53,0.47304498638355336
0,69,0.8255415899412972,0.55,0.5117079637801916
0,70,1.2565708756446838,0.43,0.40471560883894414
0,71,0.8005553828053442,0.64,0.6105099574076206
0,72,1.0389949349420209,0.515,0.47508480387122504
0,73,0.8249161878635017,0.62,0.585737440562954
0,74,1.7833889729032915,0.421875,0.37348142391459227
0,75,0.9713336410247199,0.55,0.4964704921863419
0,61,1.309294308934893,0.735,0.7306686053220708
0,62,2.5166391134262085,0.5,0.4444545125045306
0,63,1.166924267871114,0.605,0.6048714652681381
0,64,1.0529407670053064,0.67,0.6665371238958758
