step,domain,loss,accuracy,f1
0,61,1.1828505481992448,0.645,0.6487172248041813
0,62,3.693097267832075,0.445,0.38243928115476483
0,63,2.3318752220698764,0.595,0.5453715717471617
0,64,2.761210816979006,0.5,0.45993018419489007
0,65,1.9146207139942817,0.685,0.6603938278443229
0,66,2.8098857853804344,0.585,0.5616876151378793
0,67,3.270292375140863,0.445,0.415097625588697
0,68,2.072168794327029,0.65,0.5853911940605276
0,69,2.25697704404584,0.585,0.5466790195652073
0,70,3.781224898993969,0.425,0.381950936763771
0,71,4.309092340419219,0.57,0.5063425204518893
0,72,2.266634820291366,0.615,0.5486219745541187
0,73,2.3115527454231426,0.62,0.5608865268410219
0,74,4.4223748942216226,0.3854166666666667,0.31866427627287397
0,75,1.9011522446359177,0.6,0.5770796471272276
0,61,1.112703732081822,0.695,0.6985189909297052
0,62,3.4691130433763777,0.475,0.41246780893238866
0,63,2.855396572500175,0.58,0.5238095238095238
0,64,3.3162884737388856,0.52,0.4608248435162857
0,65,1.6352162483386306,0.7,0.6813848567811415
0,66,2.1942753161974906,0.555,0.5120791533326142
0,67,2.5310248716562973,0.485,0.45399854598327877
0,68,2.6420381649260043,0.65,0.5739538721422174
0,69,1.8927001410296822,0.625,0.5897769252628587
0,70,3.5107459218374317,0.425,0.3786884193405715
0,71,2.9796777032980963,0.625,0.5534968825349688
0,72,2.6337300038763454,0.625,0.5436357956407736
0,73,2.335341513366854,0.615,0.5640004012214965
0,74,4.861675363033991,0.3958333333333333,0.32368249946374944
0,75,1.9134155746016899,0.615,0.5808266323296662
0,61,1.4883076740162713,0.62,0.5917667334777411
0,62,3.498398084193468,0.49,0.4369394943386516
0,63,3.1968731406528996,0.615,0.5543968048064449
0,64,3.0496627720263274,0.49,0.45112269308827435
0,65,1.3498708456754673,0.69,0.691876355395999
0,66,3.135734646446573,0.53,0.4766734335304034
0,67,2.803935106219537,0.515,0.48393247345837764
0,68,2.795049593384777,0.605,0.5276718165342199
0,69,1.5152890022311891,0.665,0.6448625461568797
0,70,3.688648430896652,0.45,0.4026223295070123
0,71,2.3762105308955404,0.62,0.5708095378134181
0,72,2.3196400292124832,0.57,0.5077745140012755
0,73,2.1745939488204646,0.605,0.5528390337026531
0,74,4.167091531679034,0.4166666666666667,0.3334882803696191
0,75,2.182198532989941,0.595,0.5371136560686602
0,61,1.3008478478129422,0.65,0.6378282177991816
0,62,3.3487151861190796,0.45,0.390933446292035
0,63,3.316229077854292,0.595,0.539047619047619
0,64,2.9642636781253975,0.49,0.44095941795935145
0,65,1.4050891191828572,0.695,0.6715470159739447
0,66,2.599524271570902,0.535,0.5081836672039297
0,67,2.9005870291319815,0.475,0.458385768605619
0,68,2.787303424300457,0.6,0.5165071396339969
0,69,2.309228734246314,0.605,0.5630294464567627
0,70,3.4347750246524806,0.42,0.3870285869049815
0,71,2.4556733746098223,0.63,0.5676463306808135
0,72,2.3234689970081814,0.635,0.5545368673088134
0,73,1.8201523149119956,0.625,0.5916612693539115
0,74,4.222780164331193,0.3697916666666667,0.30902633206589986
0,75,2.2207960486411684,0.555,0.5131362538427756
0,61,1.1568679277385985,0.72,0.7168297098600385
0,62,3.7068765333720615,0.51,0.4472359026375365
0,63,3.227784701223823,0.59,0.5256843800322061
0,64,3.048051735986389,0.465,0.4352888694382924
0,65,1.8703030347802982,0.67,0.6520747492179916
0,66,2.612238786042521,0.525,0.4956769786278932
0,67,2.6712399874741095,0.515,0.47450118037671063
0,68,2.6047130929543334,0.63,0.5646116750049334
0,69,2.140659551535257,0.59,0.5394716620763582
0,70,3.8599985348326817,0.38,0.33682218879079406
0,71,2.3388257380824404,0.585,0.5399509803921568
0,72,2.588169486927086,0.595,0.5221014703130947
0,73,1.8010131328231214,0.645,0.6226536836496366
0,74,5.290396274998784,0.4010416666666667,0.331719373752495
0,75,2.3698835564510676,0.575,0.5181361033009592
0,61,1.3918006281767572,0.625,0.6163875806732949
0,62,3.4756328889301846,0.495,0.4365648102916903
0,63,3.2740563766232498,0.625,0.5593338651775029
0,64,2.850107024139626,0.495,0.444077631052421
0,65,2.386206394855305,0.685,0.6463902417027417
0,66,2.670289287077505,0.54,0.4906746550486535
0,67,2.6443851744471822,0.51,0.478113170650641
0,68,2.683401358979086,0.615,0.5430056350898568
0,69,2.6179496672532343,0.6,0.5542195296178091
0,70,3.280978402388933,0.445,0.4000100415048869
0,71,2.1012702253314535,0.63,0.6023153753026634
0,72,2.0136415043016314,0.56,0.4908696938838806
0,73,2.0893743660633066,0.615,0.5807721866164661
