step,source,target,accuracy,loss
10000,WAL,RUN,0.02167502211736951,12.412118911743164
10000,WAL,CLD,0.028015334709525212,13.013794898986816
10000,WAL,CLU,0.02182247124741964,12.631905555725098
20000,WAL,RUN,0.01636685343556473,12.280497550964355
20000,WAL,CLD,0.02609849601887349,12.821686744689941
20000,WAL,CLU,0.019168386906517253,12.837332725524902
30000,WAL,RUN,0.018873488646416987,12.176799774169922
30000,WAL,CLD,0.02167502211736951,12.643240928649902
30000,WAL,CLU,0.016071955175464465,12.48553466796875
40000,WAL,RUN,0.01798879386611619,12.116721153259277
40000,WAL,CLD,0.022117369507519906,12.63156795501709
40000,WAL,CLU,0.015924506045414333,12.020659446716309
50000,WAL,RUN,0.014450014744913005,12.294883728027344
50000,WAL,CLD,0.028162783839575347,13.130021095275879
50000,WAL,CLU,0.020347979946918313,11.876566886901855
60000,WAL,RUN,0.01961073429666765,11.869410514831543
60000,WAL,CLD,0.025213801238572694,12.636123657226562
60000,WAL,CLU,0.018726039516366852,12.429190635681152
70000,WAL,RUN,0.02182247124741964,11.837154388427734
70000,WAL,CLD,0.02624594514892362,12.61702823638916
70000,WAL,CLU,0.016809200825715128,12.559713363647461
