Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,D/loss_td_real,D/loss_td_fake,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot,G/loss_td_fake
0:04:28,4000,-0.4420,0.3142,0.5733,1.8083,0.0022,-0.0046,0.0430,-0.3239,0.0452,0.2167,1.8145,0.0630,-0.0440
0:05:06,4100,-0.4092,0.3261,0.6301,1.7955,0.0027,-0.0125,0.0439,-0.3556,0.0466,0.1681,1.7617,0.0525,-0.0474
0:05:10,4200,-0.4006,0.2895,0.4494,1.7988,0.0030,0.0092,0.0418,-0.3155,0.0436,0.1943,1.7709,0.0480,-0.0392
0:05:14,4300,-0.4080,0.2865,0.3544,1.8114,0.0007,-0.0135,0.0551,-0.3073,0.0449,0.1763,1.8073,0.0581,-0.0531
0:05:18,4400,-0.4265,0.3176,0.4203,1.8362,0.0011,-0.0037,0.0529,-0.3153,0.0455,0.1448,1.8227,0.0697,-0.0453
0:05:22,4500,-0.3977,0.2595,0.3749,1.8344,0.0021,-0.0048,0.0403,-0.2771,0.0419,0.1931,1.8709,0.0608,-0.0381
0:05:26,4600,-0.3008,0.1778,0.2979,1.8342,0.0013,-0.0128,0.0457,-0.1785,0.0440,0.0930,1.7646,0.0634,-0.0465
0:05:30,4700,-0.2813,0.1987,0.3620,1.8385,0.0018,-0.0093,0.0506,-0.1975,0.0484,0.1474,1.8001,0.0546,-0.0482
0:05:34,4800,-0.3634,0.2557,0.3281,1.8049,0.0012,0.0023,0.0380,-0.2470,0.0411,0.1582,1.8046,0.0498,-0.0404
0:05:38,4900,-0.3264,0.2421,0.6296,1.8023,0.0059,-0.0054,0.0531,-0.1920,0.0389,0.4167,1.7925,0.0464,-0.0566
0:05:43,5000,-0.3820,0.2087,0.3605,1.8317,0.0019,0.0043,0.0419,-0.2168,0.0453,0.1279,1.8020,0.0706,-0.0433
0:06:21,5100,-0.2628,0.1352,0.3749,1.8105,0.0016,0.0018,0.0396,-0.1425,0.0521,0.5546,1.7848,0.0769,-0.0437
0:06:25,5200,-0.4308,0.3113,0.5609,1.7954,0.0025,0.0260,0.0277,-0.2982,0.0462,0.1258,1.8167,0.0583,-0.0151
0:06:29,5300,-0.3874,0.1897,0.5385,1.8538,0.0011,0.0209,0.0199,-0.1830,0.0481,0.1308,1.8004,0.0682,-0.0248
0:06:33,5400,-0.2494,0.1547,0.3491,1.8532,0.0019,0.0294,0.0222,-0.1458,0.0399,0.0613,1.8438,0.0469,-0.0240
0:06:37,5500,-0.3609,0.2466,0.2460,1.8392,0.0016,0.0109,0.0236,-0.2239,0.0453,0.0339,1.8448,0.0472,-0.0220
0:06:41,5600,-0.3345,0.2229,0.2478,1.7628,0.0013,0.0080,0.0215,-0.2375,0.0496,0.0991,1.7945,0.0529,-0.0226
0:06:45,5700,-0.2568,0.1426,0.3467,1.8053,0.0009,0.0094,0.0138,-0.1323,0.0396,0.0369,1.8152,0.0520,-0.0143
0:06:49,5800,-0.4104,0.1920,0.2929,1.8026,0.0013,0.0144,0.0213,-0.1782,0.0396,0.0852,1.7984,0.0874,-0.0256
0:06:53,5900,-0.2480,0.1501,0.2141,1.8479,0.0021,0.0111,0.0156,-0.1243,0.0438,0.0440,1.8209,0.0489,-0.0163
0:06:57,6000,-0.2442,0.1782,0.2098,1.8185,0.0017,0.0246,0.0173,-0.1807,0.0434,0.2739,1.8254,0.0607,-0.0124
0:07:35,6100,-0.2376,0.1510,0.1586,1.8627,0.0015,0.0134,0.0198,-0.1639,0.0420,0.0539,1.8054,0.0471,-0.0176
0:07:40,6200,-0.2475,0.1566,0.2318,1.7919,0.0018,0.0148,0.0065,-0.1315,0.0454,0.0394,1.7934,0.0512,-0.0072
0:07:43,6300,-0.2316,0.1347,0.1852,1.8239,0.0008,-0.0090,0.0273,-0.1425,0.0438,0.1503,1.8091,0.0589,-0.0247
0:07:47,6400,-0.1394,-0.0779,0.2867,1.8160,0.0036,0.0293,0.0237,0.0758,0.0833,0.5974,1.8177,0.1270,-0.0263
0:07:51,6500,-0.3220,-0.0275,0.2276,1.8175,0.0038,0.0237,0.0053,0.0237,0.0733,0.0700,1.7916,0.1610,-0.0068
0:07:56,6600,-0.2346,-0.0375,0.2029,1.8115,0.0021,0.0205,0.0137,0.0350,0.0569,0.0839,1.7871,0.1145,-0.0117
0:08:00,6700,-0.2218,-0.0001,0.2150,1.8230,0.0019,0.0379,-0.0006,-0.0043,0.0551,0.0488,1.7719,0.0974,-0.0036
0:08:03,6800,-0.3145,0.0336,0.4419,1.8072,0.0030,0.0418,-0.0099,-0.0277,0.0564,0.0740,1.8205,0.1141,0.0063
0:08:08,6900,-0.1421,0.0318,0.2808,1.8552,0.0011,0.0319,0.0025,-0.0390,0.0450,0.0778,1.7732,0.0556,-0.0115
0:08:12,7000,-0.2334,0.0884,0.3552,1.7731,0.0029,0.0188,0.0040,-0.0981,0.0488,0.0483,1.7491,0.1072,-0.0075
0:08:51,7100,-0.2206,0.0568,0.0803,1.7933,0.0029,0.0166,-0.0047,-0.0698,0.0502,0.0432,1.8143,0.0916,0.0024
0:08:55,7200,-0.2969,0.1571,0.2805,1.8117,0.0009,0.0324,-0.0026,-0.1600,0.0435,0.0560,1.7840,0.0582,0.0008
0:08:59,7300,-0.2168,0.0744,0.1920,1.7920,0.0019,-0.0080,0.0118,-0.0698,0.0431,0.0991,1.7640,0.0742,-0.0127
0:09:03,7400,-0.1770,0.1077,0.1303,1.8402,0.0030,0.0196,-0.0071,-0.1137,0.0417,0.0412,1.8130,0.0649,0.0063
0:09:09,7500,-0.3164,0.1704,0.1440,1.8226,0.0036,0.0176,-0.0021,-0.1796,0.0453,0.0730,1.8255,0.0615,0.0049
0:09:13,7600,-0.1841,0.0926,0.2758,1.8122,0.0019,0.0053,-0.0093,-0.0930,0.0485,0.0581,1.7950,0.0914,0.0092
0:09:17,7700,-0.2038,0.1107,0.0900,1.8333,0.0010,0.0128,-0.0129,-0.1100,0.0457,0.0504,1.8303,0.0500,0.0142
0:09:21,7800,-0.2190,0.1368,0.1504,1.8074,0.0012,0.0326,-0.0164,-0.1381,0.0451,0.0560,1.7932,0.0557,0.0204
0:09:25,7900,-0.2145,0.1416,0.1913,1.7884,0.0008,0.0372,-0.0305,-0.1365,0.0366,0.0176,1.7867,0.0428,0.0372
0:09:29,8000,-0.2121,0.1126,0.2073,1.7840,0.0017,0.0235,-0.0255,-0.1173,0.0401,0.0288,1.7940,0.0480,0.0229
0:10:09,8100,-0.2102,0.1367,0.1503,1.8379,0.0029,0.0260,-0.0270,-0.1526,0.0450,0.0380,1.8463,0.0500,0.0259
0:10:13,8200,-0.3268,0.1934,0.0588,1.8528,0.0012,0.0334,-0.0334,-0.1918,0.0479,0.0435,1.8120,0.0564,0.0307
0:10:16,8300,-0.2631,0.1479,0.2236,1.7988,0.0028,0.0313,-0.0307,-0.1427,0.0441,0.0443,1.7863,0.0579,0.0340
0:10:21,8400,-0.3017,0.1710,0.2624,1.8158,0.0022,0.0467,-0.0420,-0.1735,0.0459,0.0606,1.7913,0.0487,0.0342
0:10:25,8500,-0.3133,0.1206,0.2598,1.8215,0.0023,0.0522,-0.0410,-0.1069,0.0492,0.0889,1.8301,0.0623,0.0333
0:10:29,8600,-0.2136,0.1226,0.2039,1.7729,0.0010,0.0243,-0.0395,-0.1293,0.0411,0.0573,1.7694,0.0486,0.0355
0:10:33,8700,-0.2025,0.1353,0.1299,1.8698,0.0018,0.0493,-0.0402,-0.1327,0.0421,0.0087,1.8007,0.0486,0.0387
0:10:38,8800,-0.2067,0.1279,0.0432,1.7760,0.0010,0.0340,-0.0399,-0.1416,0.0400,0.0370,1.7833,0.0481,0.0378
0:10:42,8900,-0.2113,0.1228,0.1166,1.8735,0.0015,0.0218,-0.0405,-0.1287,0.0414,0.0367,1.8032,0.0419,0.0392
0:10:46,9000,-0.1901,0.1020,0.9008,1.8200,0.0010,0.0272,-0.0427,-0.1108,0.0425,0.0685,1.8369,0.0430,0.0506
0:11:25,9100,-0.2152,0.1233,0.2989,1.8511,0.0011,0.0437,-0.0447,-0.1169,0.0390,0.0134,1.8817,0.0440,0.0526
0:11:29,9200,-0.1916,0.1312,0.1817,1.8132,0.0012,0.0523,-0.0587,-0.1391,0.0359,0.0122,1.7788,0.0375,0.0572
0:11:33,9300,-0.1676,0.0806,0.1583,1.7768,0.0029,0.0145,-0.0273,-0.1042,0.0385,0.0514,1.7827,0.0441,0.0255
0:11:38,9400,-0.1829,0.0857,0.2476,1.8343,0.0013,0.0589,-0.0678,-0.0936,0.0431,0.0540,1.7826,0.0495,0.0626
0:11:42,9500,-0.2129,0.1050,0.0629,1.8395,0.0012,0.0525,-0.0577,-0.1125,0.0448,0.0193,1.8471,0.0441,0.0543
0:11:46,9600,-0.2189,0.1351,0.1123,1.8068,0.0032,0.0466,-0.0473,-0.1416,0.0402,0.0173,1.8007,0.0484,0.0405
0:11:50,9700,-0.1781,0.0847,0.2995,1.8144,0.0016,0.0263,-0.0506,-0.0702,0.0383,0.0196,1.7518,0.0422,0.0518
0:11:54,9800,-0.2017,-0.0368,0.1670,1.8540,0.0049,0.0234,-0.0382,0.0471,0.0561,0.4903,1.8119,0.0668,0.0380
0:11:58,9900,-0.1533,-0.0077,0.0480,1.8062,0.0019,0.0382,-0.0586,0.0106,0.0433,0.0147,1.8183,0.0541,0.0619
0:12:02,10000,-0.1344,0.0580,0.1144,1.8341,0.0011,0.0230,-0.0311,-0.0536,0.0417,0.0089,1.8502,0.0415,0.0323
0:15:58,10100,-0.1741,0.0526,0.1919,1.8065,0.0013,0.0235,-0.0308,-0.0441,0.0413,0.0114,1.7985,0.0490,0.0374
0:16:03,10200,-0.1244,0.0342,0.0274,1.8449,0.0008,0.0364,-0.0463,-0.0329,0.0397,0.0038,1.7960,0.0374,0.0461
0:16:06,10300,-0.1392,0.0653,0.1378,1.8132,0.0014,0.0292,-0.0366,-0.0653,0.0377,0.0061,1.8267,0.0346,0.0377
0:16:10,10400,-0.1650,0.0862,0.0747,1.8141,0.0008,0.0010,-0.0372,-0.0894,0.0372,0.0037,1.8081,0.0363,0.0342
0:16:14,10500,-0.1739,0.0804,0.1040,1.7942,0.0046,0.0216,-0.0271,-0.0601,0.0434,0.0135,1.8541,0.0499,0.0293
0:16:19,10600,-0.1804,0.0884,0.0997,1.7983,0.0011,0.0245,-0.0342,-0.0909,0.0394,0.0036,1.7965,0.0408,0.0370
0:16:23,10700,-0.1321,0.0587,0.1150,1.8455,0.0007,0.0237,-0.0514,-0.0606,0.0373,0.0086,1.8414,0.0347,0.0508
0:16:27,10800,-0.1690,0.0971,0.1222,1.7945,0.0034,0.0147,-0.0406,-0.0966,0.0416,0.0339,1.7991,0.0404,0.0452
0:16:32,10900,-0.1599,0.0804,0.1044,1.8444,0.0013,0.0262,-0.0369,-0.0838,0.0387,0.1504,1.7805,0.0399,0.0389
0:16:35,11000,-0.1453,0.0640,0.0626,1.8794,0.0011,0.0171,-0.0529,-0.0708,0.0451,0.0152,1.8158,0.0437,0.0545
0:17:13,11100,-0.1660,0.0740,0.0330,1.8100,0.0009,0.0445,-0.0653,-0.0713,0.0401,0.0089,1.7982,0.0391,0.0632
0:17:18,11200,-0.1625,0.0740,0.1429,1.8324,0.0008,0.0106,-0.0504,-0.0749,0.0380,0.0347,1.8433,0.0341,0.0430
0:17:22,11300,-0.1273,0.0593,0.1575,1.8030,0.0015,0.0374,-0.0760,-0.0684,0.0344,0.0060,1.8217,0.0366,0.0793
0:17:25,11400,-0.1681,0.1060,0.1371,1.7690,0.0022,0.0057,-0.0343,-0.0889,0.0358,0.0130,1.7292,0.0366,0.0286
0:17:30,11500,-0.1523,0.0659,0.0615,1.8147,0.0008,0.0132,-0.0515,-0.0678,0.0361,0.0178,1.8149,0.0437,0.0484
0:17:34,11600,-0.1438,0.0802,0.1050,1.8538,0.0006,0.0166,-0.0592,-0.0890,0.0346,0.0602,1.8012,0.0317,0.0560
0:17:38,11700,-0.1882,0.0771,0.0567,1.8478,0.0008,0.0286,-0.0568,-0.0753,0.0470,0.0161,1.7780,0.0615,0.0540
0:17:42,11800,-0.1717,0.0822,0.0781,1.8030,0.0015,0.0454,-0.0546,-0.0667,0.0400,0.0031,1.7923,0.0378,0.0512
0:17:47,11900,-0.1234,-0.0099,0.0185,1.8593,0.0018,0.0511,-0.0594,0.0098,0.0448,0.0040,1.8008,0.0540,0.0593
0:17:50,12000,-0.1311,0.0195,0.2034,1.8278,0.0019,0.0590,-0.0702,-0.0223,0.0468,0.0730,1.8105,0.0608,0.0617
0:18:29,12100,-0.1489,0.0481,0.1055,1.7950,0.0013,0.0359,-0.0459,-0.0445,0.0400,0.0127,1.7672,0.0366,0.0453
0:18:33,12200,-0.1307,0.0461,0.0363,1.8127,0.0011,0.0166,-0.0525,-0.0458,0.0391,0.0182,1.8318,0.0482,0.0517
0:18:37,12300,-0.1688,0.0593,0.0863,1.8196,0.0011,0.0200,-0.0623,-0.0542,0.0447,0.0052,1.8305,0.0478,0.0612
0:18:41,12400,-0.1905,0.0758,0.0881,1.8702,0.0013,0.0254,-0.0469,-0.0710,0.0403,0.0357,1.7955,0.0518,0.0484
0:18:46,12500,-0.1282,0.0296,0.1600,1.8372,0.0013,0.0389,-0.0650,-0.0329,0.0344,0.0070,1.8072,0.0323,0.0633
0:18:50,12600,-0.0990,0.0274,0.0150,1.7861,0.0015,0.0322,-0.0683,-0.0302,0.0369,0.0021,1.7812,0.0337,0.0707
0:18:54,12700,-0.1504,0.0528,0.1130,1.8277,0.0010,0.0218,-0.0751,-0.0502,0.0431,0.0081,1.8245,0.0387,0.0751
0:18:58,12800,-0.1232,0.0276,0.0146,1.8040,0.0008,0.0305,-0.0688,-0.0311,0.0349,0.0059,1.7880,0.0360,0.0666
0:19:02,12900,-0.1181,0.0316,0.0593,1.7745,0.0009,0.0342,-0.0546,-0.0289,0.0390,0.0063,1.7288,0.0322,0.0552
0:19:07,13000,-0.2003,0.0596,0.0574,1.8294,0.0008,0.0479,-0.0755,-0.0685,0.0490,0.0204,1.8299,0.0607,0.0727
0:19:47,13100,-0.1292,0.0372,0.4900,1.8198,0.0009,0.0194,-0.0490,-0.0364,0.0388,0.0732,1.8378,0.0340,0.0540
0:19:51,13200,-0.1267,0.0575,0.1868,1.8004,0.0008,0.0349,-0.0672,-0.0550,0.0365,0.0154,1.7766,0.0330,0.0716
0:19:56,13300,-0.1600,0.0588,0.0360,1.7923,0.0018,-0.0004,-0.0476,-0.0494,0.0348,0.0062,1.8004,0.0351,0.0510
0:20:00,13400,-0.1169,0.0368,0.0241,1.8570,0.0010,0.0436,-0.0823,-0.0485,0.0384,0.0112,1.8445,0.0350,0.0809
0:20:04,13500,-0.1443,0.0857,0.3058,1.7837,0.0065,0.0466,-0.0753,-0.0750,0.0375,0.0109,1.7850,0.0344,0.0718
0:20:08,13600,-0.1373,0.0709,0.0493,1.8171,0.0012,0.0543,-0.0709,-0.0762,0.0343,0.0217,1.8204,0.0326,0.0679
0:20:13,13700,-0.0938,-0.0308,0.0835,1.8290,0.0021,0.0458,-0.0869,0.0294,0.0530,0.0143,1.7798,0.0709,0.0846
0:20:17,13800,-0.1105,0.0160,0.0343,1.8095,0.0011,0.0286,-0.0681,-0.0214,0.0413,0.0052,1.8266,0.0440,0.0673
0:20:20,13900,-0.1457,0.0721,0.2725,1.8377,0.0008,-0.0011,-0.0536,-0.0569,0.0387,0.0109,1.8258,0.0377,0.0635
0:20:25,14000,-0.1674,0.0713,0.0941,1.8170,0.0008,0.0087,-0.0557,-0.0689,0.0428,0.0038,1.7996,0.0467,0.0600
0:21:04,14100,-0.1099,0.0277,0.0193,1.7531,0.0006,0.0293,-0.0551,-0.0297,0.0330,0.0059,1.7703,0.0326,0.0557
0:21:07,14200,-0.1880,0.0625,0.1211,1.8182,0.0007,0.0222,-0.0600,-0.0610,0.0450,0.0249,1.7554,0.0589,0.0603
0:21:12,14300,-0.1145,0.0671,0.0325,1.8023,0.0006,0.0195,-0.0594,-0.0605,0.0343,0.0091,1.8320,0.0290,0.0613
0:21:16,14400,-0.1415,0.0583,0.1142,1.8001,0.0011,0.0133,-0.0431,-0.0490,0.0399,0.0075,1.8100,0.0353,0.0498
0:21:20,14500,-0.1831,0.1003,0.0614,1.8170,0.0009,0.0044,-0.0576,-0.1029,0.0389,0.0371,1.8268,0.0401,0.0582
0:21:24,14600,-0.1163,-0.0040,0.1816,1.8265,0.0015,-0.0171,-0.0423,-0.0038,0.0486,0.0252,1.8282,0.0490,0.0408
0:21:28,14700,-0.1508,0.0320,0.0928,1.8561,0.0008,0.0123,-0.0533,-0.0356,0.0436,0.0073,1.8097,0.0469,0.0513
0:21:32,14800,-0.1115,0.0206,0.0220,1.8290,0.0005,0.0261,-0.0495,-0.0231,0.0373,0.0042,1.8093,0.0377,0.0466
0:21:36,14900,-0.1350,0.0476,0.0820,1.8247,0.0014,0.0269,-0.0501,-0.0492,0.0366,0.0085,1.8544,0.0394,0.0507
0:21:41,15000,-0.1125,0.0185,0.0461,1.8073,0.0011,0.0042,-0.0448,-0.0054,0.0332,0.0046,1.7934,0.0312,0.0477
0:22:18,15100,-0.1104,0.0260,0.0421,1.8793,0.0008,0.0036,-0.0435,-0.0265,0.0355,0.0036,1.8256,0.0316,0.0398
0:22:21,15200,-0.1069,0.0184,0.1425,1.7854,0.0020,0.0247,-0.0617,-0.0171,0.0376,0.1004,1.8037,0.0393,0.0632
0:22:26,15300,-0.1159,0.0479,0.0421,1.8002,0.0008,0.0211,-0.0688,-0.0491,0.0313,0.0109,1.8231,0.0271,0.0686
0:22:30,15400,-0.1027,0.0089,0.0416,1.7795,0.0011,0.0180,-0.0485,-0.0044,0.0393,0.0057,1.7984,0.0398,0.0508
0:22:33,15500,-0.1312,0.0442,0.0763,1.8015,0.0006,0.0217,-0.0654,-0.0455,0.0397,0.0285,1.7978,0.0382,0.0685
0:22:38,15600,-0.1115,0.0186,0.0431,1.7580,0.0012,0.0270,-0.0567,-0.0261,0.0368,0.0128,1.8038,0.0325,0.0534
0:22:42,15700,-0.1442,0.0531,0.0988,1.8456,0.0011,0.0263,-0.0631,-0.0541,0.0365,0.0132,1.8261,0.0413,0.0557
0:22:46,15800,-0.1141,0.0170,0.0100,1.7677,0.0018,0.0187,-0.0563,-0.0226,0.0333,0.0033,1.7574,0.0316,0.0566
0:22:50,15900,-0.1011,0.0419,0.0922,1.8189,0.0004,0.0064,-0.0737,-0.0502,0.0320,0.0041,1.8234,0.0292,0.0716
0:22:54,16000,-0.1130,0.0325,0.0465,1.8784,0.0009,0.0117,-0.0674,-0.0334,0.0408,0.0059,1.8822,0.0330,0.0669
0:23:31,16100,-0.1417,0.0342,0.0310,1.8076,0.0006,0.0241,-0.0613,-0.0264,0.0388,0.0057,1.8254,0.0398,0.0634
0:23:35,16200,-0.1030,0.0264,0.0440,1.8216,0.0011,0.0124,-0.0573,-0.0236,0.0391,0.0045,1.8028,0.0319,0.0611
0:23:39,16300,-0.1413,0.0648,0.0311,1.8883,0.0025,0.0255,-0.0588,-0.0714,0.0396,0.0479,1.8429,0.0366,0.0567
0:23:43,16400,-0.1098,0.0315,0.0559,1.7499,0.0008,0.0278,-0.0661,-0.0429,0.0359,0.0035,1.7893,0.0337,0.0673
0:23:47,16500,-0.1329,0.0478,0.0263,1.8259,0.0008,0.0309,-0.0686,-0.0533,0.0353,0.0022,1.8258,0.0293,0.0687
0:23:51,16600,-0.1425,0.0713,0.0446,1.8670,0.0009,0.0097,-0.0402,-0.0674,0.0396,0.0025,1.8217,0.0326,0.0419
0:23:55,16700,-0.1402,0.0431,0.1271,1.8151,0.0016,0.0391,-0.0815,-0.0201,0.0390,0.0014,1.8275,0.0319,0.0798
0:24:00,16800,-0.0850,0.0318,0.0904,1.8284,0.0007,0.0414,-0.0752,-0.0385,0.0344,0.0102,1.7930,0.0321,0.0818
