Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_gp,D/loss_cls,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
0:00:07,100,0.0084,0.0000,1.4676,3.1420,2.7055,10.9459,0.5110,1.6103,2.8850,0.3810
0:00:12,200,0.0028,0.0003,1.3154,8.0222,2.6858,7.9733,0.3156,1.3695,2.8286,0.3387
0:00:16,300,0.0019,0.0001,1.2670,9.2566,2.6837,9.7954,0.2085,1.5034,2.7436,0.2421
0:00:20,400,0.0011,0.0002,1.1802,10.8421,2.7139,9.6402,0.1639,1.5505,2.7488,0.1811
0:00:24,500,0.0007,0.0001,1.1761,22.7930,2.7086,10.9198,0.1389,1.5008,2.7342,0.1599
0:00:29,600,0.0018,0.0000,0.7349,35.5861,2.7299,11.3853,0.1342,1.3620,2.7597,0.1982
0:00:33,700,0.0014,0.0000,0.9293,36.3210,2.6822,9.9006,0.1164,1.4833,2.8128,0.1354
0:00:38,800,0.0003,0.0000,0.8438,56.3299,2.6015,11.1234,0.1143,1.4284,2.7779,0.1386
0:00:42,900,0.0002,0.0000,0.6349,60.2335,2.6390,11.6379,0.1247,2.1527,2.8861,0.2078
0:00:46,1000,0.0033,0.0003,0.7496,48.1093,2.7204,9.3001,0.1520,1.4351,2.7006,0.1619
0:01:13,1100,0.0053,0.0006,0.5919,186.9412,2.7819,7.9798,0.1350,1.7888,2.7198,0.1565
0:01:17,1200,0.0090,0.0177,0.8768,49.1496,2.7261,5.2338,0.1760,0.9850,2.7057,0.2219
0:01:22,1300,0.4150,0.0993,0.9391,105.8463,2.7281,7.2363,0.1455,1.2151,2.6982,0.1862
0:01:26,1400,0.0023,0.9193,1.2263,76.9943,2.6979,3.5299,0.1194,1.1695,2.6968,0.1817
0:01:30,1500,0.1112,0.0125,0.7298,120.9328,2.7357,5.0412,0.1006,1.3252,2.6963,0.1573
0:01:35,1600,0.0005,0.0165,1.0542,343.2088,2.7019,4.4951,0.0954,1.2370,2.7512,0.1915
0:01:39,1700,0.2151,0.3371,0.7097,192.9764,2.7335,1.6307,0.0912,1.0637,2.7213,0.0841
0:01:44,1800,0.0158,0.0206,0.7144,45.9808,2.7959,4.2222,0.0883,1.1393,2.7198,0.1798
0:01:48,1900,0.0012,0.0782,0.7793,43.4336,2.6930,3.0433,0.0913,1.0878,2.7067,0.1788
0:01:52,2000,0.0046,0.3447,0.7291,46.2145,2.6292,1.7640,0.1001,0.8962,2.6793,0.1811
0:02:18,2100,0.0001,0.2244,0.6882,50.9133,2.7234,3.3947,0.1036,0.8407,2.7315,0.1801
0:02:23,2200,0.0010,0.0311,0.4093,82.6283,2.6122,4.7277,0.1207,0.5793,2.6978,0.1864
0:02:27,2300,0.2115,0.2736,0.7515,83.2197,2.7450,2.0681,0.0893,0.7906,2.7107,0.0758
0:02:31,2400,0.0043,0.1595,0.6882,61.9342,2.7155,3.8339,0.0999,1.1553,2.6883,0.1821
0:02:36,2500,0.0001,0.0850,0.4800,84.9611,2.6959,3.5485,0.1106,0.7951,2.7036,0.1821
0:02:40,2600,0.0006,0.0619,1.1018,45.3174,2.6378,3.6203,0.1077,0.7883,2.7056,0.2080
0:02:45,2700,0.0305,0.1393,0.7208,79.7603,2.7182,2.7450,0.1163,0.7568,2.7029,0.1806
0:02:50,2800,0.2402,0.0852,0.4276,114.0825,2.7586,2.8974,0.1284,0.5657,2.7634,0.1108
0:02:54,2900,0.6851,0.1312,0.4415,86.7971,2.6785,2.2696,0.0985,0.4563,2.7152,0.0925
0:02:58,3000,0.0030,0.1122,0.7227,59.7460,2.7344,3.1990,0.0719,0.9116,2.7144,0.1822
