Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom
0:00:07,100,-3.0683,-0.7438,1.4282,0.0146,2.6215,0.9409,0.3282,1.6066,2.8007
0:00:12,200,-1.4481,-0.5860,1.3282,0.0082,2.5295,-0.2312,0.1500,1.2043,2.7302
0:00:17,300,-1.7049,-0.2211,1.4821,0.0030,1.9400,0.5765,0.1564,1.4185,2.6697
0:00:21,400,-1.3033,-0.7434,1.3708,0.0090,1.4690,1.0336,0.1448,1.3916,2.7167
0:00:25,500,0.0726,-2.2779,1.5034,0.0232,0.6747,2.3748,0.1418,1.4357,1.6915
0:00:30,600,0.9176,-2.9079,1.2724,0.0043,0.5824,3.1422,0.1534,1.4886,1.9454
0:00:35,700,1.0039,-2.8898,1.5090,0.0031,0.1705,2.8068,0.1449,1.3244,2.1959
0:00:39,800,1.5468,-3.2591,1.4205,0.0096,0.4078,2.9841,0.1400,1.3907,1.4457
0:00:44,900,1.3312,-2.7989,1.1102,0.0058,0.2721,2.8092,0.1302,2.0100,0.6180
0:00:48,1000,0.9117,-2.3220,0.9422,0.0034,0.2767,2.2509,0.1194,1.6285,0.5437
0:01:05,1100,0.7588,-2.1941,0.7828,0.0065,0.2427,2.2779,0.1315,1.5324,0.2217
0:01:10,1200,0.2319,-1.6988,1.0522,0.0057,0.2781,1.8836,0.1329,1.7674,0.5351
0:01:14,1300,0.2754,-1.7327,1.1442,0.0070,0.2255,1.7910,0.1141,1.1662,0.2897
0:01:19,1400,0.3530,-1.5070,0.8129,0.0771,0.1496,0.7982,0.1476,1.3455,0.6958
0:01:24,1500,0.3509,-1.3983,0.8925,0.0022,0.0834,1.4022,0.1246,0.8516,0.4754
0:01:28,1600,0.1509,-0.8317,0.6548,0.0081,0.2483,0.8179,0.1282,0.9096,0.5531
0:01:33,1700,-0.1013,-0.6135,0.7838,0.0062,0.0754,0.5999,0.1194,1.0043,0.6080
0:01:37,1800,0.1817,-0.8812,0.7069,0.0040,0.1020,0.9281,0.1148,1.0340,0.5784
0:01:42,1900,0.4213,-1.0726,0.7944,0.0027,0.0655,1.1813,0.1097,0.7393,0.5570
0:01:47,2000,0.3236,-1.1002,0.5537,0.0103,0.1628,1.1248,0.1143,0.9106,0.6886
0:02:03,2100,0.3370,-1.0443,0.3921,0.0057,0.2813,1.2163,0.1184,0.6685,1.0690
0:02:08,2200,0.4810,-0.9738,0.6398,0.0025,0.2376,0.9794,0.0908,0.7126,0.1535
0:02:13,2300,0.4399,-0.9731,0.6326,0.0009,0.0386,0.9824,0.0929,0.7894,0.5611
0:02:18,2400,0.2973,-0.8848,0.6081,0.0040,0.0570,0.8743,0.0994,0.7133,0.1695
0:02:23,2500,0.2898,-0.7937,0.7329,0.0051,0.0438,0.9539,0.0864,0.8711,0.0629
0:02:28,2600,0.6444,-1.1579,0.3609,0.0029,0.0748,1.0879,0.1066,0.3765,0.2661
0:02:32,2700,0.4996,-1.0261,0.9306,0.0100,0.0977,1.0628,0.0911,1.5880,1.3548
0:02:37,2800,0.4323,-0.9140,0.4635,0.0125,0.6944,1.1870,0.0921,0.8300,0.5752
0:02:42,2900,0.1651,-0.6569,0.8059,0.0238,0.0122,0.6586,0.0856,0.9454,0.0970
0:02:47,3000,0.6196,-1.0443,0.6435,0.0105,0.0628,1.0285,0.0967,0.5927,0.6299
0:03:03,3100,0.4266,-0.8598,0.7348,0.0043,0.2891,0.8908,0.0852,0.8518,0.1100
0:03:08,3200,0.5450,-0.9619,0.5505,0.0023,0.1093,1.0873,0.0945,0.6823,1.1630
0:03:13,3300,0.6266,-1.0507,0.5788,0.0022,0.0421,0.9897,0.0825,0.5351,0.1415
0:03:17,3400,0.6918,-1.0733,0.4520,0.0047,0.3506,1.0384,0.0922,0.5019,0.2017
0:03:22,3500,0.8184,-1.2103,0.5791,0.0043,0.0405,1.1915,0.0847,0.8490,0.9200
0:03:27,3600,0.5536,-0.9079,0.7191,0.0049,0.0679,0.8085,0.0841,0.5007,0.0170
0:03:32,3700,0.8816,-1.2108,0.9086,0.0058,0.0935,1.0312,0.0821,0.9541,1.7612
0:03:37,3800,-0.1686,0.0716,0.6859,0.0069,0.0508,-0.0674,0.0699,0.8302,0.1190
0:03:41,3900,0.2208,-0.5368,0.7049,0.0030,0.0562,0.5066,0.0747,0.5775,0.0330
