step,domain,loss,accuracy,f1
10000,61,7.866012424464965,0.255,0.11142993782879004
10000,62,5.275501004287174,0.285,0.20791486987502894
10000,63,3.5945120456828072,0.455,0.3515151515151515
10000,64,5.050703304154532,0.22,0.16481202368380615
10000,65,4.124280495303018,0.375,0.30949789204506184
10000,66,3.647440385605608,0.47,0.403441676769063
10000,67,4.63978447658675,0.245,0.158095952023988
10000,68,5.031813474638121,0.28,0.16955235856097925
10000,69,5.157882777175733,0.335,0.2544565694089725
10000,70,5.173974436308656,0.36,0.2630432670066491
10000,71,3.6151293388434818,0.4,0.3567742643829601
10000,72,8.19198111015638,0.26,0.12049394078846448
10000,73,4.390491800648825,0.305,0.23940845406824743
10000,74,2.9177670081456504,0.328125,0.304748752823002
10000,75,3.361415479864393,0.355,0.28715990753232157
20000,61,5.004676367555346,0.295,0.2398955035125909
20000,62,4.326959337506976,0.28,0.26847860342447677
20000,63,5.228197344711849,0.34,0.2474161266636995
20000,64,5.018941164016724,0.285,0.22646545398306675
20000,65,4.5624313695090155,0.44,0.4014879665820036
20000,66,6.088010926331792,0.39,0.30963497453310695
20000,67,3.785081229039601,0.395,0.3256314110017311
20000,68,4.374436855316162,0.415,0.36384584342211457
20000,69,4.39217974458422,0.38,0.35190681640652355
20000,70,5.219519730125155,0.41,0.3257528756636474
20000,71,3.726000802857535,0.475,0.45110681369321926
20000,72,5.113289867128644,0.345,0.294773496297955
20000,73,5.630463778972626,0.31,0.22417968529811502
20000,74,3.5773578683535256,0.4322916666666667,0.4322760572760573
20000,75,4.321314309324537,0.37,0.33167482708600105
30000,61,8.15357022200312,0.25,0.12965388584583631
30000,62,5.392301423209054,0.27,0.2665519007009552
30000,63,9.81350593721228,0.255,0.11882426516572858
30000,64,3.981428940780461,0.435,0.3869287049377824
30000,65,6.157198929360935,0.33,0.2597024216509679
30000,66,6.468430752732924,0.36,0.2860788334472545
30000,67,2.754687907972506,0.485,0.45414026182230527
30000,68,6.996679059096745,0.265,0.18199398962441546
30000,69,3.770034807068961,0.405,0.388290244327396
30000,70,5.8797738041196554,0.36,0.258367607404277
30000,71,7.053998653377805,0.32,0.2605172370375966
30000,72,4.674560331872532,0.37,0.31968667143982715
30000,73,4.594275351081576,0.36,0.31389709982353603
30000,74,2.2750500043233237,0.6145833333333334,0.5958022017317158
30000,75,3.715022717203413,0.325,0.2949844270606982
40000,61,7.981476003570216,0.27,0.15006624271330155
40000,62,5.311617749077933,0.2,0.19899492298497357
40000,63,7.207879313400814,0.345,0.2561282467532467
40000,64,4.609808500323977,0.445,0.35059683177153056
40000,65,7.3525460468871255,0.275,0.1771363094504049
40000,66,7.162783469397774,0.335,0.2476454544976356
40000,67,3.6190072234187807,0.36,0.28719084564184993
40000,68,3.7281647409711565,0.4,0.3700330150986247
40000,69,4.622823229857853,0.39,0.3519961283806531
40000,70,4.269845189792769,0.515,0.4519148054438733
40000,71,5.489952892065048,0.385,0.3300045829233227
40000,72,5.221324597086225,0.36,0.31168122625271977
40000,73,5.65912310566221,0.335,0.29349380982105705
40000,74,4.578467984994252,0.3697916666666667,0.30211902106073885
40000,75,4.208043268748692,0.385,0.34582546027548206
50000,61,4.45446489751339,0.34,0.2739730674547806
50000,62,6.629383495875767,0.125,0.14253684409715267
50000,63,7.408972774233137,0.28,0.19787422257190088
50000,64,3.466353876250131,0.36,0.29916300228800224
50000,65,5.259657944951739,0.305,0.2649331662489557
50000,66,7.200991064601112,0.29,0.18290206000896372
50000,67,3.4659981727600098,0.305,0.28772469928507743
50000,68,4.6595282554626465,0.295,0.2586265004977007
50000,69,5.253355128424508,0.235,0.22153046260035636
50000,70,5.740557738712856,0.315,0.26517142766428387
50000,71,4.420682406851223,0.425,0.36523040482736424
50000,72,4.772242162908826,0.345,0.3130395236843956
50000,73,4.541416457721165,0.32,0.28914981217612795
50000,74,3.8729063272476196,0.2604166666666667,0.2821192256961053
50000,75,4.398170079503741,0.35,0.32394088903731644
60000,61,8.659476175904274,0.275,0.1603569432516801
60000,62,4.3933863299233575,0.33,0.3288731167644736
60000,63,6.590776588235583,0.285,0.1939267210731909
60000,64,5.3219942312155455,0.31,0.2164883754100699
60000,65,6.126498907804489,0.305,0.2325052234351015
60000,66,7.390179077415529,0.35,0.2558989528083775
60000,67,4.607891853499625,0.31,0.21642182828451442
60000,68,4.878420099616051,0.36,0.30540395933654363
60000,69,6.613683419568198,0.36,0.27827260458839403
60000,70,6.452271810599735,0.345,0.275383616190799
60000,71,5.781551480293274,0.36,0.29853450665188475
60000,72,6.484503715166023,0.315,0.2176995243128964
60000,73,7.592793353966305,0.26,0.19201472350954113
60000,74,6.445958750943343,0.28125,0.18975565162442906
60000,75,4.930525081498282,0.43,0.36744938854326564
70000,61,7.820550001292888,0.39,0.27812431221112865
70000,62,7.063109227589199,0.185,0.15307347307811273
70000,63,4.612858750724366,0.51,0.4052428177302506
70000,64,3.0759677376065935,0.385,0.3703873476771657
70000,65,6.456893478121076,0.27,0.20006799640928474
70000,66,5.146533797362021,0.41,0.30924071756362115
70000,67,4.2166942017419,0.265,0.21319239774135793
70000,68,6.752401692526681,0.145,0.12564286126932359
70000,69,6.679585184369769,0.105,0.08706125153493574
70000,70,6.919227625642504,0.305,0.21533516988062446
70000,71,5.088796436786652,0.425,0.34879615269050307
70000,72,6.014093628951481,0.355,0.26971041166105253
70000,73,5.990638358252389,0.235,0.18514109108868163
70000,74,4.162247498830159,0.3177083333333333,0.28459669630335266
70000,75,10.913725308009557,0.13,0.08815175491986205
80000,61,10.365371155533856,0.36,0.26578208591556757
80000,62,9.014822857720512,0.275,0.20406179660323306
80000,63,5.908424807446344,0.32,0.23818889851832656
80000,64,7.988711044192314,0.395,0.27097701149425285
80000,65,9.01999829496656,0.33,0.24609621316262814
80000,66,9.588190849072166,0.345,0.23412913377702108
80000,67,5.53828102350235,0.415,0.3107598818535436
80000,68,10.626736198152814,0.275,0.18097078827616578
80000,69,11.112672226769584,0.2,0.15568198660684207
80000,70,11.099031380244664,0.34,0.22355373842755769
