Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom
0:05:18,5600,-0.1416,-0.0854,0.2887,0.0068,2.6762,0.0365,0.0474,0.0364,2.7130
0:05:22,5700,-0.0549,-0.0459,0.3960,0.0025,2.6951,0.0565,0.0408,0.0571,2.6837
0:05:27,5800,-0.0853,-0.1029,0.0820,0.0054,2.6969,0.0454,0.0420,0.0219,2.7466
0:05:32,5900,-0.0871,0.0082,0.2616,0.0028,2.7284,0.0250,0.0371,0.0876,2.7081
0:05:36,6000,-0.1085,-0.0400,0.1484,0.0024,2.7419,0.0397,0.0366,0.0668,2.7022
0:05:53,6100,-0.2760,0.1466,0.4470,0.0052,2.7173,-0.0695,0.0388,0.0439,2.6941
0:05:58,6200,-0.0756,-0.0481,0.1528,0.0039,2.7731,0.0273,0.0403,0.0119,2.7238
0:06:03,6300,-0.1343,-0.0375,0.0845,0.0094,2.7202,0.0354,0.0466,0.0181,2.7596
0:06:07,6400,-0.2795,0.0462,0.3743,0.0063,2.7069,-0.0844,0.0529,0.0225,2.7321
0:06:12,6500,-0.1806,0.0216,0.2754,0.0048,2.7569,-0.0223,0.0369,0.0630,2.7546
0:06:16,6600,-0.1915,0.0831,0.1597,0.0028,2.7407,-0.1006,0.0404,0.0413,2.7243
0:06:21,6700,-0.0993,-0.1098,0.4856,0.0023,2.7751,0.1350,0.0424,0.0222,2.7501
0:06:25,6800,-0.1590,-0.0202,0.1416,0.0021,2.7364,0.0420,0.0401,0.0829,2.7062
0:06:30,6900,-0.2564,0.0522,0.0636,0.0066,2.6972,-0.0231,0.0409,0.0518,2.7355
0:06:34,7000,-0.2458,0.0465,0.0645,0.0058,2.7305,-0.0095,0.0429,0.0101,2.7225
0:06:52,7100,-0.2427,0.0411,0.1782,0.0039,2.6845,-0.0681,0.0487,0.0111,2.6642
0:06:56,7200,-0.1518,0.0063,0.0565,0.0055,2.7242,-0.0159,0.0421,0.0292,2.7062
0:07:01,7300,-0.1380,-0.0346,0.0585,0.0044,2.7020,0.0068,0.0391,0.0175,2.6819
0:07:05,7400,-0.1109,-0.0239,0.1960,0.0040,2.7042,0.0270,0.0423,0.0154,2.6602
0:07:10,7500,-0.2030,0.0325,0.1401,0.0050,2.6915,-0.0104,0.0417,0.0331,2.7286
0:07:15,7600,-0.2370,0.0312,0.0566,0.0031,2.7059,-0.0288,0.0470,0.0138,2.7059
0:07:19,7700,-0.1135,-0.1138,0.0906,0.0090,2.7341,0.1362,0.0429,0.0961,2.7635
0:07:24,7800,-0.0769,-0.0845,0.0891,0.0036,2.6810,0.0594,0.0401,0.0126,2.6996
0:07:28,7900,-0.0867,-0.1023,0.1605,0.0018,2.8229,0.1177,0.0409,0.0240,2.8529
0:07:33,8000,-0.1936,-0.0019,0.1159,0.0030,2.7468,0.0583,0.0393,0.0282,2.7122
0:07:50,8100,-0.1902,-0.0414,0.1751,0.0042,2.6521,0.0278,0.0459,0.0790,2.6807
0:07:55,8200,-0.1073,-0.0623,0.0937,0.0029,2.7495,0.0446,0.0454,0.0165,2.7432
0:07:59,8300,-0.0056,-0.2124,0.2607,0.0054,2.7215,0.1772,0.0447,0.0414,2.6632
0:08:04,8400,-0.4130,0.1864,0.3213,0.0067,2.6674,-0.0420,0.0476,0.0050,2.6607
0:08:08,8500,-0.2320,0.0116,0.0883,0.0030,2.6632,0.0454,0.0460,0.0368,2.6772
0:08:13,8600,-0.2113,0.0344,0.0198,0.0049,2.6843,-0.0199,0.0411,0.0164,2.6437
0:08:17,8700,-0.1220,-0.0557,0.0282,0.0017,2.7013,0.0457,0.0363,0.0173,2.7216
0:08:22,8800,-0.2064,0.0147,0.0992,0.0040,2.6584,-0.0216,0.0378,0.0258,2.6886
0:08:27,8900,-0.1253,-0.0004,0.0996,0.0068,2.7039,0.0256,0.0363,0.0270,2.7235
0:08:31,9000,-0.1704,0.0014,0.2462,0.0031,2.7080,-0.0019,0.0412,0.0410,2.6999
0:08:49,9100,-0.0583,-0.1228,0.2314,0.0048,2.6878,0.1310,0.0377,0.0153,2.6991
0:08:53,9200,-0.1400,-0.0559,0.0854,0.0045,2.6913,0.0472,0.0387,0.0091,2.7136
0:08:57,9300,-0.0957,-0.0540,0.0795,0.0066,2.7011,0.0673,0.0361,0.0358,2.7096
0:09:02,9400,-0.1921,-0.0449,0.4655,0.0036,2.6751,0.0775,0.0399,0.0154,2.7358
0:09:07,9500,-0.1067,-0.0673,0.0338,0.0038,2.7620,0.0562,0.0382,0.0100,2.7404
0:09:11,9600,-0.1078,-0.0545,0.0587,0.0029,2.7130,0.0721,0.0361,0.0157,2.6978
0:09:16,9700,-0.1090,-0.0417,0.2520,0.0067,2.6951,0.0929,0.0378,0.0157,2.7573
0:09:21,9800,-0.0211,-0.1716,0.1665,0.0096,2.6951,0.0395,0.0419,0.0132,2.6969
0:09:25,9900,-0.2186,-0.0120,0.1561,0.0077,2.7685,0.0390,0.0435,0.0250,2.7713
0:09:30,10000,-0.1967,0.0583,0.1855,0.0015,2.7388,-0.0674,0.0359,0.0033,2.7513
0:12:57,10100,-0.0542,-0.1310,0.0441,0.0077,2.7371,0.1378,0.0407,0.0340,2.7587
0:13:02,10200,-0.1625,0.0223,0.2284,0.0089,2.7234,-0.0293,0.0375,0.0114,2.7198
0:13:06,10300,-0.2794,0.0777,0.1822,0.0042,2.7185,-0.0008,0.0420,0.0139,2.6795
0:13:11,10400,-0.0710,-0.0904,0.0951,0.0048,2.6926,0.0850,0.0349,0.0201,2.6887
0:13:15,10500,-0.1268,-0.0434,0.0528,0.0050,2.6973,0.0395,0.0383,0.0226,2.7189
0:13:20,10600,-0.0714,-1.5584,0.2009,0.0192,2.7845,1.5265,0.1600,0.4169,2.7326
0:13:24,10700,0.0190,-0.5135,0.1668,0.0029,2.7466,0.5243,0.0613,0.0440,2.7402
0:13:29,10800,-0.0253,-0.4765,0.0690,0.0020,2.6628,0.4835,0.0531,0.0804,2.6720
0:13:33,10900,-0.1533,-0.3386,0.0065,0.0097,2.6394,0.3876,0.0583,0.0083,2.6851
0:13:38,11000,0.0637,-0.3793,0.0636,0.0032,2.6900,0.3826,0.0422,0.0433,2.6982
0:13:55,11100,0.0415,-0.4682,0.0202,0.0076,2.7663,0.4280,0.0490,0.0353,2.7420
0:13:59,11200,0.0373,-0.3374,0.4423,0.0031,2.7133,0.3129,0.0379,0.0041,2.7310
0:14:04,11300,0.0103,-0.3110,0.8522,0.0014,2.7165,0.2928,0.0362,0.0110,2.7139
0:14:08,11400,-0.0941,-0.2499,0.0097,0.0026,2.6798,0.2628,0.0436,0.0057,2.7048
0:14:13,11500,-0.1142,-0.2615,0.0105,0.0048,2.6617,0.2466,0.0459,0.0086,2.6969
0:14:17,11600,-0.0793,-0.2245,0.1280,0.0059,2.7160,0.2389,0.0447,0.0084,2.7040
0:14:22,11700,-0.0752,-0.2115,0.0390,0.0036,2.7247,0.1852,0.0386,0.0131,2.7290
0:14:27,11800,-0.1406,-0.1793,0.1581,0.0143,2.6901,0.1592,0.0405,0.0072,2.7081
0:14:31,11900,-0.1070,-0.2354,0.0392,0.0030,2.7222,0.2580,0.0409,0.0054,2.7396
0:14:35,12000,-0.0241,-0.4132,0.0233,0.0029,2.6729,0.4183,0.0647,0.0935,2.7017
0:14:53,12100,-0.1444,-0.2330,0.1329,0.0068,2.7455,0.2505,0.0452,0.1254,2.6771
0:14:58,12200,-0.0884,-0.2351,0.0212,0.0017,2.7645,0.2241,0.0445,0.0121,2.7549
0:15:02,12300,-0.1539,-0.1764,0.0564,0.0028,2.7296,0.1966,0.0416,0.0411,2.7243
0:15:07,12400,-0.0665,-0.2163,0.0269,0.0047,2.7547,0.2230,0.0396,0.0337,2.6922
0:15:11,12500,-0.1463,-0.1635,0.0072,0.0035,2.7231,0.1557,0.0363,0.0051,2.7204
0:15:16,12600,-0.1673,-0.1743,0.1078,0.0019,2.6903,0.1660,0.0419,0.0058,2.6867
0:15:20,12700,-0.0964,-0.2313,0.0690,0.0040,2.6338,0.1910,0.0527,0.0098,2.7354
0:15:25,12800,-0.0003,-0.2930,0.0394,0.0014,2.7169,0.2940,0.0470,0.0056,2.7004
0:15:30,12900,-0.1249,-0.0837,0.0092,0.0012,2.6790,0.0981,0.0384,0.0056,2.7319
0:15:34,13000,-0.2386,-0.1023,0.0093,0.0039,2.6644,0.0760,0.0408,0.0206,2.6801
0:15:51,13100,-0.1001,-0.1332,0.0150,0.0058,2.7258,0.1435,0.0366,0.1218,2.7407
0:15:56,13200,-0.1336,-0.1475,0.0534,0.0046,2.6669,0.1672,0.0406,0.0201,2.6644
