Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds
0:00:58,100,100000,0.071591,0.061985,0.012407,0.041627,0.202431,0.015585,0.844928,110.268524,0.286331,0.288890,0.687986,0.716549,1.241666,43.104828,0.279077,0.211158,1.792210,0.016493,0.999000
0:01:30,200,100000,0.367113,0.022773,0.032718,0.005250,0.495980,0.023850,0.465563,88.570831,0.157310,0.135907,0.517831,0.662811,1.054665,21.009022,0.152517,0.111644,0.313890,0.008909,0.998000
0:02:01,300,100000,0.177723,0.012020,0.054601,0.025273,0.205620,0.044646,1.054747,85.793625,0.103843,0.088672,0.562427,0.598005,0.449155,11.477431,0.087952,0.073681,0.245018,0.004663,0.997000
0:02:32,400,100000,0.257224,0.008308,0.054644,0.042500,0.241718,0.038521,1.307911,90.877426,0.102245,0.093997,0.520640,0.630732,0.502709,16.633108,0.093006,0.081268,0.133360,0.002776,0.996000
0:03:05,500,100000,0.287443,0.018084,0.112278,0.055101,0.402145,0.041719,0.994005,44.511322,0.072251,0.066688,0.582496,0.464834,0.950988,12.909841,0.061876,0.056244,0.462528,0.004340,0.995000
0:03:36,600,100000,0.230216,0.005543,0.019103,0.087324,0.230421,0.020250,1.042520,115.813995,0.057508,0.052677,0.533926,0.554263,0.737571,8.692224,0.053192,0.048913,0.270125,0.006746,0.994000
0:04:07,700,100000,0.197978,0.012343,0.031897,0.067333,0.299920,0.030295,0.960481,53.568726,0.070208,0.059942,0.528196,0.407993,0.413160,14.987058,0.057755,0.053637,0.192479,0.001626,0.993000
0:04:39,800,100000,0.143340,0.023830,0.032220,0.034721,0.302517,0.025805,0.851092,62.386688,0.084060,0.079411,0.524370,0.382159,0.414708,18.746616,0.057326,0.054492,0.243099,0.000708,0.992000
0:05:11,900,100000,0.211204,0.001733,0.054035,0.053512,0.319706,0.030757,0.933833,35.728947,0.066809,0.062179,0.487708,0.340713,0.340234,8.382298,0.057067,0.052624,0.623875,0.004939,0.991000
0:06:07,1000,100000,0.160672,0.004323,0.036572,0.053247,0.456346,0.031401,1.067498,61.848515,0.063869,0.058675,0.517522,0.315054,0.329154,7.438355,0.056445,0.052462,0.136697,0.001195,0.990000
0:06:40,1100,100000,0.156649,0.029041,0.048707,0.060096,0.292093,0.034791,0.990372,27.032463,0.073065,0.069471,0.496393,0.281827,0.377457,16.116604,0.059795,0.057474,0.559525,0.004506,0.989000
