step,source,target,accuracy,loss
10000,WAL,RUN,0.01961073429666765,11.823144912719727
10000,WAL,CLD,0.030521969920377468,10.951630592346191
10000,WAL,CLU,0.023296962547920966,11.771385192871094
20000,WAL,RUN,0.01843114125626659,11.860989570617676
20000,WAL,CLD,0.02506635210852256,10.586156845092773
20000,WAL,CLU,0.023296962547920966,11.73269271850586
30000,WAL,RUN,0.019020937776467118,12.023768424987793
30000,WAL,CLD,0.024918902978472428,11.13403034210205
30000,WAL,CLU,0.024771453848422293,11.695759773254395
40000,WAL,RUN,0.019905632556767916,12.019002914428711
40000,WAL,CLD,0.02064287820701858,11.017552375793457
40000,WAL,CLU,0.02565614862872309,11.769996643066406
50000,WAL,RUN,0.023296962547920966,12.376882553100586
50000,WAL,CLD,0.02064287820701858,10.980883598327637
50000,WAL,CLU,0.023296962547920966,12.1062593460083
60000,WAL,RUN,0.02403420819817163,12.141630172729492
60000,WAL,CLD,0.024329106458271896,10.919378280639648
60000,WAL,CLU,0.024181657328221765,11.712360382080078
70000,WAL,RUN,0.019168386906517253,12.170829772949219
70000,WAL,CLD,0.01857859038631672,10.98595905303955
70000,WAL,CLU,0.02403420819817163,11.471502304077148
80000,WAL,RUN,0.014597463874963138,12.728225708007812
80000,WAL,CLD,0.023296962547920966,11.162589073181152
80000,WAL,CLU,0.02890002948982601,11.349918365478516
90000,WAL,RUN,0.013860218224712475,12.40621566772461
90000,WAL,CLD,0.024771453848422293,11.092753410339355
90000,WAL,CLU,0.029194927749926276,11.517618179321289
100000,WAL,RUN,0.021085225597168977,12.548210144042969
100000,WAL,CLD,0.02565614862872309,11.101241111755371
100000,WAL,CLU,0.025508699498672956,11.614683151245117
110000,WAL,RUN,0.019905632556767916,12.213823318481445
110000,WAL,CLD,0.025951046888823357,11.107422828674316
110000,WAL,CLU,0.024918902978472428,11.555180549621582
120000,WAL,RUN,0.019315836036567384,12.734162330627441
120000,WAL,CLD,0.028605131229725744,11.012492179870605
120000,WAL,CLU,0.02609849601887349,11.337984085083008
130000,WAL,RUN,0.02167502211736951,11.92257308959961
130000,WAL,CLD,0.019905632556767916,10.84398078918457
130000,WAL,CLU,0.025508699498672956,11.064992904663086
140000,WAL,RUN,0.020347979946918313,12.302616119384766
140000,WAL,CLD,0.02447655558832203,10.885897636413574
140000,WAL,CLU,0.03007962253022707,10.786408424377441
150000,WAL,RUN,0.019463285166617515,12.537200927734375
150000,WAL,CLD,0.023296962547920966,11.52614688873291
150000,WAL,CLU,0.0238867590681215,11.174300193786621
160000,WAL,RUN,0.018136242996166323,12.7218656539917
160000,WAL,CLD,0.02772043644942495,10.763240814208984
160000,WAL,CLU,0.030521969920377468,10.990785598754883
170000,WAL,RUN,0.016661751695664997,12.229511260986328
170000,WAL,CLD,0.028457682099675613,10.706912994384766
170000,WAL,CLU,0.029489826010026542,10.918634414672852
