step,source,domain,accuracy,loss
10000,WAL,15,0.56,2.0108351707458496
10000,WAL,16,0.24074074074074073,3.256438970565796
10000,WAL,17,0.22641509433962265,3.6865549087524414
10000,WAL,18,0.7222222222222222,0.7387635111808777
10000,WAL,19,0.24074074074074073,2.910839796066284
10000,WAL,20,0.39215686274509803,2.5312888622283936
10000,WAL,21,0.2978723404255319,2.34916615486145
10000,WAL,22,0.42592592592592593,1.5302164554595947
10000,WAL,23,0.75,1.5798002481460571
10000,WAL,24,0.7254901960784313,0.5577230453491211
10000,WAL,25,0.7037037037037037,1.171479344367981
10000,WAL,26,0.8333333333333334,0.8623324632644653
10000,WAL,27,0.24074074074074073,3.9527926445007324
10000,WAL,28,0.5714285714285714,1.6661967039108276
10000,WAL,29,0.6428571428571429,1.1087615489959717
10000,WAL,30,0.36,2.197075605392456
10000,WAL,31,0.813953488372093,2.5558784008026123
10000,WAL,32,0.6923076923076923,1.170928716659546
10000,WAL,33,0.75,1.2671221494674683
10000,WAL,34,0.7142857142857143,1.7459352016448975
10000,WAL,35,0.7291666666666666,0.7014188170433044
10000,WAL,36,0.16279069767441862,4.753404140472412
10000,WAL,37,0.8095238095238095,0.2652638256549835
10000,WAL,38,0.6808510638297872,1.7406489849090576
10000,WAL,39,0.7407407407407407,0.8105327486991882
10000,WAL,40,0.29545454545454547,1.867928385734558
10000,WAL,41,0.6444444444444445,2.1836061477661133
10000,WAL,42,0.13043478260869565,3.716601610183716
10000,WAL,43,0.7380952380952381,1.0129637718200684
10000,WAL,44,0.8809523809523809,0.19068284332752228
10000,WAL,45,0.28846153846153844,2.4687893390655518
10000,WAL,46,0.14583333333333334,3.7359468936920166
10000,WAL,47,0.29545454545454547,1.8169571161270142
10000,WAL,48,0.7291666666666666,2.0383658409118652
10000,WAL,49,0.2830188679245283,1.614572525024414
10000,WAL,50,0.8333333333333334,0.9288461804389954
10000,WAL,51,0.7391304347826086,2.2336134910583496
10000,WAL,52,0.7619047619047619,0.5119627714157104
10000,WAL,53,0.3125,3.657572031021118
