source,domain,accuracy,loss
WAL,15,0.7,3.475132942199707
WAL,16,0.7407407407407407,1.1803004741668701
WAL,17,0.7735849056603774,2.16392183303833
WAL,18,0.7037037037037037,3.8293025493621826
WAL,19,0.7222222222222222,2.4748666286468506
WAL,20,0.9607843137254902,0.2099306583404541
WAL,21,0.8723404255319149,1.1904147863388062
WAL,22,0.7407407407407407,1.920508623123169
WAL,23,0.8076923076923077,0.5505993962287903
WAL,24,0.803921568627451,1.148821473121643
WAL,25,0.7407407407407407,2.9150445461273193
WAL,26,0.9285714285714286,0.14008434116840363
WAL,27,0.7592592592592593,3.7536511421203613
WAL,28,0.8809523809523809,0.9172316789627075
WAL,29,0.5952380952380952,2.6714870929718018
WAL,30,0.52,4.2019877433776855
WAL,31,0.9302325581395349,1.697105050086975
WAL,32,0.7884615384615384,1.8810982704162598
WAL,33,0.8181818181818182,0.9232797026634216
WAL,34,0.6122448979591837,8.85079288482666
WAL,35,0.8541666666666666,0.9774202704429626
WAL,36,0.8837209302325582,0.49853312969207764
WAL,37,0.8333333333333334,0.8472737669944763
WAL,38,0.7021276595744681,7.006448268890381
WAL,39,0.6666666666666666,3.402379035949707
WAL,40,0.7272727272727273,1.373425006866455
WAL,41,0.6666666666666666,6.571469306945801
WAL,42,0.782608695652174,1.9057060480117798
WAL,43,0.7857142857142857,6.003733158111572
WAL,44,0.8095238095238095,1.1781902313232422
WAL,45,0.9615384615384616,0.10250295698642731
WAL,46,0.8333333333333334,1.2187992334365845
WAL,47,0.9090909090909091,0.647776186466217
WAL,48,0.7916666666666666,1.0389546155929565
WAL,49,0.9433962264150944,0.10757197439670563
WAL,50,0.8809523809523809,0.8738921880722046
WAL,51,0.7391304347826086,1.818141222000122
WAL,52,0.9047619047619048,0.29369303584098816
WAL,53,0.5833333333333334,11.5684232711792
WAL,54,0.7619047619047619,2.6885132789611816
WAL,55,0.9183673469387755,0.708138108253479
WAL,56,0.9285714285714286,0.19593961536884308
WAL,57,0.8333333333333334,1.2421132326126099
WAL,58,0.7368421052631579,4.084413528442383
WAL,59,0.9534883720930233,0.05872080475091934
WAL,60,0.6595744680851063,2.2573773860931396
WAL,61,0.8085106382978723,0.8107346296310425
WAL,62,0.9574468085106383,0.11161836981773376
WAL,63,0.7857142857142857,0.7122546434402466
WAL,64,0.9047619047619048,1.185030221939087
WAL,65,0.66,2.6464345455169678
WAL,66,0.16666666666666666,11.181875228881836
WAL,67,0.7380952380952381,2.6692581176757812
WAL,68,0.8604651162790697,0.6693032383918762
WAL,69,0.9047619047619048,0.45747464895248413
WAL,70,0.8333333333333334,1.1107064485549927
WAL,71,0.8636363636363636,0.7359834909439087
WAL,72,0.9047619047619048,0.5482052564620972
WAL,73,0.8536585365853658,0.6963111162185669
WAL,74,0.8,2.0842700004577637
WAL,75,0.9523809523809523,0.22760756313800812
