step,source,target,accuracy,loss
10000,WAL,RUN,0.0157770569153642,11.696243286132812
10000,WAL,CLD,0.06590976113240932,9.3272123336792
10000,WAL,CLU,0.05573577115895016,11.630329132080078
20000,WAL,RUN,0.024918902978472428,12.511110305786133
20000,WAL,CLD,0.08832202890002949,8.921995162963867
20000,WAL,CLU,0.08153936891772338,10.927604675292969
30000,WAL,RUN,0.022707166027720438,12.293135643005371
30000,WAL,CLD,0.1163373636095547,8.409538269042969
30000,WAL,CLU,0.0861102919492775,10.455883979797363
40000,WAL,RUN,0.02079032733706871,12.109635353088379
40000,WAL,CLD,0.10262459451489236,8.510663986206055
40000,WAL,CLU,0.09097611324093188,10.258936882019043
50000,WAL,RUN,0.023591860808021232,12.132574081420898
50000,WAL,CLD,0.10409908581539369,8.68840503692627
50000,WAL,CLU,0.07962253022707166,9.958999633789062
60000,WAL,RUN,0.01961073429666765,12.597993850708008
60000,WAL,CLD,0.11073429666764967,8.166743278503418
60000,WAL,CLU,0.06207608375110587,10.373409271240234
70000,WAL,RUN,0.02727808905927455,12.694537162780762
70000,WAL,CLD,0.10395163668534356,8.568202018737793
70000,WAL,CLU,0.06251843114125627,10.101020812988281
80000,WAL,RUN,0.04158065467413742,11.28361701965332
80000,WAL,CLD,0.13889708050722502,7.754349708557129
80000,WAL,CLU,0.08021232674727219,10.160863876342773
90000,WAL,RUN,0.027572987319374815,12.122917175292969
90000,WAL,CLD,0.11899144795045709,8.000314712524414
90000,WAL,CLU,0.0707755824240637,10.24673080444336
100000,WAL,RUN,0.03243880861102919,12.12714958190918
100000,WAL,CLD,0.12872309053376585,8.090354919433594
100000,WAL,CLU,0.10173989973459156,9.656976699829102
110000,WAL,RUN,0.02772043644942495,12.31554889678955
110000,WAL,CLD,0.10380418755529343,8.123018264770508
110000,WAL,CLU,0.06384547331170747,10.393136978149414
120000,WAL,RUN,0.0238867590681215,12.315272331237793
120000,WAL,CLD,0.09628428192273665,8.786728858947754
120000,WAL,CLU,0.08714243585962843,10.030744552612305
130000,WAL,RUN,0.02772043644942495,11.765155792236328
130000,WAL,CLD,0.10262459451489236,8.72872543334961
130000,WAL,CLU,0.0847832497788263,10.33897590637207
140000,WAL,RUN,0.03258625774107933,12.0726957321167
140000,WAL,CLD,0.10424653494544382,8.514909744262695
140000,WAL,CLU,0.07770569153641993,9.75930118560791
150000,WAL,RUN,0.030816868180477734,11.953492164611816
150000,WAL,CLD,0.10454143320554408,8.12453842163086
150000,WAL,CLU,0.1027720436449425,9.614531517028809
160000,WAL,RUN,0.02182247124741964,12.623854637145996
160000,WAL,CLD,0.1018873488646417,8.724775314331055
160000,WAL,CLU,0.08021232674727219,9.388443946838379
