Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_dom,D/loss_gp,D/loss_sd,D/loss_td,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot,G/loss_td
0:04:38,4100,-0.3647,-0.0453,0.3715,4.0808,0.0451,0.0015,0.0200,0.0719,0.1175,0.1679,4.1371,0.1572,0.0074
0:04:42,4200,-0.3637,0.0173,0.2712,4.1169,0.0029,0.0003,0.0187,0.0000,0.0921,0.0977,4.1213,0.1462,0.0047
0:04:45,4300,-0.2545,0.0231,0.2651,4.1225,0.0014,0.0007,0.0292,-0.0237,0.0916,0.0296,4.1224,0.1003,0.0121
0:04:48,4400,-0.3070,0.1689,0.5236,4.1485,0.0029,0.0693,0.0122,-0.1782,0.0863,0.1554,4.1520,0.0800,0.0240
0:04:52,4500,-0.2610,0.0515,0.2761,4.1403,0.0030,0.0012,0.0079,-0.0408,0.0943,0.0396,4.1161,0.0917,0.0253
0:04:55,4600,-0.2092,0.0498,0.3830,4.1653,0.0073,0.0007,0.0094,-0.0307,0.0758,0.1437,4.1750,0.0725,0.0048
0:04:58,4700,-0.2353,0.1240,0.7844,4.1214,0.0043,0.0022,0.4274,-0.1253,0.0623,0.1376,4.1236,0.0604,0.0902
0:05:02,4800,-0.2228,0.0476,0.3413,4.1590,0.0011,0.0000,0.0052,-0.0435,0.0702,0.0923,4.1502,0.0772,0.0033
0:05:05,4900,-0.2140,0.0642,0.3792,4.1172,0.0011,0.0000,0.0058,-0.0776,0.0780,0.0730,4.1242,0.0690,0.0023
0:05:09,5000,-0.1920,0.0610,0.4429,4.1326,0.0014,0.0563,0.0060,-0.0662,0.0764,0.1385,4.1442,0.0786,0.0045
0:05:46,5100,-0.1881,0.0743,0.5105,4.1439,0.0008,0.0023,0.0168,-0.0779,0.0783,0.1084,4.1502,0.0691,0.0056
0:05:50,5200,-0.1581,0.0585,0.4669,4.1456,0.0012,0.0044,0.0061,-0.0650,0.0596,0.0947,4.1544,0.0606,0.0022
0:05:53,5300,-0.2407,0.0916,0.7218,4.1546,0.0011,0.0000,0.0145,-0.0752,0.0941,0.1828,4.1299,0.0696,0.0033
0:05:56,5400,-0.1561,0.0623,0.6418,4.1456,0.0007,0.0000,0.0055,-0.0542,0.0659,0.1097,4.1549,0.0588,0.0025
0:05:59,5500,-0.1893,0.0213,0.4162,4.1215,0.0017,0.0000,0.0047,-0.0059,0.0771,0.1039,4.1379,0.0666,0.0017
0:06:03,5600,-0.0921,0.0185,0.4778,4.1298,0.0009,0.0746,0.0073,-0.0160,0.0651,0.1254,4.1282,0.0574,0.0048
0:06:06,5700,-0.1470,-0.0066,0.4055,4.0586,0.0011,0.0000,0.0061,0.0120,0.0604,0.0869,4.0529,0.0587,0.0010
0:06:09,5800,-0.1035,-0.0287,0.3230,4.1036,0.0022,0.5575,0.0047,0.0095,0.0677,0.0649,4.1316,0.0621,0.0078
0:06:12,5900,-0.1309,0.0469,0.4816,4.1171,0.0008,0.0001,0.0152,-0.0525,0.0561,0.0884,4.1244,0.0510,0.0075
0:06:16,6000,-0.1297,0.0351,0.5610,4.1147,0.0013,0.0001,0.0079,-0.0329,0.0619,0.0778,4.0958,0.0557,0.0028
0:06:54,6100,-0.1198,0.0148,0.3458,4.1336,0.0010,0.0001,0.0050,-0.0199,0.0675,0.0510,4.1319,0.0572,0.0024
0:06:57,6200,-0.1071,0.0336,0.5205,4.1228,0.0013,0.0094,0.0048,-0.0494,0.0652,0.1121,4.1251,0.0529,0.0022
0:07:00,6300,-0.1554,0.0518,0.2138,4.1728,0.0007,0.0000,0.0290,-0.0590,0.0592,0.0475,4.1529,0.0554,0.0068
0:07:04,6400,-0.1053,0.0010,0.5277,4.1168,0.0007,0.0018,0.0056,-0.0109,0.0732,0.0442,4.1253,0.0545,0.0062
0:07:07,6500,-0.1578,0.0421,0.3760,4.0404,0.0007,0.0000,0.0043,-0.0396,0.0798,0.0542,4.0565,0.0589,0.0020
0:07:10,6600,-0.1129,-0.0098,0.3157,4.1605,0.0013,0.0000,0.0119,0.0084,0.0633,0.0555,4.1459,0.0507,0.0040
0:07:14,6700,-0.0935,-0.0076,0.2988,4.0939,0.0010,0.0000,0.0049,0.0132,0.0571,0.0502,4.1077,0.0466,0.0017
0:07:17,6800,-0.1129,-0.0003,0.3126,4.1244,0.0017,0.0389,0.0189,0.0011,0.0763,0.0524,4.1316,0.0633,0.0026
0:07:21,6900,-0.1316,0.0490,0.5009,4.0908,0.0011,0.0000,0.0052,-0.0465,0.0540,0.0873,4.0915,0.0469,0.0034
0:07:24,7000,-0.1210,0.0368,0.4675,4.1328,0.0005,0.0000,0.0065,-0.0383,0.0601,0.0637,4.1326,0.0517,0.0040
0:08:01,7100,-0.1241,0.0175,0.3788,4.1220,0.0020,0.0000,0.0058,0.0054,0.0643,0.0574,4.0944,0.0509,0.0021
0:08:05,7200,-0.1435,0.0594,0.1713,4.1339,0.0015,0.0000,0.0046,-0.0616,0.0632,0.0076,4.1276,0.0479,0.0014
0:08:08,7300,-0.1015,0.0511,0.2948,4.1580,0.0013,0.0002,0.0035,-0.0414,0.0645,0.0523,4.1339,0.0500,0.0010
0:08:11,7400,-0.0923,0.0211,0.2108,4.1338,0.0006,0.0000,0.0056,-0.0187,0.0572,0.0718,4.1160,0.0428,0.0020
0:08:14,7500,-0.0916,-0.0065,0.2853,4.0956,0.0010,0.0001,0.0012,-0.0020,0.0677,0.0688,4.1039,0.0511,0.0012
0:08:18,7600,-0.1504,0.0827,0.2966,4.0867,0.0010,0.0000,0.0161,-0.0710,0.0873,0.0353,4.0836,0.0510,0.0099
0:08:21,7700,-0.0709,-0.0030,0.6042,4.0942,0.0008,0.0000,0.0330,0.0213,0.0516,0.1088,4.1069,0.0414,0.0043
0:08:24,7800,-0.0434,-0.0377,0.4024,4.0992,0.0009,0.0000,0.0094,0.0361,0.0540,0.0327,4.1049,0.0498,0.0224
0:08:27,7900,-0.0705,-0.0015,0.2656,4.0773,0.0014,0.0000,0.0353,0.0051,0.0569,0.0508,4.0837,0.0488,0.0098
0:08:31,8000,-0.0467,-0.0448,0.3122,4.1117,0.0008,0.0000,0.0079,0.0409,0.0535,0.0622,4.0951,0.0480,0.0020
0:09:08,8100,-0.0501,-0.0330,0.4464,4.1083,0.0008,0.0001,0.0022,0.0250,0.0511,0.0707,4.0978,0.0418,0.0010
0:09:11,8200,-0.0934,0.0025,0.1528,4.1417,0.0018,0.0000,0.0261,0.0033,0.0638,0.0214,4.1424,0.0497,0.0056
0:09:15,8300,-0.0695,-0.0511,0.4693,4.1873,0.0016,0.2769,0.0029,0.0196,0.0743,0.1140,4.2199,0.0614,0.0098
0:09:18,8400,-0.0914,0.0131,0.3438,4.1981,0.0014,0.0000,0.0036,0.0019,0.1034,0.1315,4.1687,0.0477,0.0015
0:09:22,8500,-0.0747,-0.0569,0.2509,4.0864,0.0004,0.0000,0.0021,0.0567,0.0587,0.0463,4.0734,0.0542,0.0010
0:09:25,8600,-0.0546,-0.0335,0.4847,4.1394,0.0008,0.0002,0.0056,0.0430,0.0661,0.0706,4.1492,0.0483,0.0016
0:09:28,8700,-0.0050,-0.0717,0.3693,4.1103,0.0016,0.0000,0.0027,0.0434,0.0611,0.0287,4.1100,0.0442,0.0014
0:09:32,8800,-0.0118,-0.0794,0.5396,4.1689,0.0024,0.0001,0.0012,0.0738,0.0682,0.0906,4.1609,0.0479,0.0007
0:09:35,8900,-0.0342,-0.0714,0.3101,4.0981,0.0012,0.0000,0.0035,0.0622,0.0587,0.0642,4.0900,0.0415,0.0018
0:09:38,9000,-0.0418,-0.0590,0.1317,4.1714,0.0005,0.0000,0.0060,0.0618,0.0617,0.0372,4.1561,0.0394,0.0018
0:10:16,9100,-0.0289,-0.0542,0.2258,4.0843,0.0013,0.0000,0.0061,0.0641,0.0472,0.0344,4.0873,0.0386,0.0015
0:10:19,9200,-0.0346,-0.0705,0.3471,4.1834,0.0011,0.0000,0.0026,0.0644,0.0568,0.0614,4.2011,0.0440,0.0018
0:10:22,9300,-0.0103,-0.0853,0.2528,4.1373,0.0007,0.0000,0.0043,0.1018,0.0552,0.0266,4.1283,0.0643,0.0033
0:10:25,9400,-0.0220,-0.0358,0.3221,4.1476,0.0006,0.0003,0.0061,0.0384,0.0472,0.0231,4.1413,0.0406,0.0013
0:10:29,9500,0.0044,-0.0805,0.2974,4.1991,0.0010,0.0000,0.0027,0.0764,0.0567,0.0398,4.1704,0.0379,0.0006
