step,domain,accuracy,f1,loss
20000,61,0.3343065693430657,0.3031323072971295,5.527223331971485
20000,62,0.43042071197411,0.3701223703689715,4.910049626101676
20000,63,0.39349112426035504,0.33307715421597633,4.615049843184765
20000,64,0.550314465408805,0.47449122605791877,3.5891193365474465
20000,65,0.39203675344563554,0.32893477975137014,5.880694965330241
20000,66,0.4288,0.36699475120385233,5.081871954578299
20000,67,0.6926829268292682,0.6278362049675543,2.4823373859981075
20000,68,0.38746438746438744,0.3306192264525598,4.794980275396401
20000,69,0.41390205371248023,0.354915209944051,5.069554496412979
20000,70,0.4730639730639731,0.3773785057458593,5.292229233297468
20000,71,0.40532544378698226,0.34704733727810655,5.342277110863176
20000,72,0.4214618973561431,0.36311148786202013,5.418314843543894
20000,73,0.42589703588143524,0.3633096226331179,5.402297346264255
20000,74,0.7135416666666666,0.6261072284082234,2.0668140712417267
20000,75,0.3922480620155039,0.3061154177433247,5.118458802649154
30000,61,0.38394160583941606,0.3265792573294043,5.1233963265007
30000,62,0.43042071197411,0.34044547817824916,4.285409399597468
30000,63,0.39349112426035504,0.33307715421597633,5.19819439177106
30000,64,0.5534591194968553,0.48265062528146163,2.4371089120239047
30000,65,0.39203675344563554,0.32893477975137014,4.383568777562947
30000,66,0.4288,0.3640080258432152,5.108046123625213
30000,67,0.6951219512195121,0.6328596424419434,1.942728363124703
30000,68,0.38746438746438744,0.3306438097709445,4.642903341545641
30000,69,0.41390205371248023,0.3519254009344111,4.902060810732292
30000,70,0.4730639730639731,0.35755414752636416,4.814889222285419
30000,71,0.40532544378698226,0.34704733727810655,5.101729664572551
30000,72,0.4214618973561431,0.35654124028844547,5.5373843112956695
30000,73,0.42589703588143524,0.3655299860063072,5.644307536657185
30000,74,0.7265625,0.6470992983838001,1.6459662396099646
30000,75,0.3922480620155039,0.2956674175666424,5.592231798043594
40000,61,0.45985401459854014,0.4463261402138746,4.120498537858524
40000,62,0.43042071197411,0.36939429089564185,4.59315559176999
40000,63,0.40532544378698226,0.3560783851775755,3.891298011939646
40000,64,0.5251572327044025,0.46825308665795734,2.997341077362944
40000,65,0.3996937212863706,0.34400588993462056,4.668587558308944
40000,66,0.4288,0.3692736141906874,6.352474079089006
40000,67,0.24634146341463414,0.24524673774171968,3.464822318413868
40000,68,0.39316239316239315,0.3419495707574083,3.534842066382804
40000,69,0.41390205371248023,0.3519254009344111,5.741377237160111
40000,70,0.4781144781144781,0.3986234946046267,4.764930645262977
40000,71,0.39349112426035504,0.34079934573293874,5.860900793219281
40000,72,0.4214618973561431,0.36311148786202013,5.511888688550763
40000,73,0.42589703588143524,0.3655299860063072,5.5575369563850385
40000,74,0.7526041666666666,0.6950857761492338,1.490869601978721
40000,75,0.3922480620155039,0.31556693771143934,5.5492155255513875
50000,61,0.47153284671532847,0.4713422425874076,3.307698196472219
50000,62,0.4368932038834951,0.38382366480884395,3.9437626449350547
50000,63,0.4334319526627219,0.40383275557323584,2.7782697461397303
50000,64,0.6037735849056604,0.5712299126873598,2.208924616788863
50000,65,0.4900459418070444,0.4728146582759787,3.059401797562324
50000,66,0.4688,0.43505695941489264,4.351890508440602
50000,67,0.7292682926829268,0.7057527346020701,1.2530318354525103
50000,68,0.41737891737891736,0.3863072620490736,3.127145949905918
50000,69,0.42496050552922593,0.3773551449496043,4.038107944279181
50000,70,0.4730639730639731,0.3706078777469922,5.269732481848185
50000,71,0.4363905325443787,0.40559188301895227,3.5884606521364977
50000,72,0.4618973561430793,0.4329157609270731,4.237975254685374
50000,73,0.43057722308892354,0.3718664043778762,4.4445180235633455
50000,74,0.8177083333333334,0.7813002143669587,1.1482172456126098
50000,75,0.3953488372093023,0.3237476989657524,4.89200200999795
60000,61,0.07153284671532846,0.014622161102275424,6.978845924813703
60000,62,0.43042071197411,0.35296310695729166,4.443785193693064
60000,63,0.40976331360946744,0.36438587233638875,3.878225728545327
60000,64,0.5,0.46429386678954215,3.277358129338245
60000,65,0.37059724349157736,0.32182448990060586,5.928739160842572
60000,66,0.4288,0.3685102503135189,5.196170075918781
60000,67,0.6609756097560976,0.6193049736627088,1.986245957380071
60000,68,0.40028490028490027,0.34997818804791997,3.5616015367330958
60000,69,0.42496050552922593,0.37726089953578107,4.968706082910648
60000,70,0.4730639730639731,0.37998638275646585,5.011654672227403
60000,71,0.3032544378698225,0.29072910360758275,4.420856253650114
60000,72,0.4214618973561431,0.36311148786202013,5.245405247506001
60000,73,0.42745709828393136,0.3686700343979229,4.53653936251621
60000,74,0.7994791666666666,0.7565309590035233,1.0809415457006253
60000,75,0.39069767441860465,0.3307818401314658,5.6491266571295755
70000,61,0.38248175182481753,0.474908180163572,2.0862790528388526
70000,62,0.37540453074433655,0.37349570030404977,4.47661904245615
70000,63,0.4230769230769231,0.3898521120941822,3.7581523290454326
70000,64,0.6855345911949685,0.6931532972503323,1.8835271520307288
70000,65,0.45788667687595713,0.43826690165890475,3.148536721952615
70000,66,0.4624,0.43082109223935205,3.117734360099712
70000,67,0.7219512195121951,0.6827752274421368,1.5847462708805744
70000,68,0.3575498575498576,0.3885512788847181,3.353985581372399
70000,69,0.45023696682464454,0.42104076641654414,4.316688317822964
70000,70,0.4831649831649832,0.40009076545055205,4.669799812620741
70000,71,0.33136094674556216,0.36127259494051817,3.647432440045205
70000,72,0.4494556765163297,0.3869534375845117,2.997776320738229
70000,73,0.43213728549141966,0.3890934314272084,4.241148243702593
70000,74,0.8359375,0.8080586760472639,0.8399167319377631
70000,75,0.4186046511627907,0.3762596929277564,4.261715133075735
